r_sep02_median L Teff r_avg10_median dnu02_median r_avg01_median Fe/H Dnu0_median
3.386890173752059308e-02 7.490153693849495309e-02 3.622247778136394869e-02 4.529925908824534303e-02 2.203702828249681431e-02 7.288180418527665516e-01 2.844939167330708119e-02 3.040336264580471501e-02
1.839961300167181069e-01 6.703680825413625699e-02 4.599286260651065661e-02 7.240987060506445805e-02 2.832915636477087787e-02 2.708554135436109789e-01 4.760314279724866399e-02 2.837766158119400806e-01
3.397325025920829716e-02 1.555168757793458090e-01 3.494795811169036648e-02 8.210946492452129986e-02 1.152990998117511823e-01 5.155285819809677372e-01 2.091171232847631456e-02 4.171305680403891714e-02
3.255177238941868445e-02 1.475693407618927921e-01 3.545559846395957004e-02 1.639373277335949911e-02 1.743297936252326610e-02 6.773368769092961150e-01 5.238764419727152954e-02 2.087205514227849154e-02
3.447805100785582277e-02 6.534211463330873160e-02 4.494878274279483221e-02 5.260697639333543341e-02 1.715678100670455647e-02 7.084320302333076969e-01 4.426780447273568481e-02 3.276745950995722800e-02
2.025103559316149826e-01 9.027330384829718168e-02 2.852051316708385451e-02 2.265927451726402753e-01 1.246313943667892721e-01 2.663910645892447193e-01 3.223535967707205629e-02 2.884526324725768254e-02
3.092049378034406396e-02 2.687064074674470615e-01 3.613257994674932277e-02 2.356813237338377040e-02 2.875098946950369397e-02 5.412636985685688185e-01 3.818297032875583863e-02 3.247472806524753092e-02
3.399242143415801554e-01 8.459780833336694172e-02 4.264159348558046320e-02 1.458515763465929593e-01 8.237250386707267724e-02 1.560849932699790166e-01 1.670487889434140241e-02 1.318224314614863668e-01
1.131572147765575465e-01 3.604978479508915701e-01 3.863084918936209033e-02 1.100668814769437467e-02 2.868644530932092374e-01 1.137821893503111748e-01 2.391940941463501294e-02 5.214134807733903504e-02
5.734404185374287338e-02 5.898638631157127055e-02 4.584466457631120734e-02 3.900768450995314301e-02 3.969194986987242130e-02 6.812945783495147900e-01 2.096490530641947903e-02 5.686578922261491947e-02
3.585897502551506355e-02 8.163498907278786410e-02 3.322733825827896281e-02 2.098746848809815088e-02 4.925953653058841308e-02 7.253848086261019956e-01 2.345030850071239820e-02 3.019657549791721074e-02
2.303809167773959721e-01 8.163903689398800678e-02 4.036839495743212852e-02 2.612371027233673787e-02 2.252170116834548846e-02 5.334889343660345062e-01 2.446197461925086331e-02 4.101533094521627593e-02
4.025698175613429824e-02 1.111243559302105832e-01 3.666974213679314448e-02 1.610438106069568207e-02 3.811649435627297022e-02 6.238530623005031917e-01 2.822152808068128377e-02 1.056534543787087943e-01
2.907042133905048467e-02 1.038489439395950398e-01 6.826940894093867784e-02 1.505061112792321562e-02 2.285793745584379158e-02 4.867469469322568965e-01 2.534590700106142958e-01 2.069666025377760177e-02
4.208789915545696481e-02 1.406554222500550899e-01 3.102428297830048948e-02 2.377850797877759451e-02 1.769437843870414959e-02 6.755581229669372911e-01 4.332330984834094345e-02 2.587807638342750141e-02
1.900586669527474792e-01 9.692314533578320901e-02 3.608972235904866349e-02 4.233335400251800329e-02 1.330926583528601326e-01 4.429898368403786812e-01 2.619684030304409925e-02 3.231577585361973537e-02
4.232778230683136023e-02 1.848954430384054382e-01 2.999346344331378991e-02 1.533540304077827925e-02 2.166677704100409760e-02 6.380510521639172206e-01 2.492682606208865628e-02 4.280325290366123608e-02
3.883230537374302016e-02 6.819185393418239483e-02 3.086352285271290116e-02 5.893179082352721643e-02 1.287771040036166798e-02 7.201110822921679144e-01 4.584151526401128440e-02 2.435021905929367347e-02
2.471647247330992919e-02 1.179402688763394880e-01 3.235802739391569621e-02 1.196555869386018052e-02 7.123676386175459285e-02 6.725923031258804752e-01 4.322756051063916111e-02 2.596304506430046830e-02
4.725065876511956586e-02 8.050484567790597290e-02 3.244707424526946382e-02 4.126166856265826161e-02 2.801166161171234417e-02 6.797224503471739343e-01 5.587426833986470359e-02 3.492737245029601395e-02
5.901116218194910751e-02 7.588265932518867274e-02 3.989669968129644362e-02 3.877177132035920792e-02 2.909166693902928702e-02 6.957900019203128172e-01 2.831650756932522356e-02 3.323953106253926815e-02
3.138210678060870257e-02 1.817644806497227539e-01 3.757603269842221122e-02 2.028611254312394016e-02 4.792861988391534239e-02 6.127177345305093725e-01 4.060946909658147419e-02 2.773544381711615450e-02
4.194943512100590688e-02 7.539252084609537885e-02 4.251697475764685402e-02 4.630776538483390159e-02 3.990668802806629500e-02 6.995755417740125992e-01 3.930366883057587885e-02 1.504740525776324112e-02
3.096474073656611120e-02 9.626242629486907176e-02 4.343412622561855507e-02 2.876567023283312097e-02 1.553749589993998551e-02 7.177151603784357459e-01 3.962158797230399404e-02 2.769879225943346762e-02
7.396689093292778405e-02 8.129393490764601216e-02 3.938726251790366367e-02 4.172768081527215150e-02 1.407557352987381244e-02 6.643458803754216380e-01 5.849011941067507048e-02 2.671265751027982610e-02
2.569829340899264514e-01 5.281239835203944966e-02 5.429326487401844870e-02 5.087734559917840571e-02 6.996055225769325092e-02 4.357679043068642954e-01 1.807397746476783335e-02 6.123162305551188567e-02
3.068809740181836429e-02 8.340192498500409446e-02 4.004020797221850142e-02 3.711951554036610479e-02 3.712251344071586245e-02 7.121042366677178270e-01 3.345323317542218261e-02 2.607027081673707336e-02
1.081061807191118079e-01 8.411694982978495938e-02 9.405191357994836798e-02 2.236033123379258664e-02 1.147812071450998173e-01 2.175275211646670315e-01 2.456496453737301230e-02 3.344909317902222678e-01
3.431657647527769361e-02 1.509555280631877661e-01 2.463464902521952382e-01 2.688129144725146663e-02 4.605523416912991885e-02 4.272156062411618938e-01 3.564420260238431587e-02 3.258507074941165149e-02
5.227876283967395482e-02 8.639880979052096122e-02 3.824983898799512450e-02 2.212344773718739888e-02 2.685487162691650373e-02 7.015954741848835496e-01 4.752306515128695841e-02 2.497572968153552800e-02
2.039419787470759526e-01 9.312941863240530027e-02 4.378098770128482226e-02 2.413071472458996544e-02 2.175978782650649090e-02 5.410487045321230593e-01 2.505797106930755455e-02 4.715043676670685469e-02
1.986102998186872470e-01 8.955185708184811022e-02 3.725484739607768520e-02 2.841420012479481741e-02 4.498824183832697554e-02 5.232735128256523760e-01 3.261705210661155346e-02 4.528998880800123861e-02
1.362766522692871463e-01 4.311940524395103669e-01 3.389787206266834524e-02 1.660608949167011530e-02 1.567080369240224091e-01 1.094605841628766840e-01 2.233894508964343398e-02 9.351776756032138815e-02
5.372584037805640256e-02 1.187865922167282845e-01 3.028267963251266015e-02 1.294751551103207055e-01 2.893762303298888505e-01 2.787589784445206886e-01 4.598235305413955060e-02 5.361217083383289228e-02
5.168520146212200045e-02 6.615216072795900015e-02 4.117175759504059646e-02 3.720316267811077382e-02 2.860486299621020634e-02 7.151377008232302490e-01 3.618132575075662383e-02 2.386382796657069219e-02
4.948524029299435079e-02 1.321365212434273961e-01 5.262373435274642075e-02 1.618289695882671464e-02 1.172279075631430106e-01 5.594902463823810956e-01 2.793332269016104291e-02 4.492013051632003789e-02
3.805681567285259387e-02 8.601108712035418491e-02 7.916953373685109430e-02 2.254152380713047091e-02 3.260766777352543111e-02 4.221164136671980982e-01 2.759184380739394538e-01 4.357852014814866254e-02
2.539144772807495620e-01 6.326444405020337225e-02 4.197087541778887071e-02 5.072705279100125225e-02 3.271909330461579557e-02 4.535936063662063811e-01 7.298611547721774173e-02 3.082433531221698969e-02
9.541569634797431032e-02 2.255040392890472756e-01 3.868864906857737151e-02 3.327825841121714173e-02 5.658166399555633608e-02 4.828410500247939940e-01 3.947723440170264331e-02 2.821340846113085457e-02
1.963871770529621585e-01 8.299769440825366384e-02 3.685903733700310325e-02 2.539654219173360580e-02 3.223580849452876984e-02 2.502962072987827691e-01 4.131991527371178113e-02 3.345076179430241381e-01
3.333994210966906985e-02 7.450889661075972559e-02 4.520268584524484573e-02 4.783033022832685471e-02 1.751602290437268353e-02 7.127294204535755684e-01 4.461933373887509713e-02 2.425336810917623834e-02
2.172794986818593344e-01 7.045265434364957058e-02 4.307451262875425235e-02 3.480996013600960726e-02 2.379669327091113451e-02 5.472626969430567367e-01 2.735114762338844430e-02 3.597283637237104481e-02
3.517457740303489566e-02 1.098488742223567571e-01 4.025583098313138125e-02 2.164962550275910738e-02 3.728232597182302988e-02 6.979777074638856549e-01 2.367485176492066523e-02 3.413620668808848430e-02
5.163132695650390208e-02 8.029587255654220546e-02 1.173349529684829390e-01 3.401533171108162695e-02 3.563724976015893164e-02 6.274513744769719681e-01 2.172820582779583579e-02 3.190568574246263611e-02
3.786675810340184301e-02 9.969258450342720346e-02 3.360158349196558369e-02 3.691988813043731166e-02 3.605164649945687833e-02 6.904743387253823306e-01 3.429256258032707672e-02 3.110063796560165114e-02
8.950936887774582629e-02 5.650229049760090855e-02 5.726379650353948664e-02 3.182063222009837850e-02 4.906603056547387265e-02 6.557272576996846514e-01 3.516944592719046386e-02 2.494117770866653358e-02
6.565312874039691549e-02 9.606489609535882879e-02 4.380103606962787444e-02 2.609433113962105269e-02 2.444169240938868712e-02 6.907970207688127751e-01 2.945258459255791633e-02 2.369531018423587376e-02
3.151697612858323644e-02 9.640683921999676498e-02 4.302817299923554495e-02 3.389483760117855543e-02 1.932968840393869611e-02 7.166864447916895253e-01 3.426044810928888240e-02 2.487659274608889151e-02
5.119664924925693833e-02 5.763587577809674289e-02 3.634401753494738430e-02 9.026484691064745602e-02 2.023407048083676954e-02 6.768158952574847564e-01 3.620585743776841281e-02 3.130278735096156395e-02
1.585178349457087299e-01 6.229708838669919396e-02 3.816876591648729611e-02 4.886881864165880385e-02 2.495054232490358931e-02 6.047702732387749691e-01 3.764373315336422970e-02 2.478294339240319846e-02
3.271223660323591687e-01 1.401061892220413496e-01 4.261409163895620023e-02 2.102202243367047238e-02 1.267521884085686355e-02 3.010919995120379666e-01 1.106262133077628301e-01 4.474189901231517830e-02
2.602091917740396165e-01 8.326762679570365311e-02 3.461172261403289846e-02 2.729959089647127773e-02 2.867749336190473716e-02 5.062538337072066685e-01 4.017087148257300622e-02 1.950966936806811797e-02
2.943699220279755169e-01 9.438887158050796033e-02 3.157001133801800447e-02 5.036280359453054745e-02 1.136569988814321690e-02 4.454151788686412927e-01 2.587158883214100286e-02 4.665592387004243585e-02
1.623119345172286954e-01 7.780748427764583308e-02 7.969626319808670312e-02 2.945573330359215966e-02 3.561946996230701962e-02 3.496887194347976791e-01 3.683382012659031784e-02 2.285865751797515610e-01
4.021227661797852765e-02 8.361578277288489458e-02 7.404501572722611835e-02 2.961466331632520502e-02 2.200495090750672136e-02 6.812754382131268605e-01 2.242273790959018603e-02 4.680913453536154900e-02
1.119602085574572942e-01 1.196814612092453045e-01 2.896865455173602832e-02 1.866575135486320258e-02 1.969133043398505617e-02 5.896924970384626041e-01 4.322009973474110617e-02 6.811999711950944558e-02
4.950239952561520662e-02 6.052261773019673025e-02 2.369610888705564189e-01 5.988195339252404270e-02 6.497582412012835318e-02 2.672030386323690498e-01 2.325558010543656851e-01 2.839727667424447183e-02
3.563336904469235344e-01 9.493459740539546277e-02 3.461995329616138206e-02 2.415110598729289931e-02 2.778687603206384318e-02 3.937628035474405319e-01 2.535806000249735820e-02 4.305291328222493608e-02
3.810319995418388062e-01 7.312257940945614265e-02 4.623981262465834408e-02 4.362476422637450585e-02 6.561982422278013483e-02 2.546797768328238343e-01 1.154961841959173674e-01 2.018505894615083701e-02
1.462216843579112746e-01 9.737564455536590335e-02 3.865030837947652093e-02 2.131526751370704797e-02 5.523584530717826763e-02 5.852484932226239556e-01 2.521467036790296309e-02 3.073808629583409807e-02
4.525282537478225731e-02 7.440011241258244479e-02 3.772102865057400112e-02 3.124868708688239780e-02 2.821969037681405085e-02 7.194771955523497908e-01 2.663529711557866692e-02 3.704516343043637305e-02
2.229310930944777280e-01 6.883349804524216409e-02 3.995491658050683015e-02 1.117725523807086979e-01 1.786238583731386553e-01 3.163267364940480220e-01 3.713418959081905141e-02 2.442315544105879560e-02
3.543193034881372827e-02 1.247498220273696307e-01 1.122760289433584746e-01 3.878738618539165350e-02 6.089638561809863904e-02 3.424664416046979132e-01 1.537619334416252467e-02 2.700158119281074742e-01
5.206073499970367141e-02 3.126939805090722668e-01 3.510920289624927526e-02 1.666142955603062276e-02 1.422641479263903400e-02 4.977862051683011879e-01 3.893464598463044352e-02 3.252738609337355036e-02
3.785705166034504243e-01 6.734391933646011186e-02 4.063743959798568617e-02 5.037386823438479155e-02 1.999511052123967292e-02 3.827370009255476324e-01 3.790325455100727881e-02 2.243889022992445748e-02
9.683578852879923260e-02 7.266054931442199327e-02 3.321690024041337730e-02 3.459723919836440315e-02 6.510324405133634251e-02 4.062883617541546144e-01 2.724194767213036772e-01 1.887844019120635958e-02
2.503354664547329314e-02 9.300227737608073031e-02 1.008437345484106129e-01 3.196768296561033895e-02 3.300402131458208405e-02 6.226438700034772067e-01 2.873599238617461152e-02 6.476887476019121959e-02
1.445277753299770707e-01 8.487364343378929477e-02 4.137550002247505215e-02 2.533561978700786185e-02 2.041791771385751547e-02 6.137447496916660361e-01 2.684597435181220598e-02 4.287881966941500117e-02
3.771784915923093867e-02 2.548247582730601146e-01 3.023689718563137008e-02 2.364047265622293281e-02 1.021148588655505368e-01 4.668651987134799231e-01 3.244364182014287251e-02 5.215632332668133919e-02
2.611951543420142768e-02 1.779781267402969214e-01 3.327382268838784130e-02 2.332893292471548835e-02 3.102781720944952984e-02 6.434418504125418714e-01 2.454556421206909034e-02 4.028437037833793727e-02
3.373783229602944633e-02 9.555817034075148042e-02 3.952659907439718540e-02 4.440733217837388586e-02 2.024558144033356336e-02 7.066068016519886363e-01 2.539011310909250127e-02 3.452756990903321777e-02
5.664013720170916338e-02 6.281833447563273110e-02 4.119696321808473394e-02 2.367990841844444874e-02 1.023899682382728160e-01 6.147269551299517909e-01 5.185654738303223377e-02 4.669118593487212726e-02
3.021766976750792436e-02 1.039836525624555502e-01 8.453588906801086378e-02 1.331339137147474760e-02 6.953496668566257199e-02 5.555225496159134080e-01 1.104814568018676751e-01 3.241042412710725545e-02
1.532549742744182819e-01 6.820490028696446494e-02 3.669490994860803018e-02 1.978061741784284053e-02 3.512608690005731421e-02 6.111600591795356419e-01 4.001817689270224798e-02 3.576027509987126513e-02
3.390843015822488787e-02 9.206582216888092862e-02 4.499693352814806979e-02 1.747650517229125747e-02 2.402212223338179645e-02 7.189738862883772175e-01 2.426516963750891334e-02 4.429113081318700879e-02
4.775702947825170852e-02 1.082944333577981200e-01 3.858184421015425219e-02 2.102136552133743175e-02 2.148744529762535577e-02 6.906949489631610817e-01 4.126930855614295568e-02 3.089362461552906669e-02
4.854403700740237554e-02 8.831473197007280729e-02 8.232273467197757932e-02 2.984085418985435792e-02 2.515236698883028740e-02 5.406240500993142462e-01 4.286017934098759752e-02 1.423410457315608113e-01
4.321804398661878432e-02 7.071938941636417286e-02 4.138098379909896374e-02 4.203403202605568434e-02 5.992947814692659719e-02 6.741532832801424568e-01 4.519782454144374156e-02 2.336696480334967546e-02
3.702497757429303038e-02 9.839471250852850626e-02 3.743923086279902362e-02 2.821915441460310855e-02 1.994653302757754335e-02 7.194541845153368254e-01 2.518904944300601537e-02 3.433215765385594365e-02
4.063186361324264834e-02 1.358885908429338651e-01 2.278117142941661344e-01 5.716629325293435399e-02 1.482031634559195232e-01 1.388746659177647613e-01 1.786845503957146253e-01 7.273915822732403280e-02
3.945956368347040832e-02 2.519102244808413826e-01 3.151460239753844234e-02 1.379826034335186573e-02 9.598837009113893315e-02 1.571676558910196642e-01 2.690075228336155297e-02 3.832605708292778357e-01
2.256277570926439602e-01 5.817278337138837713e-02 6.493828049497502031e-02 4.547824143764590127e-02 5.446488241975690897e-02 4.969238837648190521e-01 2.499892674254906161e-02 2.939524467622181905e-02
3.194866872138638764e-02 1.085787695487775567e-01 3.318253348208709264e-02 2.356734079427080103e-02 4.616583343339053513e-02 6.815715026798961906e-01 3.724021561088010357e-02 3.774513572931139510e-02
