Teff L Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
3.588124203415890556e-01 6.324420346090334211e-02 1.358117798093639861e-01 6.880779804672720879e-02 8.137482306982897484e-02 1.733947390976998126e-01 5.417214421684513753e-02 6.438209195704233667e-02
3.142587922898489317e-01 7.130142233602687618e-02 1.208186422583896885e-01 4.867435037853855284e-02 7.914718498312703354e-02 2.711124668748854938e-01 4.653758550727307014e-02 4.814955537191043661e-02
2.898056525603213696e-01 1.292359364218955697e-01 1.171372406588948173e-01 6.529319936862088003e-02 1.289695500403357786e-01 1.080852973797701150e-01 4.166218360681724769e-02 1.198109399633442013e-01
1.552008273798339000e-01 1.154308236703314727e-01 1.136259354835506552e-01 1.114930443604422172e-01 3.660675851345254056e-02 1.765701071217174456e-01 2.267805311328933149e-01 6.429197233777848852e-02
8.065935578985181098e-02 2.374817333744846659e-01 1.130939335045363092e-01 1.154543269667998862e-01 2.461127393687135567e-01 1.345997678605678205e-01 3.628275741500303075e-02 3.631538572004289894e-02
1.044988268265305553e-01 2.889083897690303271e-01 1.210658950397261596e-01 8.865669123774672089e-02 1.156730190951209825e-01 1.528246880547230180e-01 8.846116173777472669e-02 3.991132823934756546e-02
8.215446619685537466e-02 2.066810593906338589e-01 1.086726996572918713e-01 1.710737376544244626e-01 1.462882468414826720e-01 1.988612531806767114e-01 5.313688162309321283e-02 3.313165545554188490e-02
7.912329936228985894e-02 1.241756447491625254e-01 1.040523499592256040e-01 5.672098535624552074e-02 1.258098436183020530e-01 4.347273661744431861e-01 3.892406882678291213e-02 3.646644195354836054e-02
1.575250691752420606e-01 1.636054804342084168e-01 1.109253548953216956e-01 4.120384889395965755e-02 8.140931986004405763e-02 1.669614755963884645e-01 2.752983700231563871e-02 2.508396141425201509e-01
2.067871619268851491e-01 1.461134062792714128e-01 1.172164091489186349e-01 4.959803944041150936e-02 1.549829528900556752e-01 1.789382670080710003e-01 5.240672149182442480e-02 9.395704181456220050e-02
1.137456667350190548e-01 6.883410823758862040e-02 1.105703078584148874e-01 6.732218498677808305e-02 3.511519829140466453e-02 5.253066971311801669e-01 4.080313670372000961e-02 3.830270005589443000e-02
2.561336235764775093e-01 1.977866061812987575e-01 1.244885981239796935e-01 3.412550518821907963e-02 1.089782742187462156e-01 1.252758054132685206e-01 4.373392255124878419e-02 1.094776647467614883e-01
8.571122163107994241e-02 8.821544593854102612e-02 1.069261726863682954e-01 1.463867241530529273e-01 2.344313427037246489e-01 2.707579291197966254e-01 3.346002498263802444e-02 3.411113878479841988e-02
3.250458659761383817e-01 1.407854861135188484e-01 1.189685518609064352e-01 3.449101995131760579e-02 9.104033927660429293e-02 2.015892929705662140e-01 3.292235654042194315e-02 5.515708731052623714e-02
9.703722463429646783e-02 3.891847837673905186e-01 1.053432008555973964e-01 2.615047117415353339e-02 1.737822945760714166e-01 1.050319784179678390e-01 4.114866929162997594e-02 6.232137728289293549e-02
3.244273282275405568e-01 8.193536504984613722e-02 1.088141888298031768e-01 4.981799026072633585e-02 6.923694054350111593e-02 2.803060519448001275e-01 5.058938411737472912e-02 3.487275102640796653e-02
1.086759549249401019e-01 2.967372526254627441e-01 1.069949199111808608e-01 3.054302744781695403e-02 1.383418720296477888e-01 2.402118550609071146e-01 4.711106430611158857e-02 3.138405369393283684e-02
3.444019610933776732e-01 8.571597485951647222e-02 1.116888417436030512e-01 5.477357650534914191e-02 7.574733084641681324e-02 2.178700874246349839e-01 4.989563312609508750e-02 5.990659440100672833e-02
3.499811083863959005e-01 7.169248875134022481e-02 1.526140331718226772e-01 5.730512975609577953e-02 8.934244550503186999e-02 1.378638991817731085e-01 3.350011207646577671e-02 1.077007831710746488e-01
1.414869788552801655e-01 2.892083341550125697e-01 1.040483880641685094e-01 4.425186394503143050e-02 1.867330245864718130e-01 1.008351898271612479e-01 8.053797087084761663e-02 5.289824969602659882e-02
3.239796099058086520e-01 1.074147511044510617e-01 1.294835864831063443e-01 4.455931007675924260e-02 1.223393239088542556e-01 1.720821611032431753e-01 4.590651288419281273e-02 5.423474453358443498e-02
2.826410794786865521e-01 1.398296104888450686e-01 1.206602676579904415e-01 3.553338258435621150e-02 1.487790020145599301e-01 1.621528990204076093e-01 6.534534709666486862e-02 4.505841165848942231e-02
2.828955644994470275e-01 1.250575873499840951e-01 1.096682208569519229e-01 4.309928494693072987e-02 8.026675291724977290e-02 1.728322318614806397e-01 8.593793850254657918e-02 1.002424190654092329e-01
3.241002407255379469e-01 5.817769219205694980e-02 1.348464973474660655e-01 5.558218930106650912e-02 8.352420162777902946e-02 1.775301004975938512e-01 7.374697304945987408e-02 9.249210525903971136e-02
3.154105627504418252e-01 1.134800772137026376e-01 1.099744280083013448e-01 2.758802162211980782e-02 1.981547688394423579e-01 1.632480659423821978e-01 3.237621746824537877e-02 3.976785815536443280e-02
3.516401766275936702e-01 5.388430769869919507e-02 1.265711068993901622e-01 5.205125471660827785e-02 9.136981333386653970e-02 1.669120433501147527e-01 1.224403732644520487e-01 3.513092410927542292e-02
1.165151486051158591e-01 1.822050863028711054e-01 1.230556220464221334e-01 1.035835484474329909e-01 1.861613258233860146e-01 2.078873191019744437e-01 3.956141250203349530e-02 4.103053717076399903e-02
7.303432252931672808e-02 7.273260166093392654e-02 1.176927104215541031e-01 7.224854597481718266e-02 3.526905274421484465e-02 5.542459037622601281e-01 3.781960877174437435e-02 3.695725413515866392e-02
3.194290984279383738e-01 1.087104254510644352e-01 1.202564666751326783e-01 4.517556668487659327e-02 8.520347308070659598e-02 2.273303428762860623e-01 2.645780624157284891e-02 6.743682056242253364e-02
2.700983866006451128e-01 6.368200183944937309e-02 1.402400978009876176e-01 5.666358527029328324e-02 3.793962117905168296e-02 2.608675904432376513e-01 7.523220705229577421e-02 9.527650981403948394e-02
1.890757521890123194e-01 1.150560843411939926e-01 1.036147014234607144e-01 3.578067587487866047e-02 2.518537312733121550e-02 4.324383695241529879e-01 2.175852545071119484e-02 7.709051806925897032e-02
2.230897044973921273e-01 6.359239250041534564e-02 1.346576294463023016e-01 1.409293397864275488e-01 2.397492296596321903e-01 1.026681610984934157e-01 5.910254443848264594e-02 3.621099857285448725e-02
3.070029656109006244e-01 7.273879077699234308e-02 1.227760117682451524e-01 4.817665366413961814e-02 1.411020004025589636e-01 2.325094162149335120e-01 3.031255462220407496e-02 4.538160694002570800e-02
2.692790016556590449e-01 1.147666495001636727e-01 1.286914830635511875e-01 7.352375423697370127e-02 1.050687310918950457e-01 1.825630474843509543e-01 7.483323840929770321e-02 5.127409455810871819e-02
3.315905842488110489e-01 9.926695013362207831e-02 1.363596854633634947e-01 3.678774077317209512e-02 9.895898308384049047e-02 1.440657737144037664e-01 6.330507107482445661e-02 8.966521150796247230e-02
1.282090784764795821e-01 9.392974949000112983e-02 1.122693315346829507e-01 4.690509976792648500e-02 2.697244275978302394e-02 4.187666254554516243e-01 4.533179859222014746e-02 1.276158739234550255e-01
2.429636853713083855e-01 6.112539454426628438e-02 1.867372115647183139e-01 1.034773675282483485e-01 1.154897859902542095e-01 2.155628679461331354e-01 4.018888300105191019e-02 3.445480405401932927e-02
7.474616900235202255e-02 3.177646029140668849e-01 1.100386937583594515e-01 3.054619457793306819e-02 2.515013673877265488e-01 1.435163270376094147e-01 3.345308542505386062e-02 3.843355989689875574e-02
2.886952947442784079e-01 1.216503723232146283e-01 1.217319280048827779e-01 4.932124845203923746e-02 7.232753474887704259e-02 2.469495777176267115e-01 6.858388744825741346e-02 3.074015656082380865e-02
2.773652402268701467e-01 1.493448966545152246e-01 1.575179302597939646e-01 2.829158249388257634e-02 1.457535346866847825e-01 1.260287624116865624e-01 5.950920240098344499e-02 5.618885086558342290e-02
2.188401558106090328e-01 1.091539681738620537e-01 1.782920601126490867e-01 7.990374760989864267e-02 9.540394031910197359e-02 1.532040013399344758e-01 5.765860222516209360e-02 1.075435244087826619e-01
1.666492966591869851e-01 1.085284034842509543e-01 1.246122231157136828e-01 6.387808327649761864e-02 1.242779386377903250e-01 2.691515124698012906e-01 2.221132947261859197e-02 1.206912128841405585e-01
8.150467366209809827e-02 1.908881503360478071e-01 1.197809851900170919e-01 1.317431152158536900e-01 1.122434059914102639e-01 2.599138524348890145e-01 6.781642508910518119e-02 3.610939208057879074e-02
2.359566698220078029e-01 8.249938529071455806e-02 1.172202533823156340e-01 7.117662700309961010e-02 8.202807195519494499e-02 2.666711454148097959e-01 4.987352498873551948e-02 9.457432214312222474e-02
2.485051903876975277e-01 1.020534777385534303e-01 1.100939522478257271e-01 9.519414018084834672e-02 7.593945788156775123e-02 2.892865351854427280e-01 3.325404762098718020e-02 4.567319875707739896e-02
3.264435312983778870e-01 6.507500400027328713e-02 1.331262707615617769e-01 8.545589703494223255e-02 1.679319977219561333e-01 1.145066269866932135e-01 7.232348753857084644e-02 3.513718465762458859e-02
2.596007071165996605e-01 8.013659809911302667e-02 1.170204640783563954e-01 5.298496513276229614e-02 4.816996936440835764e-02 3.788207216848380465e-01 2.877221631954714198e-02 3.449435820437506822e-02
2.286344674588076664e-01 7.211869331665048122e-02 1.455373224921405750e-01 1.527880249492599429e-01 1.290138137401247165e-01 1.381825185680138346e-01 3.673922296624413525e-02 9.698593650875879379e-02
1.213122301682119930e-01 1.455768021931758416e-01 1.068869810117701880e-01 1.236288122885652180e-01 7.731415387457502009e-02 3.545947824163239170e-01 4.316529150781588109e-02 2.752094653956195167e-02
3.203032159955669367e-01 9.964979404271855079e-02 1.237456504516388917e-01 3.220079565533084942e-02 1.786237546626673611e-01 1.761034773032860434e-01 3.110622231729379128e-02 3.826708957149757562e-02
2.670530890907367727e-01 1.246994007958496797e-01 1.123494464348146621e-01 4.115902021909567665e-02 6.927385335234065300e-02 1.477244590932979829e-01 5.559232584811629047e-02 1.821484051657482617e-01
1.133211320279921136e-01 1.033646728168584883e-01 1.205498504972373347e-01 3.076646966791573082e-02 5.232037046504368211e-02 4.966205798568354979e-01 4.107845696297569155e-02 4.197846770514146453e-02
2.460159823199132845e-01 8.690847002933034526e-02 1.420851682549373329e-01 1.133976057459973180e-01 2.331298904566946606e-01 9.414298309375487839e-02 4.573800157903451513e-02 3.858189852033774153e-02
2.178518777405151763e-01 1.971010340079176748e-01 1.173049214341086444e-01 4.830405230298655261e-02 1.516662408749246127e-01 1.607171554355679710e-01 3.668150728591168530e-02 7.037321091806761353e-02
2.057131689100483440e-01 1.361802521321388570e-01 1.046790581989042318e-01 6.163596575775390218e-02 1.033937655901460417e-01 3.117943597425296698e-01 3.020739812030907509e-02 4.639603154816993730e-02
2.643992588543758737e-01 1.423114695069162550e-01 1.069583998657281376e-01 3.244641713877272765e-02 1.721844071040636304e-01 2.020199978189135270e-01 3.117956858395116645e-02 4.850048112727864402e-02
3.469235376796401815e-01 5.719222507605641048e-02 1.381248778137252609e-01 6.430900144457182832e-02 1.345137324495356834e-01 1.631102350391779310e-01 4.805908891718363440e-02 4.776730158010920185e-02
1.427353198967290793e-01 1.216191123906881916e-01 1.144157665966556436e-01 1.230494299759656573e-01 6.574269910919623705e-02 1.521547970205862910e-01 2.792312904495116918e-02 2.523597459652276997e-01
3.028896017112812089e-01 1.052979419146607282e-01 1.254930243747999496e-01 3.576955367934811503e-02 5.708249643382486832e-02 1.751377490058511066e-01 3.008834851249584177e-02 1.682412843677381364e-01
1.450913496720902252e-01 1.538134639096774281e-01 1.251811483398729830e-01 1.324527866666520282e-01 1.711395511960441262e-01 1.194365193887424875e-01 2.754279608333503465e-02 1.253423847435857497e-01
1.029340541724551444e-01 2.943647848601099182e-01 1.284592220557178033e-01 4.579500637154839543e-02 1.280480635305974724e-01 2.146334206545092993e-01 4.909434542545398905e-02 3.667110292960801959e-02
2.252987804571652264e-01 7.961618114688150116e-02 1.167472846363138000e-01 5.713182784997745955e-02 2.282298621154215945e-01 2.018026507438769601e-01 5.935785599410545871e-02 3.181555705625795094e-02
3.648297485426226783e-01 5.975321008003869200e-02 1.392110298471921082e-01 5.685114268290372003e-02 1.129737686642447031e-01 1.629000735379431686e-01 4.484535828256110829e-02 5.863566836249388403e-02
1.992577706515819003e-01 9.998488102433672475e-02 1.208607158025647860e-01 1.119102731031163950e-01 1.485963452513882066e-01 2.048849499321751255e-01 5.889399239717604123e-02 5.561107183766082762e-02
3.417576789344389798e-01 8.423255393760636922e-02 1.333588015011642758e-01 4.280259525071822280e-02 8.669551365185509950e-02 2.449631369714000140e-01 3.516881906319604262e-02 3.102090068962098934e-02
3.704906233973384588e-01 6.559904970346332187e-02 1.368037685425648742e-01 5.101154446535188097e-02 1.326585382525496959e-01 1.607662116670963148e-01 5.785820031780176953e-02 2.481206365383369083e-02
2.358325701649497119e-01 4.887262066224981605e-02 1.198428698315143620e-01 6.763559098751695253e-02 4.950080948119377211e-02 3.439470715713498494e-01 1.012713814738029627e-01 3.309708582742244831e-02
7.148449426856504085e-02 2.506344133916542649e-01 1.001016117784659792e-01 7.682824573854632466e-02 3.164450887431147913e-02 3.297313250784563721e-01 9.927844510811253964e-02 4.029695576188797868e-02
1.686789904813155716e-01 2.164836714282728503e-01 1.579202187735491980e-01 4.732260660873601615e-02 7.809686615191534231e-02 1.405118993218809897e-01 1.332042279395721784e-01 5.778151929475790899e-02
1.685332494801898562e-01 1.614892091211313496e-01 1.216645693688717389e-01 3.912004398280272827e-02 4.165925248494274646e-02 1.856523430397113428e-01 4.352168241116130543e-02 2.383596501111889532e-01
1.194796195493233459e-01 2.940044366224860983e-01 1.152773425416387110e-01 4.028890958624715968e-02 2.300519733454650662e-01 1.126255190508373694e-01 5.434629743769348043e-02 3.392590186630864424e-02
2.980537164958547702e-01 8.808155640080526927e-02 1.146440903391967026e-01 4.920513913813844009e-02 1.532659289477510955e-01 1.579585314017964981e-01 6.687315694259562959e-02 7.191788033386165013e-02
1.207385353612275558e-01 2.308505348408732560e-01 1.109798735510700851e-01 9.025298479092823400e-02 5.842268962691220952e-02 2.311642061329436393e-01 7.307020644636839923e-02 8.452096924967669733e-02
2.884572799113355734e-01 6.488489872252584112e-02 1.281566838077741743e-01 6.539556116933738228e-02 8.241476822515986234e-02 2.205917877666047355e-01 2.561457842931201545e-02 1.244844419679504571e-01
3.317961796686773046e-01 7.892997446617736057e-02 1.389367638074409106e-01 3.392886190870322144e-02 6.002816390210070907e-02 1.593005335668030431e-01 4.353351008816297441e-02 1.535460125919345664e-01
2.054558987749395271e-01 1.451938948653878902e-01 1.105587669208050461e-01 1.044080332200402333e-01 5.890991697718635928e-02 2.941617648885433978e-01 5.180969850260080944e-02 2.950202585049668119e-02
2.991749263452164742e-01 7.185988345020753731e-02 1.242032757275308291e-01 6.426418518950689773e-02 8.177941795510143552e-02 1.654966035287080139e-01 5.836675303023572403e-02 1.348549547734929632e-01
2.655920860958169150e-01 6.582958683769565833e-02 1.189403574308646461e-01 8.495885083677881533e-02 1.293911757600138268e-01 2.415540336463854187e-01 4.401369754730236061e-02 4.972021184514242159e-02
1.001712891272388412e-01 1.231534971690176478e-01 1.107622612601196488e-01 2.465296511255921363e-01 1.448347812614615704e-01 1.953785198723932137e-01 4.043289902103122668e-02 3.873710116314583313e-02
1.636219673768969374e-01 2.340023466149754872e-01 1.175050523811606434e-01 3.623744407756241542e-02 1.221537356664524759e-01 9.690220648891019473e-02 1.976807887974761091e-01 3.189645859656559806e-02
3.000020186598372773e-01 6.141274774419640953e-02 1.348439777956229602e-01 6.957446453673810094e-02 7.511102963145920020e-02 2.457527445261793453e-01 3.591966212427580296e-02 7.738335498169082727e-02
1.569625715703533708e-01 2.228530030084286684e-01 1.302047409552736235e-01 9.161163907094389824e-02 1.143245509735539289e-01 1.586966148414181155e-01 8.894403913443579834e-02 3.640284044559265186e-02
3.080789760666371446e-01 1.121161601785372469e-01 1.134367329590917212e-01 4.661934120706062029e-02 1.166345945533764084e-01 1.074009917744543630e-01 9.258573537926938213e-02 1.031274678815730650e-01
3.168182054852780039e-01 9.518558786081028622e-02 1.150090215065008442e-01 3.588662689555170010e-02 6.249374057513631259e-02 2.197500883088429890e-01 1.095220159843270508e-01 4.533471338355277852e-02
3.473674870295203054e-01 7.406669281051297959e-02 1.313421075757612855e-01 6.183330243235893309e-02 1.614594669994447174e-01 1.445311957473184583e-01 2.780794657104728243e-02 5.159180083403602790e-02
8.388881308886145249e-02 2.525650997647641005e-01 1.029210520038067456e-01 3.622631789434020005e-02 1.324089838755088677e-01 2.227633952520516325e-01 6.881232190424325934e-02 1.004140162164237765e-01
1.789227738134226975e-01 1.198383897649557828e-01 9.754062620393821881e-02 4.391561950822379934e-02 4.474134989452043659e-02 2.713440761186134975e-01 4.101509662984319932e-02 2.026820680664822572e-01
