Teff L log_g Fe/H radius Dnu0_median dnu02_median r_sep02_median r_avg01_median dnu13_median r_sep13_median r_avg10_median
4.715429179844634472e-02 2.297648348903334470e-01 2.887278383043725277e-02 9.711679945257374602e-02 2.362114358006782086e-02 1.231481269071747417e-02 1.219345270518826380e-01 5.296046586428307390e-02 1.996732709221722690e-02 1.216124735269009591e-02 3.208322933315479464e-01 3.329947306480296465e-02
2.047179016565106591e-01 4.743825057057490108e-02 3.078349968892959976e-02 9.793722511921604257e-02 4.251555297355644192e-02 1.403177843452037797e-02 2.419227905326345671e-02 4.203359238154524835e-01 3.789272310037877789e-02 1.096743073936957968e-02 4.359234374530514960e-02 2.559509110292237238e-02
3.124456506575491455e-01 5.237269239323984887e-02 2.685597859011884872e-02 1.167321065571652605e-01 3.449215454244852763e-02 1.854975756354378807e-02 7.678270825138329425e-02 7.737537682177199339e-02 2.131167032902963818e-02 3.336170845431900983e-02 1.802461819468894610e-01 4.947401389254129506e-02
5.493478812421787039e-02 1.184575484860322658e-01 1.540483015246388310e-02 9.312980258069485096e-02 3.808570456456630143e-02 2.174133102035592235e-01 2.356358482599443457e-02 4.151539612181493616e-02 1.532600156381904756e-02 8.881156570955874019e-02 2.592130927419870612e-01 3.414437492529139723e-02
1.284937791560341602e-01 1.554066023222758497e-01 2.113581475461552561e-02 9.694852611286874922e-02 2.832013328343999103e-02 1.707400717261753700e-02 1.111625418549078981e-01 1.027870731936570553e-01 1.870818464725478025e-01 1.911793811939409629e-02 1.043089640981287175e-01 2.816277345951251690e-02
1.750778420399756730e-01 7.530017483652776122e-02 2.823004673934132944e-02 1.042558680546890743e-01 1.098366451341744598e-01 5.209592599443906707e-02 3.516374437646863776e-02 5.639606059607505523e-02 3.363291271657341958e-02 1.769558275684808835e-01 1.327633021398596236e-01 2.029164980339495661e-02
7.902890872483081530e-02 1.671762500203623214e-01 2.418825156602084220e-02 9.669121075374050023e-02 2.274802872015485936e-02 5.209443144143503096e-02 2.259242967026222140e-02 5.984585290714051348e-02 2.131598679281847264e-02 4.775702077641679616e-02 3.435524009116604494e-01 6.300922771515736487e-02
2.011598508095563120e-01 9.046927437149129836e-02 2.293024694832090579e-02 1.023275068852324693e-01 3.007531462428491079e-02 3.214202158772423018e-02 1.472732303388409394e-02 7.577577600320217766e-02 5.906268629178558494e-02 1.057789083452852913e-02 3.346063265269973996e-01 2.614578208299217846e-02
2.793943699617660315e-01 1.139196725476956107e-01 2.125756509539172834e-02 9.979854918272966502e-02 2.532588466116195147e-02 1.053495160380990905e-02 3.741161519895998266e-02 4.490295936830735607e-02 2.499676095751953916e-02 8.035754247866871980e-02 2.334690685966149259e-01 2.863106034737465319e-02
5.105705043480181227e-02 1.459025958055970018e-01 1.849698864798773185e-02 1.034139364029140057e-01 2.181853976286754482e-02 1.972104418568178599e-02 1.907034103161590194e-02 1.239691902539086649e-01 1.658991195520695058e-02 1.944835996975390752e-02 2.692913119649081310e-01 1.912207295847565269e-01
2.871484525805775845e-01 1.210459349852537614e-01 2.206995293901161184e-02 1.032659370222571565e-01 3.816150213717005302e-02 2.214193283794501504e-02 4.497960226715112808e-02 1.005515915999144472e-01 2.923713927375081595e-02 9.227514293251139199e-02 1.182560612369773639e-01 2.086675018747962893e-02
4.839290573836940029e-02 3.120619846667322950e-01 6.156598375139119006e-02 1.001970515262727707e-01 2.495379544066276059e-02 2.203799031950428450e-02 1.200662624839488463e-01 1.080340480219215693e-01 2.559901659944378849e-02 7.617193947914477348e-02 8.038852956262186600e-02 2.053049240998627845e-02
3.391663142760347749e-01 5.117140440713095068e-02 1.378824263653464881e-02 1.182724029515074410e-01 3.225919699373243354e-02 4.791695085645788360e-02 2.136198399307686832e-02 5.257422378354205394e-02 2.410821369588539084e-02 1.688190527453438949e-01 1.033620102662823614e-01 2.720000339447123730e-02
5.326116039286962756e-02 8.609224428686006181e-02 2.046717005466778747e-02 8.971714270572521410e-02 5.608184248971494895e-02 1.277210087736875554e-02 1.670102396979027473e-02 4.973227511004278956e-01 2.588713885743296195e-02 2.599118078890480174e-02 9.526953257899291316e-02 2.043671189724480600e-02
1.831149379983940950e-01 1.429929327401654737e-01 2.607070494998195431e-02 1.033250368495290117e-01 2.809019359104767202e-02 1.346429418210175200e-02 8.606195974370461910e-02 5.347711054596221425e-02 3.053016249166267196e-02 1.686605220197269842e-02 2.959738088715566096e-01 2.003280583392108571e-02
3.322401619397948869e-01 4.554907964057967884e-02 3.885459183850373255e-02 1.300597320540346769e-01 3.554194088605373142e-02 2.156512395332696105e-02 2.236383112643220220e-02 7.555325135746862597e-02 4.789723566329513044e-02 4.790248697442821973e-02 1.772287392190319277e-01 2.524382534705020206e-02
2.735162740244261870e-01 5.341492074114170124e-02 2.384529760974204299e-02 1.046999779441845219e-01 1.105734877793534410e-01 1.077963996282222010e-02 1.939417043163191301e-02 1.389240261024227707e-01 2.512005338329084680e-02 4.700508542404317758e-02 1.656012828899169620e-01 2.712578370702409605e-02
2.616387962618991203e-01 5.864605420525425411e-02 3.041133654531670560e-02 9.898778980607549072e-02 6.552306887591424767e-02 1.200434359502806567e-02 6.313623226393758059e-02 2.433734288514385891e-01 2.115827287106888596e-02 5.358275707064655974e-02 7.191642613175164289e-02 1.962149352166896177e-02
3.230175513618159244e-01 7.731294654770178021e-02 1.652988497606377657e-02 1.358203975883996439e-01 2.236783902164077645e-02 1.578928124612448414e-02 1.976792738891079010e-02 1.702525161771692164e-01 2.557796200085162008e-02 7.721725963014890171e-02 9.598190312359253240e-02 2.036453093758060565e-02
1.409689829209131717e-01 2.091427048993309556e-01 1.689390366722006223e-02 1.093486613891363618e-01 4.058863796952461023e-02 1.068060024479344609e-02 1.613179884629871788e-02 2.943583205054648988e-01 2.425834628172063648e-02 3.657130734280495538e-02 8.042766242267428145e-02 2.062907351011798729e-02
2.417697748836950822e-01 4.470568901627358649e-02 5.158652563079330761e-02 1.077101559934740410e-01 7.474486923617451595e-02 1.614886924824942421e-02 8.253726229700876493e-02 2.757832269182030477e-02 1.774733877611752234e-02 5.737852382233992604e-02 2.253101002876286563e-01 5.278256811642476759e-02
5.649684285547769413e-02 5.354913345049398116e-02 3.098685511185170216e-02 9.839663281246462112e-02 7.200884719223991925e-02 4.155857619464697894e-02 1.906106756661047827e-02 3.355481523503359154e-02 2.285919536085187498e-02 2.886767023615285227e-02 5.202430221399141352e-01 2.241734184426199400e-02
1.576667634862531364e-01 9.864030071054431803e-02 2.457646154760002172e-02 1.092463792488097829e-01 1.260146894327770495e-01 1.463819063653557483e-02 4.213992769171640007e-02 2.434088550763942316e-01 2.721885298457184590e-02 3.565717684545745281e-02 1.018476499822993653e-01 1.894475235704086782e-02
2.609863044170298019e-01 8.267610426486741992e-02 1.928062616232406254e-02 1.159386689019545891e-01 3.699556988594850104e-02 2.968141580751542177e-02 2.603091044663873727e-02 7.213009266625859672e-02 2.993464392843098523e-02 6.057455557259135148e-02 9.288734600393333540e-02 1.728837619425071526e-01
2.391646579591936994e-01 4.828023110461056311e-02 4.606448147472208543e-02 1.053779990351780688e-01 7.533005340375394099e-02 3.041370254572749177e-02 1.402674659850213813e-02 3.893764491549230045e-02 2.439016469214472585e-02 1.208468564867680450e-02 3.451368346751348959e-01 2.079279794686328744e-02
1.997114538683435470e-01 9.059607478257147850e-02 2.864353734131699220e-02 1.035081303457768137e-01 1.348127726263904647e-01 1.191498662906770312e-02 2.444809446500080877e-02 3.675585122006225225e-02 9.371540318531426661e-02 1.464813326773846680e-01 9.790146599298478469e-02 3.151089686578625870e-02
3.138558004747994401e-01 6.519575538954272553e-02 1.892915636659006293e-02 1.159879857552476717e-01 2.596748076644144268e-02 4.120705455301326009e-02 5.841787509279744439e-02 2.877844595647146425e-02 2.890056980368777353e-02 5.740693435468308820e-02 2.226225064157434930e-01 2.273043507098209196e-02
5.854304161818658231e-02 5.377704000305921772e-02 2.244242920417803891e-02 9.835466050694714746e-02 6.697013960954559253e-02 3.889250761684806545e-02 3.241554180745854358e-02 6.935876062039610102e-02 1.416809118452247718e-01 7.678416753882549850e-02 3.113262780955263764e-01 2.945452153380409901e-02
5.241554013134153145e-02 7.955767597390346613e-02 2.251390202415342115e-02 9.381824262292783045e-02 5.608142022015728118e-02 6.768217047633998118e-02 2.614547919655244718e-02 4.515480619857875633e-02 1.714187968038864349e-02 1.338092314646889026e-02 4.873507133591917229e-01 3.875724696999602314e-02
4.714888020676462344e-02 1.181743702662440415e-01 2.764347069970181717e-02 9.560737978566302697e-02 4.035586545369321265e-02 9.604335820488724140e-02 5.581915542725197910e-02 1.424701724368604150e-01 2.521927628192472196e-02 4.168511672385648986e-02 1.103971936648929786e-01 1.994357608482593691e-01
1.884634565914640736e-01 1.579043208278908539e-01 2.231093284429593038e-02 1.033183131619777595e-01 7.425071706993283116e-02 1.723022451828545853e-02 1.565814296408020792e-02 3.429756400127826482e-02 3.287994978722837136e-02 1.821397207703935248e-02 3.120686695816831668e-01 2.340373657484385791e-02
3.113189916054692197e-01 4.633209826713722418e-02 1.514020151908412881e-02 1.208745680686457297e-01 1.113099796026194299e-01 1.529504019946445643e-02 1.105818891075567578e-01 4.822774903464114443e-02 2.039200671901396367e-02 3.388826479447193396e-02 1.476638226560115508e-01 1.897538842588449709e-02
2.724100355432515497e-01 3.020091820872511726e-02 2.465127765786121264e-02 1.354769343788869984e-01 6.450076465200139941e-02 5.852071275260882499e-02 4.549717287139057320e-02 7.956095795592280084e-02 1.833178955391764550e-02 1.216787829449289676e-01 1.244639872167252193e-01 2.470666626377976752e-02
5.937714878022949672e-02 5.536173575575973477e-02 4.541884032559952156e-02 1.006837730388041724e-01 2.742437321006089765e-02 2.846703045493325507e-02 1.280703582329653471e-02 5.525054515943215172e-01 1.808621871673328149e-02 1.907464631216983231e-02 5.541860837683269120e-02 2.537513761125918810e-02
2.046868681497577558e-01 8.564357898781249645e-02 3.573268672753964620e-02 9.769280866753297932e-02 4.648977570970776185e-02 1.568692961381228101e-02 9.716602959663259154e-02 5.914450041024776200e-02 1.609314498575367958e-01 2.106310455305954177e-02 1.489410712031350170e-01 2.682119652322524639e-02
2.837991063599098474e-01 1.044776028393291645e-01 2.302212178226614725e-02 1.135972726265136734e-01 3.325755599892474962e-02 1.581914692021592697e-02 1.986277497015604201e-02 5.287638029695793801e-02 2.330708704342740467e-02 2.173136758384133227e-01 8.486418174509734180e-02 2.780309357878857704e-02
3.188520440556413815e-01 8.456914853732523663e-02 3.028160004729218632e-02 1.186638714269799416e-01 8.565075528041471431e-02 2.076458500392548007e-02 2.786554397413422077e-02 6.029165089609087730e-02 3.510006470322468014e-02 1.120056457142523249e-01 8.676036286972359235e-02 1.919472749099546127e-02
1.205299005027717779e-01 6.546560906921712608e-02 1.528794336100171465e-02 9.566895240548244084e-02 6.586138719428344390e-02 1.369951706037220163e-02 1.394007347472487994e-02 1.113230788271687977e-01 1.590096529139772494e-02 2.454796664281011509e-02 3.850927926630428044e-01 7.268181350772710825e-02
6.104424720226567236e-02 5.635731802565118603e-02 2.979896850184986234e-02 9.587223507605728556e-02 8.050507137382961753e-02 2.688956557041382797e-02 1.483647753505795003e-02 3.916452911167490059e-01 3.831787895324909737e-02 1.604249882442351782e-02 1.715205591143710573e-01 1.716988870608201698e-02
3.195175818220885033e-01 5.986800320598702901e-02 1.576013625472013138e-02 1.076476136746753742e-01 3.400608977031965158e-02 1.337055337570397344e-02 2.349313824987744187e-02 8.977458580338899818e-02 2.853761507348870352e-02 2.409967574149007516e-02 1.311697224273814244e-01 1.527552846008785326e-01
6.434183000773739669e-02 7.988888236659731634e-02 2.906935185631176824e-02 1.049096890223805284e-01 1.231858084396902225e-01 1.924145359932430063e-02 2.992766827724651843e-02 1.481351560513403665e-01 2.040083143463838553e-02 3.074810549353777789e-02 2.538288765390253610e-01 9.632234691217006484e-02
5.377132080907488787e-02 7.458291875482317423e-02 1.749125829049099495e-02 9.137941521897940955e-02 9.506076956709430537e-02 1.167896174965309120e-01 2.101535092771048691e-02 8.297138907690251863e-02 2.570952079690899672e-02 1.974838844398696114e-01 1.777954297061890843e-01 4.594912491542547245e-02
1.076534068636560149e-01 2.720149043371776210e-01 2.233609746527522033e-02 1.057376156180127730e-01 3.338058702866526090e-02 1.441072555624509609e-02 3.621780284980695430e-02 4.291867713847107718e-02 2.287665075431273218e-02 1.400833315195943174e-01 1.481024902503773610e-01 5.426771061840566374e-02
7.476114936425913571e-02 6.373252025991853198e-02 2.526037808163535472e-02 1.036454849758057378e-01 4.751785912779827453e-02 2.474030814573668566e-02 1.441906954354192118e-02 4.848482482933663129e-01 2.672442593731802138e-02 1.591919167362948820e-02 9.132863479828912112e-02 2.710272979870121182e-02
5.724354901086550068e-02 2.811346358319117278e-01 2.158734070261918506e-02 9.858123106998954721e-02 2.112044633293997872e-02 1.251723717707883994e-02 1.473603226028481067e-02 5.216297949847683441e-02 2.040676416133805141e-02 8.941243563223352786e-02 2.375793434391645365e-01 9.351800488309734705e-02
9.078764763657473646e-02 2.538789764712570673e-01 1.642239544934722545e-02 1.084366067069757883e-01 4.585377084834718620e-02 1.135191147774943995e-02 1.113221338121780507e-01 6.844374568178555884e-02 2.468750603592701973e-02 1.574614131777382076e-01 9.054350000851163482e-02 2.081039269360793198e-02
9.229228735884921486e-02 3.695390812914860906e-02 2.617007190535376379e-02 1.028110268229774915e-01 4.218584880595473152e-02 5.373058567646205042e-02 1.705900986116830331e-02 1.817047561648867660e-01 2.657646358304224452e-02 1.583132239303498834e-02 3.845840935898535706e-01 2.010062570926823139e-02
5.549836255836313598e-02 1.985971412327171837e-01 2.147566905016585689e-02 1.049911290612541154e-01 4.871736636198097103e-02 1.019381591110963756e-02 2.196025901113248663e-02 2.870034272320545060e-02 2.669439420514852293e-02 1.436577075027678334e-02 4.324264530643089355e-01 3.637929607033690838e-02
3.057943895254187638e-01 6.266492044932700511e-02 2.353052720880130858e-02 1.120734834828164411e-01 1.707730864014391642e-02 3.980373780118124510e-02 3.582346414981796290e-02 3.056876289022672499e-01 2.780500059811994926e-02 1.356744577444197672e-02 3.290887539992403549e-02 2.326321806774020798e-02
5.305844503495497910e-02 5.371581516714286908e-02 1.726908410043894934e-02 9.015686251911834981e-02 2.902082329967209384e-02 1.025183282513930372e-01 1.561763648310621894e-02 2.482316339912790104e-01 2.795597719364907238e-02 4.666348154724347247e-02 2.972454180604625074e-01 1.854649435153944356e-02
2.861318494185024486e-01 9.617341901638869206e-02 2.642408597761375377e-02 1.027299752512381287e-01 3.132008433223206628e-02 5.057874184443499760e-02 2.857574119815882441e-02 8.621776657017192480e-02 2.299545701722111382e-02 9.078792745229898042e-02 1.519714584949914959e-01 2.609349342674762220e-02
5.148153922155019463e-02 3.058157217803966210e-01 2.255026329312654829e-02 9.433944818759452955e-02 2.211333292799721323e-02 3.143010201423004218e-02 1.589050704447139695e-02 1.891738820013165734e-01 1.646550636009624230e-02 1.307146782565776488e-01 9.467202974568042495e-02 2.535298916696263408e-02
8.419395193765141783e-02 6.513033040164731280e-02 1.712735229060649914e-02 1.037466951087309130e-01 3.958320965463032332e-02 7.219085453107439154e-02 2.145626669707009077e-02 5.404211579545748628e-02 1.765526877842844150e-02 6.660596072677239798e-02 4.334264386745430575e-01 2.484155540338766829e-02
3.104299547295815698e-01 7.442575308651547261e-02 1.490439955962340537e-02 1.119481128183565793e-01 6.049723546837237897e-02 4.668878868797624038e-02 3.260236564236003443e-02 7.451570230397396022e-02 2.450137130972297045e-02 1.533124746117172366e-01 7.444994720854195003e-02 2.172389457325806308e-02
9.963819492290880431e-02 1.484585841369910897e-01 2.037959322211804411e-02 1.019548278409197067e-01 2.004800831810491651e-02 7.721676936299586014e-02 4.103592854547362390e-02 8.053668826332543995e-02 2.627465493935352350e-02 6.678346160412780563e-02 1.098284247635892830e-01 2.078448640800918124e-01
7.608088182346738060e-02 5.571873536572887614e-02 2.453679233991643005e-02 1.020137241426686964e-01 4.647736191903511366e-02 5.257042901614824432e-02 4.258476527107099563e-02 3.388160479908799982e-02 3.707192552923711804e-02 1.601186020567413673e-02 4.914128436705914038e-01 2.163907591737369504e-02
1.043620604444689681e-01 2.751344930999198302e-01 2.333355384697153104e-02 1.236057741903234808e-01 2.352229406319401514e-02 1.404771935539825094e-02 2.024232894346630202e-02 3.689458330475818559e-02 2.021220153570338351e-02 1.969547844275321702e-01 1.410573684040753450e-01 2.063283838418857388e-02
1.871806058217561908e-01 1.028193422023560011e-01 1.697297723924212978e-02 9.013864425803377878e-02 9.809882429155099282e-02 1.189718945766016570e-02 1.950084822526071959e-01 7.589503646628206757e-02 1.927787330440985936e-02 1.366907960331198955e-02 1.663305573903197943e-01 2.271138771246986390e-02
1.972188646805383694e-01 1.892887577666702847e-01 1.756820932726226372e-02 1.002013914069723594e-01 1.794395111048520397e-02 1.946799851771147116e-02 4.969211597799681746e-02 3.727286548513427528e-02 3.064916309747342874e-02 1.350477180523195209e-01 1.715947013232409779e-01 3.405426325419493028e-02
2.603298481041093626e-01 4.787299723807562218e-02 1.995003385306317115e-02 1.005325114077130905e-01 1.176662576420349215e-01 2.622232700701200223e-02 2.161302935984915283e-02 6.560816996887379460e-02 2.233773731457220496e-02 7.713017423334099509e-02 2.186174566481305925e-01 2.211945722322508981e-02
3.171443533846255436e-01 7.247936429622761634e-02 1.841785695335050946e-02 1.164936570401426258e-01 1.018221503586668464e-01 8.455448098120214168e-03 3.533495915998002834e-02 8.159360446745490825e-02 1.812928322044282670e-02 1.148198723552892320e-01 9.314118348767073952e-02 2.216826717802905522e-02
3.253190734930943018e-01 4.729312319933657444e-02 4.541022464952288590e-02 1.247482268636636166e-01 6.921987483504669914e-02 3.441039750610386944e-02 9.950832225754943638e-02 4.253184822061958914e-02 2.333508918634719445e-02 4.627190543366749981e-02 1.121289261374449064e-01 2.982298821760338142e-02
6.771145963253234756e-02 5.995468679466788020e-02 1.651635225367964477e-02 9.491624868235802592e-02 2.064063688692993961e-02 1.244472517515790438e-01 5.143390392248887305e-02 5.235532550116468731e-02 1.262413283118947460e-01 2.634401751467841876e-02 2.926647704529885541e-01 6.677401829503788744e-02
2.924724694461551255e-01 7.921612585839425680e-02 1.585520456259950639e-02 1.538629919459273410e-01 4.209860395854084225e-02 4.003499187870263043e-02 1.551037195255687388e-02 1.144639055892216206e-01 2.160276514547988802e-02 1.107646901479701351e-01 9.215778938174007395e-02 2.196009013271178062e-02
2.055368992756416713e-01 4.781251866598117822e-02 1.920669164016178265e-02 1.035130311902609096e-01 5.569518563255626553e-02 2.234619894756208203e-02 1.531096426939631237e-02 3.882538708090597090e-01 2.368157673590119694e-02 3.113116542002702936e-02 6.645347788303479497e-02 2.105841953041706627e-02
3.096834813977699663e-01 4.293743015897227844e-02 2.241000567181616540e-02 1.058866322245774066e-01 4.558338274465936757e-02 6.073178077931605523e-02 2.760985551079441283e-02 1.557762244433611720e-01 2.763742056422477389e-02 8.463497624792903906e-02 9.150588522666254498e-02 2.560292502991651578e-02
5.650853769927896564e-02 1.356407935275204535e-01 2.458868124785947365e-02 9.973640969621525021e-02 7.454790373675668214e-02 1.306025156908732256e-02 1.663612504404742704e-02 1.447855177353250533e-01 2.661385007542541731e-02 1.385804897745641917e-02 3.785511273998652948e-01 1.547275329116229621e-02
