l n nu dnu n_g
0 3 177.440 0.158 0 
0 4 210.492 0.150 0 
0 5 242.434 0.143 0 
0 6 274.680 0.136 0 
0 7 308.044 0.130 0 
0 8 341.720 0.062 0 
0 9 375.389 0.035 0 
0 10 409.104 0.038 0 
0 11 442.136 0.025 0 
0 12 474.799 0.024 0 
0 13 508.334 0.018 0 
0 14 542.880 0.017 0 
0 15 577.925 0.021 0 
0 16 613.186 0.034 0 
0 17 648.394 0.061 0 
0 18 683.363 0.171 0 
0 19 717.838 0.213 0 
0 20 752.878 0.224 0 
0 21 786.880 0.235 0 
0 22 822.461 0.247 0 
0 23 856.989 0.259 0 
0 24 892.197 0.272 0 
1 -4 169.790 0.217 7 
1 -9 179.161 0.207 12 
1 -8 185.514 0.197 12 
1 -7 194.935 0.188 11 
1 -6 212.919 0.179 10 
1 -5 217.822 0.170 9 
1 -4 236.487 0.162 9 
1 1 249.507 0.155 4 
1 -2 264.550 0.147 8 
1 3 282.028 0.140 3 
1 0 299.988 0.134 7 
1 3 315.382 0.127 4 
1 4 340.015 0.121 4 
1 3 352.337 0.115 5 
1 6 377.068 0.112 3 
1 7 395.668 0.056 4 
1 6 419.057 0.042 4 
1 9 440.807 0.031 2 
1 10 461.842 0.025 2 
1 9 489.113 0.019 4 
1 10 514.488 0.019 3 
1 11 534.220 0.016 3 
1 12 562.581 0.020 3 
1 13 595.188 0.028 3 
1 14 627.930 0.059 2 
1 15 652.983 0.118 2 
1 16 671.012 0.249 2 
1 17 701.661 0.262 2 
1 18 735.272 0.275 2 
1 19 769.264 0.289 2 
1 20 803.106 0.303 2 
1 21 837.547 0.318 2 
1 22 871.164 0.334 1 
1 23 902.223 0.351 1 
2 -20 170.352 0.224 23 
2 -19 172.862 0.213 22 
2 -18 179.731 0.203 21 
2 -17 188.702 0.193 20 
2 -16 195.578 0.184 20 
2 -15 200.188 0.175 19 
2 -14 209.438 0.167 18 
2 -13 213.780 0.159 17 
2 -12 223.991 0.151 16 
2 -11 236.002 0.144 16 
2 -10 239.147 0.137 15 
2 -9 254.143 0.131 14 
2 -8 266.080 0.125 14 
2 -7 272.534 0.119 13 
2 -6 284.557 0.113 12 
2 -5 298.124 0.108 12 
2 -4 305.116 0.102 11 
2 -3 321.900 0.098 10 
2 -2 337.209 0.093 10 
2 -1 351.190 0.089 9 
2 0 371.024 0.084 9 
2 1 387.304 0.080 8 
2 2 404.970 0.076 8 
2 3 430.869 0.073 7 
2 4 438.490 0.069 7 
2 5 471.155 0.046 7 
2 6 485.242 0.037 6 
2 7 504.805 0.030 6 
2 8 539.310 0.030 6 
2 9 555.400 0.045 5 
2 10 574.663 0.075 5 
2 11 609.516 0.205 5 
2 12 642.093 0.349 5 
2 13 645.438 0.366 4 
2 14 680.246 0.384 4 
2 15 714.864 0.404 4 
2 16 748.439 0.424 4 
2 17 753.721 0.445 3 
2 18 783.994 0.467 3 
2 19 819.300 0.491 3 
2 20 854.570 0.515 3 
2 21 888.605 0.541 3 
