l n nu dnu n_g
0 3 179.416 0.160 0 
0 4 212.522 0.152 0 
0 5 244.938 0.145 0 
0 6 277.610 0.138 0 
0 7 311.057 0.131 0 
0 8 345.074 0.062 0 
0 9 379.290 0.035 0 
0 10 413.347 0.038 0 
0 11 447.076 0.025 0 
0 12 480.228 0.024 0 
0 13 513.917 0.018 0 
0 14 548.628 0.018 0 
0 15 584.014 0.021 0 
0 16 619.629 0.034 0 
0 17 655.277 0.062 0 
0 18 690.311 0.173 0 
0 19 726.145 0.216 0 
0 20 761.013 0.226 0 
0 21 795.773 0.238 0 
0 22 831.281 0.250 0 
0 23 866.890 0.262 0 
0 24 902.056 0.275 0 
1 -9 174.152 0.232 12 
1 -8 185.467 0.221 11 
1 -7 189.501 0.210 11 
1 -6 206.022 0.200 10 
1 -3 219.525 0.191 7 
1 -4 228.621 0.181 9 
1 -1 251.215 0.173 6 
1 -2 256.430 0.165 8 
1 3 283.621 0.157 3 
1 0 290.854 0.149 7 
1 5 317.270 0.142 2 
1 2 333.491 0.135 6 
1 5 352.203 0.129 3 
1 6 374.898 0.123 3 
1 5 394.121 0.117 5 
1 6 418.550 0.059 4 
1 9 438.583 0.043 2 
1 8 463.229 0.033 4 
1 9 490.292 0.027 3 
1 10 511.156 0.020 3 
1 11 535.173 0.020 3 
1 12 566.666 0.017 3 
1 13 599.680 0.021 3 
1 14 627.941 0.030 2 
1 15 645.652 0.060 2 
1 16 674.870 0.122 2 
1 17 708.946 0.263 2 
1 18 742.487 0.276 2 
1 19 777.619 0.290 2 
1 20 811.675 0.305 2 
1 21 846.250 0.320 1 
1 22 875.565 0.336 1 
1 23 891.561 0.353 1 
1 24 920.780 0.370 1 
2 -18 174.606 0.228 21 
2 -17 182.228 0.217 20 
2 -16 191.639 0.206 19 
2 -15 197.226 0.197 19 
2 -14 203.304 0.187 18 
2 -13 212.726 0.178 17 
2 -12 217.038 0.170 16 
2 -11 229.747 0.162 15 
2 -10 239.042 0.154 15 
2 -9 245.767 0.147 14 
2 -8 261.889 0.140 13 
2 -7 269.510 0.133 13 
2 -6 280.111 0.127 12 
2 -5 291.308 0.121 11 
2 -4 306.214 0.115 11 
2 -3 312.053 0.109 10 
2 -2 338.285 0.104 10 
2 -1 341.170 0.099 9 
2 0 373.463 0.095 9 
2 1 375.165 0.090 8 
2 2 409.289 0.086 8 
2 3 416.006 0.082 7 
2 4 443.283 0.078 7 
2 5 468.271 0.074 6 
2 6 476.736 0.046 6 
2 7 510.395 0.039 6 
2 8 536.248 0.032 5 
2 9 545.264 0.030 5 
2 10 580.520 0.047 5 
2 11 615.948 0.081 5 
2 12 622.888 0.210 4 
2 13 652.144 0.354 4 
2 14 687.662 0.372 4 
2 15 722.367 0.390 4 
2 16 729.959 0.410 3 
2 17 757.595 0.430 3 
2 18 792.895 0.452 3 
2 19 828.124 0.475 3 
2 20 862.766 0.498 3 
2 21 890.061 0.523 2 
2 22 899.243 0.549 2 
