l n nu dnu n_g
0 3 170.050 0.152 0 
0 4 201.300 0.145 0 
0 5 232.352 0.138 0 
0 6 263.873 0.131 0 
0 7 295.835 0.125 0 
0 8 328.191 0.059 0 
0 9 360.300 0.033 0 
0 10 391.569 0.036 0 
0 11 422.527 0.024 0 
0 12 454.469 0.023 0 
0 13 487.319 0.017 0 
0 14 520.847 0.017 0 
0 15 554.345 0.020 0 
0 16 587.506 0.032 0 
0 17 620.557 0.058 0 
0 18 653.496 0.163 0 
0 19 686.624 0.204 0 
0 20 719.759 0.214 0 
0 21 753.286 0.225 0 
0 22 787.455 0.236 0 
0 23 821.572 0.248 0 
0 24 855.031 0.260 0 
1 -13 162.848 0.235 16 
1 -4 169.522 0.224 7 
1 -11 175.996 0.213 14 
1 -8 181.091 0.203 12 
1 -9 191.493 0.193 13 
1 -8 205.274 0.184 12 
1 -7 208.886 0.175 11 
1 -6 223.879 0.167 11 
1 -1 239.283 0.159 6 
1 -4 246.283 0.151 10 
1 -1 269.496 0.144 7 
1 -2 273.363 0.137 8 
1 3 300.466 0.131 4 
1 0 306.564 0.125 7 
1 5 332.226 0.119 3 
1 2 344.931 0.113 7 
1 7 364.746 0.108 2 
1 6 384.021 0.054 4 
1 5 402.539 0.040 5 
1 8 422.861 0.030 3 
1 9 442.504 0.024 3 
1 8 467.528 0.018 4 
1 9 489.470 0.018 4 
1 12 509.974 0.015 2 
1 11 538.317 0.019 4 
1 12 567.453 0.027 3 
1 13 587.972 0.055 3 
1 14 608.397 0.110 3 
1 15 638.555 0.237 3 
1 16 669.425 0.249 3 
1 17 701.763 0.261 3 
1 18 732.244 0.274 2 
1 19 750.976 0.288 2 
1 20 772.949 0.303 2 
1 21 804.744 0.318 2 
1 22 838.045 0.334 2 
2 -26 155.901 0.276 29 
2 -25 160.446 0.263 28 
2 -24 165.810 0.251 27 
2 -23 169.362 0.239 26 
2 -22 174.111 0.227 25 
2 -20 188.277 0.216 24 
2 -19 192.176 0.206 23 
2 -18 197.597 0.196 22 
2 -17 206.310 0.187 21 
2 -16 210.362 0.178 20 
2 -15 218.760 0.170 20 
2 -14 227.630 0.162 19 
2 -13 231.160 0.154 18 
2 -12 243.560 0.147 17 
2 -11 256.466 0.140 17 
2 -10 258.860 0.133 16 
2 -9 273.271 0.127 15 
2 -8 284.732 0.121 15 
2 -7 292.457 0.115 14 
2 -6 300.373 0.109 13 
2 -5 318.113 0.104 13 
2 -4 324.335 0.099 12 
2 -3 341.958 0.094 11 
2 -2 356.293 0.090 11 
2 -1 370.234 0.086 10 
2 0 387.950 0.082 10 
2 1 404.336 0.078 9 
2 2 418.926 0.074 9 
2 3 445.538 0.070 8 
2 4 450.994 0.044 8 
2 5 483.771 0.037 8 
2 6 495.864 0.029 7 
2 7 517.443 0.028 7 
2 8 551.005 0.044 7 
2 9 558.524 0.073 6 
2 10 584.303 0.197 6 
2 11 616.716 0.335 6 
2 12 635.680 0.352 5 
2 13 650.548 0.370 5 
2 14 683.617 0.388 5 
2 15 716.663 0.408 5 
2 16 730.092 0.428 4 
2 17 750.722 0.449 4 
2 18 785.249 0.472 4 
2 19 818.532 0.495 4 
2 20 851.413 0.520 4 
