name value uncertainty
Mode 0 0
logP -0.264 0
I_A 0.6 0
I_Sk -0.139 0
I_Ac 1.326 0
I_mean_mag 17.433 0.002
I_R21 0.526 0.014
I_R31 0.345 0.012
I_P21 2.786 0.032
I_P31 5.79 0.05
