name value uncertainty
Mode 0 0
logP -0.332 0
I_A 0.775 0
I_Sk 5.579 0
I_Ac 2.021 0
I_mean_mag 18.386 0.003
I_R21 0.529 0.022
I_R31 0.369 0.021
I_P21 2.536 0.057
I_P31 5.36 0.082
