name value uncertainty
Mode 0 0
logP -0.219 0
V_A 0.764 0
V_Sk 4.587 0
V_Ac 1.924 0
V_mean_mag 19.704 0.003
V_R21 0.51 0.015
V_R31 0.321 0.013
V_P21 2.333 0.039
V_P31 5.089 0.063
I_A 0.479 0
I_Sk -0.162 0
I_Ac 1.101 0
I_mean_mag 18.967 0.002
I_R21 0.462 0.015
I_R31 0.319 0.015
I_P21 2.838 0.042
I_P31 5.953 0.061
