name value uncertainty
Mode 0 0
logP -0.266 0
I_A 0.538 0
I_Sk 3.484 0
I_Ac 1.786 0
I_mean_mag 18.862 0.003
I_R21 0.433 0.023
I_R31 0.266 0.022
I_P21 2.684 0.064
I_P31 5.237 0.099
