name value uncertainty
Mode 0 0
logP -0.294 0
3.6_A 0.285 0
3.6_Sk 3.902 0
3.6_Ac 0.321 0
3.6_mean_mag 11.013 0.008
3.6_R21 0.469 0.125
3.6_R31 0.314 0.118
3.6_P21 4.114 0.337
3.6_P31 1.768 0.516
4.5_A 0.285 0
4.5_Sk 1.538 0
4.5_Ac 0.321 0
4.5_mean_mag 10.929 0.007
4.5_R21 0.413 0.093
4.5_R31 0.276 0.092
4.5_P21 3.961 0.297
4.5_P31 1.718 0.434
