name value uncertainty
Mode 0 0
logP -0.192 0
V_A 0.999 0
V_Sk 4.181 0
V_Ac 1.89 0
V_mean_mag 19.524 0.009
V_R21 0.532 0.05
V_R31 0.354 0.038
V_P21 2.466 0.11
V_P31 5.057 0.184
I_A 0.558 0
I_Sk 4.714 0
I_Ac 1.212 0
I_mean_mag 18.908 0.002
I_R21 0.467 0.017
I_R31 0.362 0.016
I_P21 2.787 0.045
I_P31 5.823 0.062
