name value uncertainty
Mode 0 0
logP -0.229 0
I_A 0.521 0
I_Sk -0.149 0
I_Ac 2.003 0
I_mean_mag 19.246 0.006
I_R21 0.402 0.043
I_R31 0.248 0.043
I_P21 2.836 0.136
I_P31 5.358 0.21
