name value uncertainty
Mode 0 0
logP -0.326 0
3.6_A 0.246 0
3.6_Sk -0.161 0
3.6_Ac 0.517 0
3.6_mean_mag 10.821 0.005
3.6_R21 0.438 0.087
3.6_R31 0.305 0.085
3.6_P21 4.021 0.256
3.6_P31 1.304 0.374
4.5_A 0.271 0
4.5_Sk -0.164 0
4.5_Ac 0.481 0
4.5_mean_mag 10.758 0.004
4.5_R21 0.49 0.068
4.5_R31 0.32 0.064
4.5_P21 3.923 0.173
4.5_P31 1.301 0.265
