name value uncertainty
Mode 0 0
logP -0.24 0
I_A 0.567 0
I_Sk 4.714 0
I_Ac 1.506 0
I_mean_mag 16.325 0.001
I_R21 0.433 0.01
I_R31 0.349 0.01
I_P21 2.651 0.029
I_P31 5.443 0.039
