name value uncertainty
Mode 1 0
logP -0.485 0
I_A 0.239 0
I_Sk -0.296 0
I_Ac 0.873 0
I_mean_mag 16.421 0.001
I_R21 0.084 0.01
I_R31 0.085 0.01
I_P21 3.793 0.118
I_P31 0.943 0.117
