name value uncertainty
Mode 1 0
logP -0.434 0
V_A 0.482 0
V_Sk -0.271 0
V_Ac 1.119 0
V_mean_mag 19.784 0.008
V_R21 0.155 0.047
V_R31 0.103 0.049
V_P21 3.128 0.296
V_P31 0.252 0.413
I_A 0.276 0
I_Sk 2.058 0
I_Ac 0.883 0
I_mean_mag 19.282 0.003
I_R21 0.139 0.029
I_R31 0.116 0.028
I_P21 3.499 0.213
I_P31 6.23 0.27
