#
# Stellar properties determined for the LEGACY dwarfs sample
#
# Columns description:
#
# 1: Kepler Input Catalogue Identifier
# 2: Mass in solar units
# 3: Positive mass uncertainty in solar units
# 4: Negative mass uncertainty in solar units
# 5: Radius in solar units
# 6: Positive radius uncertainty in solar units
# 7: Negative radius uncertainty in solar units
# 8: Surface gravity in dex
# 9: Positive surface gravity uncertainty in dex
# 10: Negative surface gravity uncertainty in dex
# 11: Age in units of Gyr
# 12: Positive age uncertainty in units of Gyr
# 13: Negative age uncertainty in units of Gyr
# 14: Luminosity in solar units
# 15: Positive luminosity uncertainty in solar units
# 16: Negative luminosity uncertainty in solar units
# 17: Density in g/cm$^3$
# 18: Positive density uncertainty in g/cm^3
# 19: Negative density uncertainty in g/cm^3
# 20: Distance in pc
# 21: Positive distance uncertainty in pc
# 22: Negative distance uncertainty in pc
# 23: Fractional initial hydrogen abundance
# 24: Positive fractional initial hydrogen abundance uncertainty
# 25: Negative fractional initial hydrogen abundance uncertainty
# 26: Fractional initial helium abundance
# 27: Positive fractional initial helium abundance uncertainty
# 28: Negative fractional initial helium abundance uncertainty
# 29: Fractional surface hydrogen abundance
# 30: Positive fractional surface hydrogen abundance uncertainty
# 31: Negative fractional surface hydrogen abundance uncertainty
# 32: Fractional surface helium abundance
# 33: Positive fractional surface helium abundance uncertainty
# 34: Negative fractional surface helium abundance uncertainty
# 35: Fractional central hydrogen abundance
# 36: Positive fractional central hydrogen abundance uncertainty
# 37: Negative fractional central hydrogen abundance uncertainty
# 38: Fractional central helium abundance
# 39: Positive fractional central helium abundance uncertainty
# 40: Negative fractional central helium abundance uncertainty
# 41: Mass coordinate of the convective core edge
# 42: Positive fractional uncertainty in mass coordinate of convective core edge
# 43: Negative fractional uncertainty in mass coordinate of convective core edge
# 44: Radius coordinate of the base of the convective envelope
# 45: Positive fractional uncertainty in radius coordinate of the base of the convective envelope
# 46: Negative fractional uncertainty in radius coordinate of the base of the convective envelope
# 47: Convective efficiency
# 48: Positive fractional uncertainty in convective efficiency
# 49: Negative fractional uncertainty in convective efficiency
# 50: Terminal age main sequence
#
# KIC      Mass    sMassP  sMassM  Rad     sRadP   sRadM   Grav    sGravP  sGravM  Age      sAgeP    sAgeM    Lum     sLumP   sLumM   Rho       sRhoP     sRhoM     Dist    sDistP  sDistM  Xini    sXiniP  sXiniM  Yini    sYiniP  sYiniM  Xsup    sXsupP  sXsupM  Ysup    sYsupP  sYsupM  Xcen    sXcenP  sXcenM  Ycen    sYcenP  sYcenM  MCcore   sMCcoreP sMCcoreM Rbe     sRbeP   sRbeM   alp_conv   salp_convP salp_convM TAMS    
#
5950854    1.0594  0.0477  -0.0477 1.2790  0.0206  -0.0206 4.2491  0.0056  -0.0056 9.4876   0.7644   -0.7644  1.7215  0.1324  -0.1324 0.713145  0.002589  -0.002589 229.81  7.82    -7.82   0.7692  0.0401  -0.0401 0.2162  0.0379  -0.0379 0.8130  0.0336  -0.0336 0.1750  0.0317  -0.0317 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.6995  0.0118  -0.0118 1.8885     0.1539     -0.1539    10.1250 
6106415    1.0998  0.0198  -0.0198 1.2281  0.0078  -0.0078 4.3007  0.0024  -0.0024 4.4844   0.0979   -0.0979  1.7751  0.0894  -0.0894 0.836284  0.001079  -0.001079 41.00   1.26    -1.26   0.7072  0.0118  -0.0118 0.2741  0.0108  -0.0108 0.7518  0.0096  -0.0096 0.2321  0.0088  -0.0088 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7640  0.0033  -0.0033 1.7219     0.0745     -0.0745    6.4427  
6116048    1.0284  0.0198  -0.0198 1.2275  0.0080  -0.0080 4.2720  0.0027  -0.0027 5.6240   0.1273   -0.1273  1.7358  0.0979  -0.0979 0.783278  0.001004  -0.001004 73.88   2.27    -2.27   0.7005  0.0159  -0.0159 0.2844  0.0146  -0.0146 0.7574  0.0134  -0.0134 0.2303  0.0123  -0.0123 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7585  0.0064  -0.0064 1.6599     0.0717     -0.0717    7.0491  
6225718    1.1395  0.0271  -0.0271 1.2272  0.0102  -0.0102 4.3167  0.0032  -0.0032 2.2949   0.0462   -0.0462  2.0531  0.1413  -0.1413 0.868434  0.001874  -0.001874 51.16   1.59    -1.59   0.6824  0.0159  -0.0159 0.2988  0.0147  -0.0147 0.7281  0.0141  -0.0141 0.2558  0.0129  -0.0129 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.8066  0.0068  -0.0068 1.7103     0.1137     -0.1137    5.2656  
6508366    1.3849  0.0796  -0.0796 2.1059  0.0434  -0.0434 3.9323  0.0078  -0.0078 1.4769   0.0956   -0.0956  6.9342  0.3638  -0.3638 0.208849  0.001855  -0.001855 174.89  6.37    -6.37   0.5543  0.0370  -0.0370 0.4109  0.0361  -0.0361 0.6781  0.0431  -0.0431 0.2966  0.0401  -0.0401 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 1.9530     0.1043     -0.1043    1.6168  
6603624    1.0193  0.0113  -0.0113 1.1532  0.0045  -0.0045 4.3223  0.0015  -0.0015 8.4206   0.1129   -0.1129  1.1045  0.0300  -0.0300 0.936083  0.000462  -0.000462 81.17   2.46    -2.46   0.6708  0.0069  -0.0069 0.2951  0.0063  -0.0063 0.7114  0.0061  -0.0061 0.2582  0.0056  -0.0056 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.6790  0.0017  -0.0017 1.7008     0.0313     -0.0313    10.3273 
6679371    1.8019  0.0359  -0.0359 2.3278  0.0213  -0.0213 3.9597  0.0040  -0.0040 1.0212   0.0737   -0.0737  9.7237  0.5233  -0.5233 0.201230  0.002724  -0.002724 179.39  5.63    -5.63   0.6059  0.0197  -0.0197 0.3362  0.0191  -0.0191 0.7865  0.0676  -0.0676 0.1823  0.0573  -0.0573 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 2.2847     0.2124     -0.2124    1.3557  
6933899    1.0629  0.0200  -0.0200 1.5558  0.0106  -0.0106 4.0805  0.0023  -0.0023 6.0599   0.1125   -0.1125  2.5522  0.0646  -0.0646 0.397610  0.000799  -0.000799 147.66  4.54    -4.54   0.6495  0.0111  -0.0111 0.3264  0.0107  -0.0107 0.7200  0.0085  -0.0085 0.2607  0.0081  -0.0081 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.6360  0.0044  -0.0044 1.6735     0.0371     -0.0371    5.5005  
7103006    1.5303  0.0449  -0.0449 1.9680  0.0209  -0.0209 4.0346  0.0037  -0.0037 1.3691   0.0740   -0.0740  5.8190  0.2359  -0.2359 0.282807  0.001200  -0.001200 158.48  5.04    -5.04   0.6037  0.0241  -0.0241 0.3488  0.0224  -0.0224 0.7627  0.0250  -0.0250 0.2086  0.0221  -0.0221 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 1.7888     0.0730     -0.0730    2.0361  
7106245    1.0401  0.0365  -0.0365 1.1473  0.0143  -0.0143 4.3356  0.0046  -0.0046 5.8373   0.4520   -0.4520  1.7820  0.1402  -0.1402 0.970048  0.003805  -0.003805 195.27  6.34    -6.34   0.7813  0.0294  -0.0294 0.2118  0.0285  -0.0285 0.8272  0.0261  -0.0261 0.1673  0.0253  -0.0253 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7855  0.0100  -0.0100 1.9378     0.2009     -0.2009    8.1575  
7206837    1.3112  0.0648  -0.0648 1.5488  0.0282  -0.0282 4.1755  0.0058  -0.0058 1.6642   0.0979   -0.0979  3.3590  0.2515  -0.2515 0.497079  0.003116  -0.003116 184.88  6.49    -6.49   0.6338  0.0300  -0.0300 0.3329  0.0296  -0.0296 0.7613  0.0165  -0.0165 0.2173  0.0159  -0.0159 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 1.5417     0.1209     -0.1209    3.7409  
7296438    1.1078  0.0383  -0.0383 1.3736  0.0168  -0.0168 4.2066  0.0044  -0.0044 6.3098   0.2422   -0.2422  1.8293  0.1365  -0.1365 0.601991  0.001570  -0.001570 164.14  5.32    -5.32   0.6650  0.0207  -0.0207 0.3023  0.0189  -0.0189 0.7132  0.0174  -0.0174 0.2582  0.0160  -0.0160 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7150  0.0069  -0.0069 1.6771     0.0900     -0.0900    6.6950  
7510397    1.3932  0.0264  -0.0264 1.8745  0.0130  -0.0130 4.0361  0.0024  -0.0024 2.6346   0.0809   -0.0809  5.2443  0.1953  -0.1953 0.297975  0.000871  -0.000871 86.48   2.66    -2.66   0.7072  0.0130  -0.0130 0.2751  0.0125  -0.0125 0.7733  0.0122  -0.0122 0.2128  0.0115  -0.0115 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 2.0653     0.0932     -0.0932    2.7733  
7680114    1.0866  0.0338  -0.0338 1.4027  0.0154  -0.0154 4.1800  0.0040  -0.0040 6.9959   0.2520   -0.2520  1.9230  0.1417  -0.1417 0.554601  0.001175  -0.001175 169.54  5.42    -5.42   0.6799  0.0214  -0.0214 0.2929  0.0192  -0.0192 0.7370  0.0180  -0.0180 0.2405  0.0161  -0.0161 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7057  0.0080  -0.0080 1.6750     0.0841     -0.0841    7.1369  
7771282    0.8187  0.1459  -0.1459 1.4070  0.0798  -0.0798 4.0506  0.0237  -0.0237 2.6101   0.2289   -0.2289  2.6343  0.3872  -0.3872 0.410960  0.002926  -0.002926 260.20  16.69   -16.69  0.4342  0.0610  -0.0610 0.5464  0.0642  -0.0642 0.5770  0.0479  -0.0479 0.4087  0.0503  -0.0503 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7050  0.0377  -0.0377 1.4572     0.1450     -0.1450    2.8980  
7871531    0.7440  0.0236  -0.0236 0.8371  0.0092  -0.0092 4.4638  0.0041  -0.0041 8.6999   0.2493   -0.2493  0.6113  0.0249  -0.0249 1.786362  0.002849  -0.002849 55.59   1.78    -1.78   0.6382  0.0187  -0.0187 0.3498  0.0186  -0.0186 0.6861  0.0161  -0.0161 0.3034  0.0161  -0.0161 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.6935  0.0035  -0.0035 1.5729     0.0652     -0.0652    13.7111 
7940546    1.4180  0.0247  -0.0247 1.9557  0.0122  -0.0122 4.0070  0.0026  -0.0026 2.2488   0.0835   -0.0835  5.6243  0.1567  -0.1567 0.267033  0.001071  -0.001071 76.54   2.34    -2.34   0.6760  0.0160  -0.0160 0.3023  0.0150  -0.0150 0.7610  0.0199  -0.0199 0.2227  0.0185  -0.0185 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 1.9320     0.0668     -0.0668    2.3099  
7970740    0.7723  0.0370  -0.0370 0.7770  0.0129  -0.0129 4.5448  0.0064  -0.0064 10.6081  0.4828   -0.4828  0.4094  0.0267  -0.0267 2.319349  0.004658  -0.004658 26.69   0.92    -0.92   0.7193  0.0289  -0.0289 0.2691  0.0290  -0.0290 0.7546  0.0248  -0.0248 0.2352  0.0249  -0.0249 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.6797  0.0033  -0.0033 1.8285     0.1781     -0.1781    21.2298 
8006161    0.9906  0.0156  -0.0156 0.9311  0.0051  -0.0051 4.4958  0.0021  -0.0021 4.9214   0.1358   -0.1358  0.6803  0.0376  -0.0376 1.728534  0.001052  -0.001052 26.73   0.81    -0.81   0.6844  0.0114  -0.0114 0.2831  0.0103  -0.0103 0.7054  0.0104  -0.0104 0.2640  0.0094  -0.0094 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.6840  0.0022  -0.0022 1.9422     0.0724     -0.0724    12.3681 
8150065    1.0680  0.1740  -0.1740 1.3382  0.0743  -0.0743 4.2118  0.0200  -0.0200 2.8801   0.2409   -0.2409  2.2968  0.3375  -0.3375 0.625861  0.008051  -0.008051 229.76  14.50   -14.50  0.6244  0.0904  -0.0904 0.3561  0.0908  -0.0908 0.7314  0.0624  -0.0624 0.2546  0.0622  -0.0622 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7405  0.0398  -0.0398 1.4865     0.2359     -0.2359    4.2368  
8179536    1.2280  0.0914  -0.0914 1.3471  0.0371  -0.0371 4.2682  0.0101  -0.0101 1.6766   0.1275   -0.1275  2.6600  0.1515  -0.1515 0.707618  0.011481  -0.011481 140.29  5.71    -5.71   0.6569  0.0494  -0.0494 0.3180  0.0477  -0.0477 0.7245  0.0483  -0.0483 0.2554  0.0448  -0.0448 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.3832  0.5789  -0.5789 1.7296     0.1635     -0.1635    3.7772  
8228742    1.3385  0.0339  -0.0339 1.8553  0.0172  -0.0172 4.0276  0.0030  -0.0030 3.3311   0.1393   -0.1393  4.8477  0.2799  -0.2799 0.295217  0.000875  -0.000875 174.64  5.48    -5.48   0.7242  0.0158  -0.0158 0.2606  0.0153  -0.0153 0.7785  0.0127  -0.0127 0.2090  0.0123  -0.0123 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  -9.9999 -9.9999 -9.9999 2.0004     0.1430     -0.1430    3.4141  
8379927    1.0675  0.0220  -0.0220 1.1010  0.0081  -0.0081 4.3826  0.0026  -0.0026 1.6330   0.0716   -0.0716  1.4075  0.0714  -0.0714 1.126485  0.002463  -0.002463 32.79   1.01    -1.01   0.6793  0.0121  -0.0121 0.3027  0.0115  -0.0115 0.7043  0.0109  -0.0109 0.2791  0.0103  -0.0103 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999 -9.9999  -9.9999  -9.9999  0.7980  0.0039  -0.0039 1.4931     0.0623     -0.0623    6.5029  
