model_number age log_g radius Y_surf tau_MS
374 1.74532342050128 3.91960718880237 2.29721198616289 0.274452820348689 1
375 1.74857924235749 3.92563917981915 2.28131406541386 0.274452820348689 1.00186545474493
376 1.75118389984246 3.92516482362215 2.28256028319695 0.274452820348688 1.00335781854087
377 1.75326762583043 3.91221294403285 2.31685148775087 0.274452820348689 1.00455170957763
378 1.75493460662081 3.89989055838136 2.34995415009373 0.274452820348688 1.00550682240703
379 1.75626819125311 3.89164846548703 2.37235913932441 0.274452820348689 1.00627091267055
380 1.75733505895895 3.88654611622615 2.38633609291903 0.274452820348689 1.00688218488137
381 1.75818855312363 3.88336541296707 2.39509068419981 0.274452820348689 1.00737120265003
382 1.75887134845537 3.88126132821062 2.40089962582192 0.274452820348689 1.00776241686495
383 1.75941758472076 3.87980750666037 2.40492155394776 0.274452820348689 1.00807538823689
384 1.75988020807194 3.87870745225965 2.40796927919763 0.274452820348689 1.00834045277779
385 1.76030982321623 3.87777630204659 2.41055206975679 0.274452820348689 1.00858660494606
386 1.76072755421526 3.87693988139185 2.41287446471942 0.274452820348689 1.00882594797792
387 1.7611432198652 3.87616388310541 2.41503109250681 0.274452820348689 1.00906410764796
388 1.76164201864512 3.87529703545696 2.41744248511241 0.274452820348689 1.009349899252
389 1.76224057718103 3.87432974820816 2.42013612261744 0.274452820348689 1.00969284917686
390 1.7627551665604 3.87353977503851 2.42233821399574 0.274452820348689 1.00998768815817
391 1.76323621703063 3.87283184110085 2.42431331905537 0.274452820348689 1.01026331069585
392 1.76370229302784 3.87217025859379 2.42616056133496 0.274452820348689 1.01053035346382
393 1.76416222033371 3.87153848861529 2.42792587615984 0.274452820348689 1.01079387327938
394 1.7646204801268 3.870927137692 2.42963535817418 0.274452820348689 1.01105643767731
395 1.76517039187851 3.87021634990327 2.43162440249022 0.274452820348689 1.01137151495482
396 1.76583028598056 3.86938987451905 2.43393923058342 0.274452820348689 1.01174960768784
397 1.76638862992354 3.86869291686393 2.43589301241823 0.274452820348689 1.01206951627121
398 1.76690348089688 3.8680641384764 2.43765701295263 0.274452820348689 1.01236450513533
399 1.76739646303691 3.86748002157685 2.43929686286356 0.274452820348689 1.01264696403907
400 1.76787851375271 3.86691407551948 2.44088675215153 0.274452820348689 1.01292315967716
401 1.76835506451224 3.86636128948565 2.44244067191106 0.274452820348689 1.01319620406191
402 1.76882877732681 3.86581914761974 2.44396563104309 0.274452820348689 1.01346762241853
403 1.76930102747336 3.86528450600607 2.44547042560626 0.274452820348689 1.01373820272531
404 1.76977246520782 3.8647571911379 2.44695550598572 0.274452820348689 1.0140083175527
405 1.77024334607684 3.86423418986005 2.44842932879113 0.274452820348689 1.01427811331862
406 1.77071373833241 3.86371606683882 2.44989027993437 0.274452820348689 1.01454762912872
407 1.77118360776698 3.86319911566331 2.45134879560309 0.274452820348689 1.01481684538346
408 1.7716528466842 3.86268982963903 2.45278653406001 0.274452820348689 1.01508570037716
409 1.77212133031623 3.86218552331454 2.45421104550743 0.274452820348689 1.01535412262288
410 1.77258895878244 3.86168395266612 2.45562865010175 0.274452820348689 1.01562205489303
411 1.77315011294189 3.86108800596968 2.45731405711434 0.274452820348689 1.01594357361721
412 1.77382349793323 3.86037616945434 2.45932873023298 0.274452820348689 1.01632939608624
413 1.77463155992284 3.85952754774615 2.46173269770028 0.274452820348689 1.01679238304906
414 1.77560123431037 3.8585100255677 2.46461822293498 0.274452820348689 1.01734796740445
415 1.7767648435754 3.85730355946014 2.46804394500657 0.274452820348689 1.01801466863093
416 1.77816117469344 3.85586806798937 2.47212618111683 0.274452820348689 1.01881471010269
417 1.77983677203509 3.85415774983609 2.47699878247713 0.274452820348689 1.01977475986881
418 1.78184748884507 3.85211587984259 2.48282853528961 0.274452820348689 1.02092681958815
419 1.78426034901705 3.84967292162323 2.48982146790531 0.274452820348689 1.02230929125135
420 1.78715578122342 3.84674247999419 2.49823580277375 0.274452820348689 1.0239682572472
421 1.79036923217353 3.84347065567333 2.50766397072379 0.274452820348689 1.02580943517008
422 1.79373763523326 3.84001067322615 2.51767305190143 0.274452820348689 1.02773939440868
423 1.79716108897444 3.83644442154172 2.52803136137492 0.274452820348689 1.02970089546972
424 1.80057957583441 3.83281183207166 2.5386261655466 0.274452820348689 1.03165955070795
425 1.80395119102189 3.82917204217194 2.54928650479827 0.274452820348689 1.03359135036633
426 1.80724537574259 3.82554106782556 2.55996562759355 0.274452820348689 1.03547878548695
427 1.81045601857169 3.82192433591837 2.57064733411101 0.274452820348689 1.03731835446963
428 1.81357379156023 3.8183324110576 2.58129988768148 0.274452820348689 1.03910471277544
429 1.8165904308581 3.81478817091784 2.59185429028784 0.274452820348689 1.04083312555123
430 1.8195101191483 3.81128242509111 2.60233651420205 0.274452820348689 1.04250598930582
431 1.82233091263098 3.80781798214733 2.61273688828633 0.274452820348689 1.04412219032022
432 1.82505161455971 3.80441799082544 2.62298418835354 0.274452820348689 1.04568104290695
433 1.82767874105676 3.80106837397187 2.63311896476691 0.274452820348689 1.04718628054154
434 1.83021721919285 3.79776653068258 2.64314751960171 0.274452820348689 1.04864072623697
435 1.83267181017519 3.79450002387206 2.65310633188659 0.274452820348689 1.05004710797316
436 1.83504526756427 3.7912869556122 2.66293882873353 0.274452820348689 1.05140700342932
437 1.83734383663782 3.78812797000663 2.67264134804906 0.274452820348689 1.05272399089798
438 1.83957290697399 3.78501047193893 2.68225109997674 0.274452820348689 1.05400115839026
439 1.84173379703589 3.78193893893081 2.69175295547396 0.274452820348689 1.05523926133239
