n l nu dnu
13 2 1686.41863 0.312873839805 
14 0 1695.06915 0.0869020395071 
14 1 1749.21409 0.101064009232 
14 2 1804.16767 0.272978980918 
15 0 1812.42816 0.0966240629865 
15 1 1866.52328 0.117989028239 
15 2 1921.20648 0.159850943565 
16 0 1928.90138 0.0717355776071 
15 3 1970.95918 5.13722504036 
16 1 1982.591555 0.0705683160588 
16 2 2036.66745 0.13704824559 
17 0 2044.27796 0.0602866261678 
16 3 2085.36982 1.4983748475 
17 1 2098.0839 0.0565860281984 
17 2 2152.41959 0.102349870847 
18 0 2159.58078 0.0569259456774 
17 3 2200.57909 1.22370713213 
18 1 2214.16615 0.05624610449 
18 2 2268.95547 0.0831586146055 
19 0 2275.94792 0.0482559959075 
18 3 2319.12031 0.373924294046 
19 1 2331.13821 0.0396667975797 
19 2 2386.263375 0.0608233749943 
20 0 2392.71065 0.0425987693245 
19 3 2436.65623 0.299447049239 
20 1 2448.25328 0.0410012932975 
20 2 2503.49813 0.0598264219113 
21 0 2509.66647 0.0405089288348 
20 3 2554.14598 0.146571555671 
21 1 2565.40298 0.041718087988 
21 2 2620.56444 0.0662369972022 
22 0 2626.39748 0.0449376026152 
21 3 2671.72167 0.168103089458 
22 1 2682.40204 0.0479737201351 
22 2 2737.74398 0.0793571905516 
23 0 2743.32875 0.0584052965449 
22 3 2789.15442 0.276270137214 
23 1 2799.73401 0.0631514715634 
23 2 2855.631105 0.123912247239 
24 0 2860.72057 0.100838859713 
23 3 2906.86538 0.435047563273 
24 1 2917.79309 0.0972306091726 
24 2 2973.56372 0.235129409308 
25 0 2978.50399 0.151057946903 
24 3 3025.06095 1.12826860282 
25 1 3036.05799 0.154562070684 
25 2 3093.03565 0.507109031236 
26 0 3096.85025 0.419247010572 
25 3 3144.03489 1.41549015796 
26 1 3154.30674 0.290389283301 
26 2 3213.39806 1.53587077979 
27 0 3214.9251 1.04037503944 
27 1 3273.16767 0.643039480533 
27 2 3333.06024 2.74260008225 
28 0 3334.21916 1.90332442698 
28 1 3393.447575 0.767873085246 
