#  l   n        freq     error
#             muHz        muHz
   45   2   1351.2658   0.0024
   45   3   1598.4156   0.0035
   45   4   1815.2851   0.0051
   45   5   2019.9798   0.0062
   45   6   2217.7606   0.0074
   45   7   2406.4326   0.0080
   45   8   2589.3884   0.0080
   45   9   2770.4671   0.0073
   45   10   2949.3653   0.0071
   45   11   3125.2529   0.0078
   45   12   3298.6938   0.0100
   45   13   3470.2773   0.0135
   45   14   3639.8239   0.0186
   45   15   3806.8490   0.0261
   45   16   3971.3641   0.0376
   45   17   4133.6743   0.0523
   46   1   1071.9980   0.0017
   46   2   1363.3038   0.0022
   46   3   1611.4276   0.0036
   46   4   1829.1770   0.0054
   46   5   2035.2190   0.0063
   46   6   2233.9053   0.0071
   46   7   2423.2701   0.0081
   46   8   2607.1796   0.0080
   46   9   2789.2971   0.0071
   46   10   2968.9682   0.0072
   46   11   3145.5997   0.0080
   46   12   3319.9433   0.0101
   46   13   3492.5283   0.0141
   46   14   3663.1193   0.0197
   46   15   3831.2632   0.0276
   46   16   3996.9345   0.0397
   47   1   1081.8607   0.0017
   47   2   1375.1861   0.0026
   47   3   1624.2387   0.0037
   47   4   1842.9064   0.0053
   47   5   2050.3139   0.0061
   47   6   2249.9082   0.0073
   47   7   2439.9248   0.0081
   47   8   2624.8434   0.0079
   47   9   2807.9131   0.0072
   47   10   2988.3906   0.0070
   47   11   3165.7621   0.0083
   47   12   3340.9643   0.0104
   47   13   3514.4858   0.0146
   47   14   3686.0569   0.0205
   47   15   3855.3140   0.0293
   47   16   4022.0551   0.0427
   48   1   1091.6092   0.0020
   48   2   1386.9232   0.0026
   48   3   1636.8727   0.0038
   48   4   1856.5108   0.0054
   48   5   2065.2390   0.0064
   48   6   2265.6825   0.0073
   48   7   2456.4245   0.0081
   48   8   2642.3451   0.0076
   48   9   2826.4133   0.0071
   48   10   3007.6044   0.0068
   48   11   3185.7143   0.0084
   48   12   3361.7254   0.0107
   48   13   3536.1609   0.0152
   48   14   3708.6958   0.0215
   48   15   3878.9908   0.0317
   48   16   4046.9441   0.0457
   49   1   1101.2444   0.0017
   49   2   1398.5174   0.0024
   49   3   1649.3344   0.0037
   49   4   1869.9547   0.0051
   49   5   2080.0234   0.0064
   49   6   2281.2951   0.0074
   49   7   2472.7722   0.0080
   49   8   2659.7350   0.0075
   49   9   2844.7243   0.0069
   49   10   3026.6603   0.0071
   49   11   3205.5333   0.0087
   49   12   3382.3390   0.0109
   49   13   3557.6039   0.0159
   49   14   3731.0630   0.0229
   49   15   3902.3607   0.0342
   49   16   4071.3873   0.0491
   50   1   1110.7793   0.0020
   50   2   1409.9690   0.0025
   50   3   1661.6089   0.0039
   50   4   1883.2649   0.0055
   50   5   2094.6459   0.0065
   50   6   2296.7069   0.0075
   50   7   2488.9653   0.0078
   50   8   2676.9845   0.0075
   50   9   2862.8899   0.0067
   50   10   3045.5458   0.0073
   50   11   3225.1514   0.0087
   50   12   3402.7619   0.0114
   50   13   3578.8696   0.0165
   50   14   3753.2265   0.0239
   50   15   3925.5080   0.0361
   51   1   1120.2109   0.0020
   51   2   1421.2746   0.0025
   51   3   1673.7255   0.0040
   51   4   1896.4608   0.0054
   51   5   2109.1384   0.0064
   51   6   2311.9818   0.0075
   51   7   2504.9948   0.0079
   51   8   2694.0508   0.0075
   51   9   2880.8728   0.0068
   51   10   3064.2612   0.0071
   51   11   3244.6056   0.0090
   51   12   3423.0072   0.0119
   51   13   3599.9098   0.0172
   51   14   3775.0842   0.0256
   51   15   3948.2939   0.0384
   52   1   1129.5379   0.0020
   52   2   1432.4552   0.0025
   52   3   1685.6719   0.0041
   52   4   1909.5218   0.0055
   52   5   2123.4799   0.0065
   52   6   2327.0474   0.0076
   52   7   2520.9132   0.0077
   52   8   2711.0114   0.0072
   52   9   2898.7296   0.0067
   52   10   3082.8144   0.0074
   52   11   3263.8991   0.0090
   52   12   3443.1124   0.0122
   52   13   3620.7878   0.0179
   52   14   3796.7474   0.0271
   52   15   3970.9177   0.0413
   53   1   1138.7656   0.0024
   53   2   1443.4836   0.0025
   53   3   1697.4613   0.0043
   53   4   1922.4708   0.0054
   53   5   2137.6565   0.0067
   53   6   2341.9658   0.0072
   53   7   2536.6779   0.0078
   53   8   2727.8550   0.0073
   53   9   2916.3903   0.0068
   53   10   3101.2175   0.0074
   53   11   3283.0663   0.0092
   53   12   3463.0446   0.0128
   53   13   3641.4958   0.0187
   53   14   3818.1628   0.0290
   53   15   3993.0849   0.0440
   54   1   1147.9001   0.0021
   54   2   1454.3879   0.0028
   54   3   1709.1207   0.0042
   54   4   1935.2965   0.0057
   54   5   2151.7220   0.0066
   54   6   2356.7180   0.0075
   54   7   2552.3091   0.0079
   54   8   2744.5523   0.0072
   54   9   2933.9405   0.0066
   54   10   3119.4851   0.0072
   54   11   3302.0779   0.0094
   54   12   3482.8213   0.0132
   54   13   3662.0122   0.0202
   54   14   3839.5072   0.0307
   55   2   1465.1598   0.0028
   55   3   1720.6236   0.0041
   55   4   1948.0291   0.0056
   55   5   2165.6183   0.0066
   55   6   2371.3145   0.0076
   55   7   2567.8300   0.0078
   55   8   2761.1108   0.0071
   55   9   2951.3381   0.0065
   55   10   3137.5899   0.0076
   55   11   3320.9329   0.0095
   55   12   3502.4615   0.0137
   55   13   3682.3366   0.0204
   55   14   3860.4234   0.0309
   56   1   1165.8949   0.0018
   56   2   1475.7969   0.0026
   56   3   1731.9747   0.0043
   56   4   1960.6201   0.0058
   56   5   2179.3715   0.0067
   56   6   2385.7661   0.0077
   56   7   2583.2486   0.0077
   56   8   2777.5811   0.0070
   56   9   2968.5743   0.0066
   56   10   3155.5466   0.0077
   56   11   3339.6568   0.0097
   56   12   3521.9545   0.0144
   56   13   3702.5423   0.0223
   57   1   1174.7600   0.0017
   57   2   1486.3124   0.0028
   57   3   1743.2040   0.0043
   57   4   1973.1361   0.0056
   57   5   2193.0193   0.0067
   57   6   2400.0664   0.0076
   57   7   2598.5179   0.0075
   57   8   2793.8849   0.0068
   57   9   2985.6780   0.0067
   57   10   3173.3656   0.0078
   57   11   3358.2784   0.0099
   57   12   3541.3041   0.0148
   57   13   3722.6831   0.0225
   57   14   3902.2701   0.0343
   58   1   1183.5454   0.0018
   58   2   1496.6966   0.0028
   58   3   1754.2994   0.0044
   58   4   1985.5512   0.0056
   58   5   2206.4790   0.0067
   58   6   2414.2617   0.0076
   58   7   2613.7012   0.0075
   58   8   2810.0851   0.0069
   58   9   3002.6601   0.0067
   58   10   3191.0607   0.0080
   58   11   3376.7378   0.0103
   58   12   3560.5623   0.0156
   58   13   3742.5244   0.0244
   59   1   1192.2423   0.0016
   59   2   1506.9600   0.0031
   59   3   1765.2670   0.0044
   59   4   1997.8306   0.0056
   59   5   2219.8359   0.0068
   59   6   2428.3014   0.0076
   59   7   2628.7658   0.0076
   59   8   2826.1489   0.0068
   59   9   3019.4748   0.0067
   59   10   3208.6349   0.0082
   59   11   3395.0859   0.0107
   59   12   3579.6080   0.0162
   59   13   3762.2963   0.0256
   59   14   3943.1838   0.0386
   60   1   1200.8554   0.0022
   60   2   1517.1004   0.0031
   60   3   1776.1321   0.0043
   60   4   2010.0229   0.0059
   60   5   2233.0248   0.0068
   60   6   2442.2087   0.0076
   60   7   2643.7063   0.0074
   60   8   2842.0762   0.0067
   60   9   3036.1581   0.0068
   60   10   3226.0690   0.0084
   60   11   3413.3058   0.0111
   60   12   3598.6329   0.0169
   60   13   3781.9271   0.0268
   61   1   1209.3911   0.0018
   61   2   1527.1174   0.0030
   61   3   1786.8473   0.0050
   61   4   2022.1171   0.0061
   61   5   2246.0889   0.0073
   61   6   2456.0053   0.0077
   61   7   2658.5499   0.0073
   61   8   2857.8970   0.0068
   61   9   3052.7426   0.0068
   61   10   3243.3765   0.0082
   61   11   3431.4103   0.0115
   61   12   3617.4379   0.0178
   61   13   3801.5032   0.0290
   62   1   1217.8473   0.0018
   62   2   1537.0156   0.0032
   62   3   1797.4825   0.0049
   62   4   2034.1055   0.0061
   62   5   2259.0388   0.0072
   62   6   2469.6875   0.0076
   62   7   2673.3078   0.0071
   62   8   2873.6054   0.0068
   62   9   3069.1846   0.0070
   62   10   3260.5785   0.0083
   62   11   3449.3740   0.0118
   62   12   3636.1557   0.0183
   62   13   3820.8264   0.0280
   63   1   1226.2314   0.0020
   63   2   1546.7998   0.0033
   63   3   1808.0145   0.0049
   63   4   2046.0086   0.0062
   63   5   2271.8417   0.0073
   63   6   2483.2568   0.0078
   63   7   2687.9594   0.0071
   63   8   2889.1725   0.0066
   63   9   3085.4908   0.0071
   63   10   3277.6547   0.0085
   63   11   3467.2428   0.0125
   63   12   3654.7668   0.0192
   64   1   1234.5366   0.0020
   64   2   1556.4683   0.0033
   64   3   1818.4250   0.0051
   64   4   2057.8276   0.0061
   64   5   2284.5064   0.0073
   64   6   2496.7198   0.0076
   64   7   2702.4998   0.0072
   64   8   2904.6315   0.0066
   64   9   3101.6998   0.0071
   64   10   3294.6340   0.0086
   64   11   3484.9951   0.0129
   64   12   3673.1995   0.0203
   64   13   3859.2485   0.0305
   65   1   1242.7759   0.0020
   65   2   1566.0224   0.0034
   65   3   1828.7554   0.0052
   65   4   2069.5321   0.0063
   65   5   2297.0730   0.0072
   65   6   2510.0861   0.0074
   65   7   2716.9619   0.0072
   65   8   2919.9744   0.0066
   65   9   3117.7876   0.0072
   65   10   3311.4809   0.0088
   65   11   3502.6257   0.0134
   65   12   3691.4968   0.0220
   66   1   1250.9377   0.0018
   66   2   1575.4658   0.0036
   66   3   1838.9938   0.0050
   66   4   2081.1401   0.0063
   66   5   2309.5080   0.0073
   66   6   2523.3385   0.0075
   66   7   2731.3171   0.0071
   66   8   2935.2131   0.0066
   66   9   3133.7599   0.0071
   66   10   3328.2498   0.0090
   66   11   3520.1482   0.0139
   67   1   1259.0365   0.0021
   67   2   1584.8021   0.0034
   67   3   1849.1291   0.0053
   67   4   2092.6592   0.0064
   67   5   2321.8235   0.0073
   67   6   2536.4990   0.0075
   67   7   2745.5564   0.0071
   67   8   2950.3351   0.0067
   67   9   3149.5898   0.0072
   67   10   3344.8863   0.0093
   67   11   3537.5531   0.0125
   68   1   1267.0582   0.0021
   68   2   1594.0175   0.0035
   68   3   1859.1972   0.0051
   68   4   2104.0659   0.0065
   68   5   2334.0173   0.0074
   68   6   2549.5659   0.0075
   68   7   2759.7152   0.0070
   68   8   2965.3163   0.0066
   68   9   3165.3391   0.0073
   68   10   3361.4144   0.0096
   68   11   3554.9235   0.0120
   69   1   1275.0227   0.0021
   69   2   1603.1395   0.0036
   69   3   1869.1689   0.0053
   69   4   2115.4011   0.0065
   69   5   2346.1038   0.0074
   69   6   2562.5399   0.0074
   69   7   2773.7835   0.0068
   69   8   2980.2220   0.0067
   69   9   3180.9927   0.0074
   69   10   3377.8551   0.0100
   69   11   3572.0896   0.0155
   69   12   3763.8015   0.0238
   70   1   1282.9093   0.0020
   70   2   1612.1589   0.0037
   70   3   1879.0541   0.0053
   70   4   2126.6374   0.0066
   70   5   2358.0715   0.0074
   70   6   2575.4787   0.0074
   70   7   2787.7526   0.0068
   70   8   2995.0109   0.0065
   70   9   3196.5165   0.0075
   70   10   3394.1825   0.0104
   70   11   3589.1645   0.0165
   71   1   1290.7388   0.0021
   71   2   1621.0627   0.0038
   71   3   1888.8684   0.0055
   71   4   2137.7644   0.0065
   71   5   2369.9379   0.0073
   71   6   2588.2620   0.0072
   71   7   2801.6178   0.0068
   71   8   3009.6989   0.0067
   71   9   3211.9582   0.0076
   71   10   3410.4267   0.0107
   71   11   3606.2214   0.0176
   71   12   3799.3180   0.0276
   72   1   1298.5077   0.0022
   72   2   1629.8826   0.0040
   72   3   1898.6165   0.0053
   72   4   2148.8227   0.0067
   72   5   2381.7054   0.0073
   72   6   2600.9958   0.0073
   72   7   2815.4140   0.0067
   72   8   3024.2631   0.0066
   72   9   3227.2926   0.0076
   72   10   3426.5643   0.0111
   72   11   3623.0011   0.0171
   73   1   1306.2097   0.0023
   73   2   1638.5989   0.0041
   73   3   1908.2863   0.0055
   73   4   2159.7763   0.0066
   73   5   2393.3804   0.0073
   73   6   2613.6477   0.0072
   73   7   2829.1149   0.0067
   73   8   3038.7426   0.0066
   73   9   3242.5187   0.0078
   73   10   3442.6144   0.0114
   73   11   3639.8545   0.0241
   74   1   1313.8498   0.0023
   74   2   1647.2170   0.0039
   74   3   1917.8933   0.0055
   74   4   2170.6376   0.0066
   74   5   2404.9378   0.0074
   74   6   2626.2202   0.0072
   74   7   2842.6952   0.0067
   74   8   3053.1201   0.0066
   74   9   3257.6696   0.0079
   74   10   3458.5659   0.0120
   74   11   3656.6266   0.0182
   75   1   1321.4332   0.0022
   75   2   1655.7495   0.0039
   75   3   1927.4105   0.0056
   75   4   2181.3995   0.0068
   75   5   2416.4106   0.0074
   75   6   2638.7065   0.0071
   75   7   2856.2001   0.0066
   75   8   3067.3905   0.0067
   75   9   3272.7380   0.0081
   75   10   3474.4462   0.0123
   75   11   3673.1465   0.0247
   76   1   1328.9524   0.0024
   76   2   1664.1789   0.0042
   76   3   1936.8780   0.0056
   76   4   2192.0801   0.0068
   76   5   2427.7694   0.0074
   76   6   2651.1564   0.0071
   76   7   2869.6127   0.0066
   76   8   3081.5695   0.0068
   76   9   3287.7068   0.0083
   76   10   3490.2108   0.0129
   76   11   3689.7852   0.0203
   77   1   1336.4184   0.0023
   77   2   1672.5313   0.0038
   77   3   1946.2774   0.0056
   77   4   2202.6795   0.0068
   77   5   2439.0701   0.0074
   77   6   2663.4811   0.0071
   77   7   2882.9518   0.0066
   77   8   3095.6520   0.0067
   77   9   3302.5900   0.0086
   77   10   3505.8742   0.0132
   78   1   1343.8191   0.0024
   78   2   1680.7757   0.0040
   78   3   1955.6100   0.0056
   78   4   2213.1691   0.0069
   78   5   2450.2763   0.0074
   78   6   2675.7536   0.0069
   78   7   2896.1764   0.0065
   78   8   3109.6372   0.0068
   78   9   3317.3806   0.0086
   79   1   1351.1730   0.0024
   79   2   1688.9422   0.0043
   79   3   1964.8931   0.0056
   79   4   2223.5783   0.0068
   79   5   2461.3998   0.0074
   79   6   2687.9554   0.0069
   79   7   2909.3359   0.0065
   79   8   3123.5498   0.0068
   79   9   3332.0861   0.0087
   79   10   3536.9993   0.0141
   80   0   911.1634   0.0024
   80   1   1358.4643   0.0025
   80   2   1697.0299   0.0041
   80   3   1974.1285   0.0055
   80   4   2233.8934   0.0071
   80   5   2472.4535   0.0074
   80   6   2700.1120   0.0070
   80   7   2922.3876   0.0065
   80   8   3137.3803   0.0069
   80   9   3346.7201   0.0090
   80   10   3552.4114   0.0126
   81   0   916.6576   0.0012
   81   1   1365.7065   0.0024
   81   2   1705.0278   0.0042
   81   3   1983.2668   0.0058
   81   4   2244.1196   0.0070
   81   5   2483.4238   0.0073
   81   6   2712.1638   0.0070
   81   7   2935.3832   0.0064
   81   8   3151.0894   0.0070
   81   9   3361.2609   0.0097
   81   10   3567.7633   0.0165
   82   0   922.1333   0.0016
   82   1   1372.8936   0.0025
   82   2   1712.9530   0.0043
   82   3   1992.3650   0.0059
   82   4   2254.2694   0.0070
   82   5   2494.2876   0.0074
   82   6   2724.1566   0.0069
   82   7   2948.2675   0.0064
   82   8   3164.7553   0.0070
   82   9   3375.7291   0.0099
   82   10   3583.0301   0.0170
   83   0   927.5745   0.0028
   83   1   1380.0183   0.0025
   83   2   1720.8026   0.0043
   83   3   2001.4207   0.0059
   83   4   2264.3171   0.0070
   83   5   2505.1159   0.0074
   83   6   2736.0837   0.0068
   83   7   2961.0663   0.0064
   83   8   3178.3161   0.0071
   83   9   3390.0973   0.0103
   83   10   3598.1536   0.0131
   84   1   1387.1067   0.0025
   84   2   1728.5617   0.0044
   84   3   2010.3936   0.0058
   84   4   2274.2995   0.0070
   84   5   2515.8650   0.0073
   84   6   2747.9258   0.0068
   84   7   2973.7860   0.0064
   84   8   3191.7709   0.0072
   84   9   3404.4071   0.0105
   85   1   1394.1291   0.0025
   85   2   1736.2500   0.0044
   85   3   2019.3117   0.0061
   85   4   2284.1812   0.0071
   85   5   2526.5272   0.0073
   85   6   2759.7403   0.0067
   85   7   2986.4406   0.0065
   85   8   3205.1886   0.0073
   85   9   3418.6544   0.0109
   86   1   1401.1090   0.0027
   86   2   1743.8684   0.0044
   86   3   2028.1795   0.0060
   86   4   2293.9789   0.0070
   86   5   2537.1618   0.0073
   86   6   2771.4574   0.0067
   86   7   2998.9904   0.0064
   86   8   3218.5369   0.0074
   86   9   3432.8080   0.0113
   87   0   949.0337   0.0034
   87   1   1408.0312   0.0027
   87   2   1751.4149   0.0046
   87   3   2037.0236   0.0061
   87   4   2303.7185   0.0071
   87   5   2547.7206   0.0073
   87   6   2783.1210   0.0066
   87   7   3011.4772   0.0064
   87   8   3231.7961   0.0076
   87   9   3446.8942   0.0118
   88   0   954.3130   0.0024
   88   1   1414.9121   0.0026
   88   2   1758.9116   0.0045
   88   3   2045.7733   0.0061
   88   4   2313.3740   0.0072
   88   5   2558.1983   0.0072
   88   6   2794.6993   0.0066
   88   7   3023.9060   0.0065
   88   8   3244.9715   0.0076
   88   9   3460.9109   0.0125
   89   0   959.5656   0.0028
   89   1   1421.7373   0.0027
   89   2   1766.3155   0.0047
   89   3   2054.4971   0.0061
   89   4   2322.9471   0.0072
   89   5   2568.6266   0.0072
   89   6   2806.2173   0.0067
   89   7   3036.2132   0.0064
   89   8   3258.0673   0.0078
   89   9   3474.8537   0.0130
   90   0   964.7954   0.0034
   90   1   1428.5147   0.0028
   90   2   1773.6563   0.0047
   90   3   2063.1464   0.0062
   90   4   2332.4295   0.0071
   90   5   2578.9975   0.0073
   90   6   2817.6777   0.0065
   90   7   3048.4747   0.0065
   90   8   3271.1426   0.0079
   90   9   3488.7006   0.0133   
   90   10   3702.5507   0.0166
   91   0   969.9948   0.0024
   91   1   1435.2447   0.0028
   91   2   1780.9542   0.0047
   91   3   2071.7558   0.0062
   91   4   2341.8312   0.0073
   91   5   2589.3140   0.0073
   91   6   2829.0712   0.0065
   91   7   3060.6469   0.0065
   91   8   3284.1057   0.0081
   91   9   3502.5360   0.0139
   92   0   975.1522   0.0023
   92   1   1441.9346   0.0028
   92   2   1788.1789   0.0046
   92   3   2080.3094   0.0062
   92   4   2351.1912   0.0073
   92   5   2599.5806   0.0072
   92   6   2840.3956   0.0065
   92   7   3072.7578   0.0065
   92   8   3297.0011   0.0083
   92   9   3516.2232   0.0145
   93   0   980.2960   0.0030
   93   1   1448.5647   0.0029
   93   2   1795.3405   0.0047
   93   3   2088.8073   0.0063
   93   4   2360.4491   0.0073
   93   5   2609.7815   0.0072
   93   6   2851.6713   0.0065
   93   7   3084.8078   0.0065
   93   8   3309.8493   0.0086
   93   9   3529.8678   0.0150
   94   0   985.4133   0.0030
   94   1   1455.1506   0.0030
   94   2   1802.4444   0.0047
   94   3   2097.2578   0.0062
   94   4   2369.6644   0.0074
   94   5   2619.9326   0.0072
   94   6   2862.8581   0.0064
   94   7   3096.7565   0.0066
   94   8   3322.6096   0.0088
   94   9   3543.4972   0.0139
   95   0   990.4973   0.0022
   95   1   1461.6927   0.0031
   95   2   1809.4915   0.0048
   95   3   2105.6314   0.0064
   95   4   2378.7827   0.0074
   95   5   2630.0520   0.0072
   95   6   2873.9775   0.0065
   95   7   3108.6436   0.0067
   95   8   3335.3196   0.0092
   95   9   3557.0344   0.0165
   96   0   995.5824   0.0024
   96   1   1468.1897   0.0030
   96   2   1816.4830   0.0049
   96   3   2113.9788   0.0064
   96   4   2387.8439   0.0073
   96   5   2640.0773   0.0071
   96   6   2885.0377   0.0064
   96   7   3120.4770   0.0067
   96   8   3347.9623   0.0097
   96   9   3570.3730   0.0166
   97   0   1000.6026   0.0027
   97   1   1474.6429   0.0031
   97   2   1823.4248   0.0050
   97   3   2122.2678   0.0064
   97   4   2396.8261   0.0074
   97   5   2650.0995   0.0071
   97   6   2896.0512   0.0064
   97   7   3132.2289   0.0068
   97   8   3360.5636   0.0098
   98   0   1005.6128   0.0034
   98   1   1481.0520   0.0031
   98   2   1830.3285   0.0050
   98   3   2130.5032   0.0066
   98   4   2405.7653   0.0075
   98   5   2660.0299   0.0071
   98   6   2906.9627   0.0065
   98   7   3143.9451   0.0069
   98   8   3373.0637   0.0101   
   98   9   3597.1896   0.0190
   99   0   1010.5984   0.0028
   99   1   1487.4127   0.0030
   99   2   1837.1659   0.0050
   99   3   2138.6989   0.0066
   99   4   2414.6343   0.0075
   99   5   2669.9316   0.0071
   99   6   2917.8430   0.0064
   99   7   3155.5837   0.0070
   99   8   3385.5442   0.0106
   99   9   3610.3475   0.0162
   100   0   1015.5616   0.0031
   100   1   1493.7281   0.0032
   100   2   1843.9491   0.0051
   100   3   2146.8182   0.0066
   100   4   2423.4370   0.0075
   100   5   2679.7854   0.0070
   100   6   2928.6689   0.0064
   100   7   3167.1425   0.0069
   100   8   3397.9558   0.0107
   101   0   1020.4995   0.0025
   101   1   1500.0164   0.0034
   101   2   1850.7009   0.0051
   101   3   2154.9007   0.0067
   101   4   2432.1845   0.0076
   101   5   2689.5911   0.0070
   101   6   2939.4272   0.0065
   101   7   3178.6725   0.0071
   101   8   3410.3192   0.0114
   102   0   1025.4081   0.0024
   102   1   1506.2440   0.0034
   102   2   1857.3888   0.0051
   102   3   2162.9255   0.0066
   102   4   2440.8728   0.0076
   102   5   2699.3417   0.0070
   102   6   2950.0986   0.0064
   102   7   3190.1188   0.0072
   102   8   3422.5597   0.0116   
   102   9   3649.8880   0.0225
   103   0   1030.3058   0.0026
   103   1   1512.4355   0.0033
   103   2   1864.0388   0.0052
   103   3   2170.9083   0.0068
   103   4   2449.5248   0.0077
   103   5   2709.0553   0.0070
   103   6   2960.7303   0.0064
   103   7   3201.5199   0.0073
   103   8   3434.8193   0.0125
   104   0   1035.1660   0.0024
   104   1   1518.5939   0.0034
   104   2   1870.6605   0.0052
   104   3   2178.8369   0.0068
   104   4   2458.0954   0.0077
   104   5   2718.7340   0.0070
   104   6   2971.2904   0.0064
   104   7   3212.8307   0.0074
   104   8   3447.0048   0.0126
   105   0   1040.0037   0.0032
   105   1   1524.7002   0.0034
   105   2   1877.2243   0.0053
   105   3   2186.7102   0.0069
   105   4   2466.6252   0.0078
   105   5   2728.3424   0.0069
   105   6   2981.8135   0.0064
   105   7   3224.1372   0.0075
   105   8   3459.0947   0.0133
   106   0   1044.8170   0.0027
   106   1   1530.7702   0.0035
   106   2   1883.7567   0.0054
   106   3   2194.5332   0.0069
   106   4   2475.0870   0.0078
   106   5   2737.9167   0.0070
   106   6   2992.2632   0.0065
   106   7   3235.3573   0.0076
   106   8   3471.1698   0.0134
   107   0   1049.6275   0.0026
   107   1   1536.7867   0.0036
   107   2   1890.2384   0.0053
   107   3   2202.2961   0.0070
   107   4   2483.5021   0.0078
   107   5   2747.4610   0.0070
   107   6   3002.6650   0.0065
   107   7   3246.5420   0.0079
   108   0   1054.4040   0.0028
   108   1   1542.7813   0.0036
   108   2   1896.6817   0.0054
   108   3   2210.0224   0.0069
   108   4   2491.8734   0.0078
   108   5   2756.9303   0.0068
   108   6   3012.9781   0.0065
   108   7   3257.6416   0.0081
   108   8   3495.1340   0.0146
   109   0   1059.1584   0.0023
   109   1   1548.7358   0.0036
   109   2   1903.0944   0.0054
   109   3   2217.6701   0.0071
   109   4   2500.2066   0.0079
   109   5   2766.3595   0.0069
   109   6   3023.2780   0.0065
   109   7   3268.7035   0.0083
   110   0   1063.8868   0.0029
   110   1   1554.6417   0.0039
   110   2   1909.4696   0.0055
   110   3   2225.3047   0.0071
   110   4   2508.4937   0.0079
   110   5   2775.7664   0.0069
   110   6   3033.5034   0.0066
   110   7   3279.7302   0.0086
   110   8   3518.9472   0.0163
   111   0   1068.6026   0.0025
   111   1   1560.5084   0.0036
   111   2   1915.8056   0.0057
   111   3   2232.8534   0.0072
   111   4   2516.7430   0.0080
   111   5   2785.1205   0.0069
   111   6   3043.6741   0.0066
   111   7   3290.6924   0.0089   
   111   8   3530.7141   0.0163
   112   0   1073.2918   0.0029
   112   1   1566.3420   0.0038
   112   2   1922.1131   0.0057
   112   3   2240.3834   0.0073
   112   4   2524.9300   0.0079
   112   5   2794.4058   0.0069
   112   6   3053.7813   0.0066
   112   7   3301.6147   0.0090
   112   8   3542.3853   0.0179
   113   0   1077.9544   0.0029
   113   1   1572.1256   0.0039
   113   2   1928.4011   0.0056
   113   3   2247.8480   0.0073
   113   4   2533.0837   0.0080
   113   5   2803.6855   0.0068
   113   6   3063.8642   0.0067
   113   7   3312.4632   0.0093
   114   0   1082.6054   0.0025
   114   1   1577.8863   0.0038
   114   2   1934.6321   0.0057
   114   3   2255.2567   0.0074
   114   4   2541.1970   0.0080
   114   5   2812.9015   0.0069
   114   6   3073.8604   0.0067
   114   7   3323.2985   0.0097
   115   0   1087.2365   0.0026
   115   1   1583.6004   0.0039
   115   2   1940.8304   0.0058
   115   3   2262.6061   0.0073
   115   4   2549.2483   0.0079
   115   5   2822.0571   0.0068
   115   6   3083.8213   0.0068
   115   7   3334.0646   0.0101
   116   0   1091.8542   0.0027
   116   1   1589.2676   0.0041
   116   2   1947.0124   0.0057
   116   3   2269.9371   0.0074
   116   4   2557.2633   0.0080
   116   5   2831.2038   0.0069
   116   6   3093.7222   0.0068
   116   7   3344.7836   0.0103
   117   0   1096.4415   0.0025
   117   1   1594.9147   0.0040
   117   2   1953.1559   0.0058
   117   3   2277.1887   0.0076
   117   4   2565.2799   0.0080
   117   5   2840.2859   0.0069
   117   6   3103.5693   0.0069
   117   7   3355.4715   0.0109
   118   0   1101.0045   0.0025
   118   1   1600.5194   0.0041
   118   2   1959.2634   0.0060
   118   3   2284.4121   0.0077
   118   4   2573.2351   0.0081
   118   5   2849.3277   0.0068
   118   6   3113.3877   0.0069
   118   7   3366.1104   0.0109
   119   0   1105.5521   0.0024
   119   1   1606.0977   0.0041
   119   2   1965.3589   0.0060
   119   3   2291.5958   0.0078
   119   4   2581.1391   0.0083
   119   5   2858.3212   0.0068
   119   6   3123.1525   0.0071
   119   7   3376.6940   0.0115
   120   0   1110.0857   0.0026
   120   1   1611.6249   0.0040
   120   2   1971.4144   0.0061
   120   3   2298.7313   0.0077
   120   4   2589.0380   0.0082
   120   5   2867.2790   0.0068
   120   6   3132.8623   0.0071
   120   7   3387.2182   0.0120
   121   0   1114.6035   0.0025
   121   1   1617.1359   0.0042
   121   2   1977.4481   0.0060
   121   3   2305.8035   0.0078
   121   4   2596.8727   0.0082
   121   5   2876.1814   0.0069
   121   6   3142.5318   0.0072
   121   7   3397.7004   0.0122
   122   0   1119.1021   0.0026
   122   1   1622.5939   0.0042
   122   2   1983.4571   0.0062
   122   3   2312.7916   0.0080
   122   4   2604.6874   0.0083
   122   5   2885.0524   0.0068
   122   6   3152.1592   0.0072
   122   7   3408.1847   0.0133
   123   0   1123.5805   0.0023
   123   1   1628.0243   0.0042
   123   2   1989.4443   0.0062
   123   3   2319.7905   0.0081
   123   4   2612.4744   0.0082
   123   5   2893.8844   0.0068
   123   6   3161.7272   0.0075
   123   7   3418.6141   0.0130
   124   0   1128.0424   0.0024
   124   1   1633.4167   0.0042
   124   2   1995.3886   0.0063
   124   3   2326.7363   0.0082
   124   4   2620.2018   0.0083
   124   5   2902.6562   0.0069
   124   6   3171.2629   0.0075
   124   7   3428.9911   0.0149
   125   0   1132.4761   0.0028
   125   1   1638.7790   0.0042
   125   2   2001.3250   0.0064
   125   3   2333.6260   0.0082
   125   4   2627.9574   0.0083
   125   5   2911.3959   0.0069
   125   6   3180.7582   0.0078
   125   7   3439.3047   0.0133
   126   0   1136.9001   0.0027
   126   1   1644.1041   0.0044
   126   2   2007.2353   0.0064
   126   3   2340.4721   0.0085
