#  l   n        freq     error
#             muHz        muHz
   13   12   2411.7971   0.0129
   13   13   2551.6616   0.0123
   13   14   2691.6035   0.0124
   13   15   2832.1247   0.0113
   13   16   2972.5334   0.0108
   13   17   3112.4328   0.0118
   13   18   3252.2565   0.0152
   13   19   3392.2912   0.0187
   13   20   3532.4086   0.0236
   13   21   3672.9439   0.0298
   13   22   3813.5975   0.0389
   13   23   3954.2087   0.0496
   13   24   4095.2038   0.0660
   13   25   4236.1747   0.0855
   13   26   4377.4042   0.1173
   13   27   4518.8008   0.1614
   14   5   1411.7246   0.0035
   14   6   1571.5612   0.0053
   14   7   1723.5201   0.0059
   14   8   1870.8306   0.0075
   14   9   2017.0155   0.0090
   14   10   2162.5078   0.0099
   14   11   2305.6701   0.0113
   14   12   2446.6679   0.0120
   14   13   2587.2543   0.0118
   14   14   2728.1415   0.0108
   14   15   2869.1851   0.0109
   14   16   3010.0708   0.0120
   14   17   3150.4638   0.0120
   14   18   3290.7668   0.0156
   14   19   3431.3268   0.0200
   14   20   3572.0380   0.0250
   14   21   3713.0061   0.0315
   14   22   3854.0712   0.0394
   14   23   3995.1850   0.0520
   14   24   4136.4806   0.0673
   14   25   4278.0936   0.0924
   14   26   4419.5874   0.1249
   14   27   4561.1887   0.1644
   15   4   1268.6082   0.0043
   15   5   1440.0273   0.0037
   15   6   1601.0105   0.0047
   15   7   1753.7995   0.0064
   15   8   1902.3282   0.0079
   15   9   2049.6030   0.0090
   15   10   2195.7880   0.0103
   15   11   2339.4804   0.0120
   15   12   2480.9991   0.0114
   15   13   2622.3085   0.0114
   15   14   2764.0895   0.0101
   15   15   2905.7236   0.0103
   15   16   3046.9985   0.0105
   15   17   3187.9919   0.0132
   15   18   3328.7392   0.0165
   15   19   3469.8407   0.0205
   15   20   3611.1196   0.0264
   15   21   3752.4291   0.0327
   15   22   3893.9890   0.0400
   15   23   4035.5181   0.0546
   15   24   4177.3012   0.0711
   15   25   4319.1585   0.1004
   15   26   4460.9604   0.1325
   16   3   1109.0425   0.0023
   16   4   1293.7608   0.0029
   16   5   1467.2795   0.0049
   16   6   1629.5047   0.0049
   16   7   1783.2464   0.0065
   16   8   1933.1277   0.0082
   16   9   2081.6130   0.0094
   16   10   2228.3760   0.0103
   16   11   2372.5738   0.0106
   16   12   2514.7936   0.0113
   16   13   2656.8774   0.0110
   16   14   2799.4667   0.0100
   16   15   2941.7206   0.0093
   16   16   3083.4402   0.0104
   16   17   3224.8659   0.0134
   16   18   3366.2438   0.0172
   16   19   3507.8366   0.0219
   16   20   3649.6351   0.0276
   16   21   3791.3946   0.0340
   16   22   3933.3773   0.0427
   16   23   4075.3896   0.0553
   16   24   4217.3773   0.0772
   16   25   4359.7565   0.1023
   16   26   4502.1554   0.1315
   17   3   1131.0090   0.0130
   17   4   1318.0363   0.0028
   17   5   1493.4937   0.0035
   17   6   1657.0550   0.0053
   17   7   1811.9775   0.0065
   17   8   1963.2993   0.0077
   17   9   2112.9668   0.0092
   17   10   2260.3044   0.0107
   17   11   2405.0070   0.0110
   17   12   2548.0385   0.0111
   17   13   2691.0185   0.0108
   17   14   2834.2812   0.0095
   17   15   2977.1719   0.0101
   17   16   3119.3207   0.0107
   17   17   3261.3207   0.0138
   17   18   3403.3163   0.0176
   17   19   3545.3849   0.0224
   17   20   3687.6382   0.0276
   17   21   3829.9147   0.0340
   17   22   3972.2270   0.0441
   17   23   4114.8511   0.0603
   17   24   4257.4237   0.0809
   17   25   4399.8739   0.1064
   17   26   4542.4567   0.1472
   18   3   1152.4092   0.0025
   18   4   1341.5290   0.0030
   18   5   1518.7267   0.0046
   18   6   1683.6633   0.0053
   18   7   1839.9792   0.0071
   18   8   1992.8182   0.0082
   18   9   2143.6884   0.0088
   18   10   2291.6042   0.0098
   18   11   2436.8227   0.0112
   18   12   2580.7888   0.0104
   18   13   2724.6427   0.0104
   18   14   2868.5890   0.0095
   18   15   3012.0699   0.0097
   18   16   3154.7736   0.0112
   18   17   3297.2849   0.0141
   18   18   3439.9003   0.0175
   18   19   3582.4987   0.0233
   18   20   3725.1687   0.0284
   18   21   3868.0165   0.0363
   18   22   4010.7174   0.0468
   18   23   4153.6117   0.0628
   18   24   4296.7567   0.0833
   18   25   4439.5419   0.1156
   18   26   4582.3814   0.1599
   19   3   1173.2724   0.0018
   19   4   1364.3264   0.0036
   19   5   1543.0517   0.0040
   19   6   1709.3489   0.0060
   19   7   1867.2779   0.0077
