n l nu dnu
6 11 1477.1576 0.0051
7 11 1627.1059 0.0066
8 11 1772.2275 0.0074
9 11 1915.4018 0.0095
10 11 2057.9257 0.0111
11 11 2199.7836 0.0115
12 11 2340.017 0.0132
13 11 2478.4467 0.0141
14 11 2616.912 0.0135
15 11 2756.0751 0.0124
16 11 2895.3578 0.0111
17 11 3034.4821 0.0118
18 11 3173.3791 0.0134
19 11 3312.2665 0.018
20 11 3451.5719 0.0223
21 11 3590.9682 0.0292
22 11 3730.6612 0.0381
23 11 3870.6077 0.0473
24 11 4010.893 0.0612
25 11 4151.058 0.0807
27 11 4432.109 0.1452
28 11 4573.1563 0.2047
6 12 1509.714 0.0041
7 12 1660.2427 0.0059
8 12 1805.7824 0.008
9 12 1949.9798 0.0086
10 12 2093.6318 0.0108
11 12 2235.8295 0.0113
12 12 2376.2783 0.0125
13 12 2515.4238 0.013
14 12 2654.5256 0.0129
15 12 2794.4323 0.0115
16 12 2934.2944 0.0113
17 12 3073.7583 0.0118
18 12 3213.165 0.0144
19 12 3352.5849 0.0181
20 12 3492.3007 0.0231
21 12 3632.3124 0.0288
22 12 3772.4542 0.0382
23 12 3912.7925 0.0483
24 12 4053.3083 0.0628
25 12 4193.9317 0.0851
26 12 4334.8115 0.1088
27 12 4475.806 0.1495
3 13 1038.7877 0.0033
4 13 1215.3462 0.0024
6 13 1541.1427 0.0049
7 13 1692.357 0.007
8 13 1838.6616 0.0072
9 13 1983.8157 0.0096
10 13 2128.4861 0.0102
11 13 2271.1331 0.0119
12 13 2411.7971 0.0129
13 13 2551.6616 0.0123
14 13 2691.6035 0.0124
15 13 2832.1247 0.0113
16 13 2972.5334 0.0108
17 13 3112.4328 0.0118
18 13 3252.2565 0.0152
19 13 3392.2912 0.0187
20 13 3532.4086 0.0236
21 13 3672.9439 0.0298
22 13 3813.5975 0.0389
23 13 3954.2087 0.0496
24 13 4095.2038 0.066
25 13 4236.1747 0.0855
26 13 4377.4042 0.1173
27 13 4518.8008 0.1614
5 14 1411.7246 0.0035
6 14 1571.5612 0.0053
7 14 1723.5201 0.0059
8 14 1870.8306 0.0075
9 14 2017.0155 0.009
10 14 2162.5078 0.0099
11 14 2305.6701 0.0113
12 14 2446.6679 0.012
13 14 2587.2543 0.0118
14 14 2728.1415 0.0108
15 14 2869.1851 0.0109
16 14 3010.0708 0.012
17 14 3150.4638 0.012
18 14 3290.7668 0.0156
19 14 3431.3268 0.02
20 14 3572.038 0.025
21 14 3713.0061 0.0315
22 14 3854.0712 0.0394
23 14 3995.185 0.052
24 14 4136.4806 0.0673
25 14 4278.0936 0.0924
26 14 4419.5874 0.1249
27 14 4561.1887 0.1644
4 15 1268.6082 0.0043
5 15 1440.0273 0.0037
6 15 1601.0105 0.0047
7 15 1753.7995 0.0064
8 15 1902.3282 0.0079
9 15 2049.603 0.009
10 15 2195.788 0.0103
11 15 2339.4804 0.012
12 15 2480.9991 0.0114
13 15 2622.3085 0.0114
14 15 2764.0895 0.0101
15 15 2905.7236 0.0103
16 15 3046.9985 0.0105
17 15 3187.9919 0.0132
18 15 3328.7392 0.0165
19 15 3469.8407 0.0205
20 15 3611.1196 0.0264
21 15 3752.4291 0.0327
22 15 3893.989 0.04
23 15 4035.5181 0.0546
24 15 4177.3012 0.0711
25 15 4319.1585 0.1004
26 15 4460.9604 0.1325
3 16 1109.0425 0.0023
4 16 1293.7608 0.0029
5 16 1467.2795 0.0049
6 16 1629.5047 0.0049
7 16 1783.2464 0.0065
8 16 1933.1277 0.0082
9 16 2081.613 0.0094
10 16 2228.376 0.0103
11 16 2372.5738 0.0106
12 16 2514.7936 0.0113
13 16 2656.8774 0.011
14 16 2799.4667 0.01
15 16 2941.7206 0.0093
16 16 3083.4402 0.0104
17 16 3224.8659 0.0134
18 16 3366.2438 0.0172
19 16 3507.8366 0.0219
20 16 3649.6351 0.0276
21 16 3791.3946 0.034
22 16 3933.3773 0.0427
23 16 4075.3896 0.0553
24 16 4217.3773 0.0772
25 16 4359.7565 0.1023
26 16 4502.1554 0.1315
3 17 1131.009 0.013
4 17 1318.0363 0.0028
5 17 1493.4937 0.0035
6 17 1657.055 0.0053
7 17 1811.9775 0.0065
8 17 1963.2993 0.0077
9 17 2112.9668 0.0092
10 17 2260.3044 0.0107
11 17 2405.007 0.011
12 17 2548.0385 0.0111
13 17 2691.0185 0.0108
14 17 2834.2812 0.0095
15 17 2977.1719 0.0101
16 17 3119.3207 0.0107
17 17 3261.3207 0.0138
18 17 3403.3163 0.0176
19 17 3545.3849 0.0224
20 17 3687.6382 0.0276
21 17 3829.9147 0.034
22 17 3972.227 0.0441
23 17 4114.8511 0.0603
24 17 4257.4237 0.0809
25 17 4399.8739 0.1064
26 17 4542.4567 0.1472
3 18 1152.4092 0.0025
4 18 1341.529 0.003
5 18 1518.7267 0.0046
6 18 1683.6633 0.0053
7 18 1839.9792 0.0071
8 18 1992.8182 0.0082
9 18 2143.6884 0.0088
10 18 2291.6042 0.0098
11 18 2436.8227 0.0112
12 18 2580.7888 0.0104
13 18 2724.6427 0.0104
14 18 2868.589 0.0095
15 18 3012.0699 0.0097
16 18 3154.7736 0.0112
17 18 3297.2849 0.0141
18 18 3439.9003 0.0175
19 18 3582.4987 0.0233
20 18 3725.1687 0.0284
21 18 3868.0165 0.0363
22 18 4010.7174 0.0468
23 18 4153.6117 0.0628
24 18 4296.7567 0.0833
25 18 4439.5419 0.1156
26 18 4582.3814 0.1599
3 19 1173.2724 0.0018
4 19 1364.3264 0.0036
5 19 1543.0517 0.004
6 19 1709.3489 0.006
7 19 1867.2779 0.0077
8 19 2021.7286 0.0083
9 19 2173.7312 0.0089
10 19 2322.2965 0.0098
11 19 2468.12 0.0109
12 19 2613.033 0.0105
13 19 2757.8769 0.0094
14 19 2902.4767 0.0093
15 19 3046.4838 0.0092
16 19 3189.7897 0.0113
17 19 3332.8064 0.0147
18 19 3476.0468 0.0188
19 19 3619.2179 0.0241
20 19 3762.2824 0.03
21 19 3905.6166 0.0379
22 19 4048.8734 0.0494
23 19 4192.2437 0.0664
24 19 4335.4335 0.0867
25 19 4478.9357 0.1195
3 20 1193.6538 0.0028
4 20 1386.4842 0.0039
5 20 1566.5395 0.0041
6 20 1734.1794 0.0059
