Name R dR M dM L dL age dage Z dZ Y dY log_g dlog_g
16CygA 1.229 0.008 1.08 0.02 1.55 0.07 7.07 0.26 0.021 0.002 0.25 0.01 4.292 0.003
16CygB 1.116 0.006 1.04 0.02 1.25 0.05 6.74 0.24 0.022 0.003 0.26 0.01 4.359 0.002
