l n nu dnu n_g
0 3 179.199 0.159 0 
0 4 212.647 0.152 0 
0 5 244.829 0.145 0 
0 6 277.518 0.138 0 
0 7 310.686 0.131 0 
0 8 344.666 0.062 0 
0 9 378.791 0.035 0 
0 10 412.824 0.038 0 
0 11 446.466 0.025 0 
0 12 479.587 0.024 0 
0 13 513.214 0.018 0 
0 14 547.933 0.018 0 
0 15 583.251 0.021 0 
0 16 618.856 0.034 0 
0 17 654.519 0.062 0 
0 18 689.931 0.172 0 
0 19 725.186 0.215 0 
0 20 760.144 0.226 0 
0 21 795.418 0.237 0 
0 22 830.195 0.249 0 
0 23 864.785 0.262 0 
0 24 900.630 0.275 0 
1 -9 174.984 0.232 12 
1 -8 185.495 0.221 11 
1 -7 189.810 0.210 11 
1 -6 207.066 0.200 10 
1 -3 219.120 0.191 7 
1 -4 229.659 0.182 9 
1 1 251.184 0.173 4 
1 -2 257.196 0.165 8 
1 3 283.747 0.157 3 
1 0 291.964 0.149 7 
1 5 316.970 0.142 2 
1 2 334.524 0.136 6 
1 5 351.811 0.129 3 
1 6 375.741 0.123 3 
1 5 394.147 0.117 5 
1 6 418.606 0.059 4 
1 9 438.755 0.044 2 
1 8 463.046 0.033 4 
1 9 490.224 0.027 3 
1 10 511.591 0.020 3 
1 11 534.868 0.020 3 
1 12 566.142 0.017 3 
1 13 599.181 0.021 3 
1 14 628.506 0.030 2 
1 15 646.110 0.060 2 
1 16 674.018 0.122 2 
1 17 707.880 0.263 2 
1 18 742.083 0.276 2 
1 19 776.482 0.290 2 
1 20 811.298 0.304 2 
1 21 845.020 0.319 1 
1 22 876.234 0.335 1 
1 23 893.169 0.352 1 
1 24 920.116 0.370 1 
2 -19 171.929 0.240 22 
2 -18 175.024 0.229 21 
2 -17 183.173 0.218 20 
2 -16 192.541 0.207 19 
2 -15 197.449 0.197 19 
2 -14 203.767 0.188 18 
2 -13 212.691 0.179 17 
2 -12 217.748 0.171 16 
2 -11 230.953 0.162 16 
2 -10 238.768 0.155 15 
2 -9 246.948 0.147 14 
2 -8 262.662 0.140 13 
2 -7 269.796 0.134 13 
2 -6 280.350 0.127 12 
2 -5 291.972 0.121 11 
2 -4 306.016 0.115 11 
2 -3 313.078 0.110 10 
2 -2 339.142 0.105 10 
2 -1 341.282 0.100 9 
2 0 374.052 0.095 9 
2 1 375.862 0.090 8 
2 2 408.515 0.086 8 
2 3 417.989 0.082 7 
2 4 442.528 0.078 7 
2 5 470.250 0.074 6 
2 6 476.113 0.046 6 
2 7 509.593 0.039 6 
2 8 538.551 0.032 5 
2 9 544.615 0.030 5 
2 10 579.806 0.047 5 
2 11 615.258 0.081 5 
2 12 625.264 0.211 4 
2 13 650.511 0.354 4 
2 14 686.399 0.371 4 
2 15 722.122 0.390 4 
2 16 732.336 0.409 3 
2 17 757.168 0.430 3 
2 18 791.881 0.451 3 
2 19 826.439 0.474 3 
2 20 862.256 0.498 3 
2 21 894.623 0.523 2 
2 22 899.787 0.549 2 
