l n nu dnu n_g
0 3 176.510 0.157 0 
0 4 209.388 0.150 0 
0 5 241.222 0.143 0 
0 6 273.358 0.136 0 
0 7 306.516 0.129 0 
0 8 339.861 0.061 0 
0 9 373.470 0.034 0 
0 10 406.971 0.038 0 
0 11 439.610 0.025 0 
0 12 472.111 0.024 0 
0 13 505.631 0.018 0 
0 14 540.040 0.017 0 
0 15 574.954 0.021 0 
0 16 609.976 0.033 0 
0 17 644.954 0.061 0 
0 18 679.427 0.170 0 
0 19 714.025 0.212 0 
0 20 748.363 0.223 0 
0 21 782.947 0.234 0 
0 22 817.623 0.245 0 
0 23 852.504 0.258 0 
0 24 887.512 0.271 0 
1 -6 171.650 0.219 9 
1 -9 181.307 0.208 12 
1 -8 185.448 0.198 12 
1 -7 197.889 0.189 11 
1 -6 215.358 0.180 10 
1 -5 217.913 0.171 10 
1 -4 240.379 0.163 9 
1 -1 248.471 0.155 6 
1 -2 269.092 0.148 8 
1 3 280.837 0.141 3 
1 0 304.225 0.134 7 
1 1 314.541 0.128 6 
1 4 341.632 0.122 4 
1 3 354.161 0.116 6 
1 6 377.398 0.112 3 
1 7 397.044 0.056 3 
1 6 419.146 0.042 4 
1 9 441.919 0.031 2 
1 10 461.739 0.025 2 
1 9 488.103 0.019 4 
1 10 515.458 0.019 3 
1 11 535.266 0.016 3 
1 12 560.808 0.020 3 
1 13 592.827 0.028 3 
1 14 625.712 0.058 3 
1 15 655.475 0.119 2 
1 16 673.048 0.250 2 
1 17 698.925 0.262 2 
1 18 731.676 0.276 2 
1 19 765.406 0.289 2 
1 20 798.971 0.304 2 
1 21 833.413 0.319 2 
1 22 867.977 0.335 2 
1 23 900.779 0.352 1 
2 -20 171.681 0.224 23 
2 -19 175.171 0.213 22 
2 -18 183.003 0.203 21 
2 -17 191.757 0.193 20 
2 -16 196.430 0.184 20 
2 -15 202.602 0.175 19 
2 -14 210.930 0.167 18 
2 -13 215.961 0.159 17 
2 -12 227.633 0.152 17 
2 -11 235.730 0.144 16 
2 -10 242.658 0.137 15 
2 -9 258.180 0.131 14 
2 -8 265.813 0.125 14 
2 -7 275.732 0.119 13 
2 -6 287.291 0.113 12 
2 -5 300.799 0.108 12 
2 -4 305.852 0.103 11 
2 -3 327.319 0.098 10 
2 -2 335.549 0.093 10 
2 -1 357.523 0.089 9 
2 0 369.131 0.084 9 
2 1 394.099 0.080 8 
2 2 402.931 0.077 8 
2 3 435.608 0.073 8 
2 4 438.854 0.069 7 
2 5 468.603 0.046 7 
2 6 493.830 0.038 6 
2 7 502.206 0.030 6 
2 8 536.480 0.029 6 
2 9 564.789 0.046 5 
2 10 571.797 0.075 5 
2 11 606.572 0.204 5 
2 12 641.448 0.348 5 
2 13 652.623 0.366 4 
2 14 676.283 0.384 4 
2 15 710.847 0.403 4 
2 16 745.032 0.423 4 
2 17 764.580 0.445 3 
2 18 779.494 0.467 3 
2 19 815.489 0.490 3 
2 20 849.793 0.515 3 
2 21 884.040 0.540 3 
