n l nu dnu
13 0 754.854306 0.78025376371 
13 1 780.478549 0.780422213625 
14 0 807.035422 0.485109300324 
14 1 830.414106 0.216311747715 
14 2 853.7384715 0.546928010082 
15 0 858.629534 0.626353312921 
15 1 880.005252 0.347227672552 
15 2 907.101366 0.286845110739 
16 0 911.189675 0.342251742118 
16 2 960.683258 0.811260894463 
17 0 964.2645045 0.409436456265 
17 1 990.35195 0.432199853843 
17 2 1012.718335 0.590746505325 
18 0 1015.62139 0.53229022068 
18 1 1043.32256 0.36442982283 
19 0 1067.15067 0.677309573593 
19 1 1094.28261 0.738126349619 
20 1 1146.17347 0.555661608364 
