n l nu dnu
9 1 882.92166712 1.52175147891
9 2 915.885753976 1.80038374445
10 0 922.76211964 0.727665172003
10 1 957.868955893 0.806978951001
10 2 995.108554384 2.51671802462
11 0 1000.03918783 0.793324953167
11 1 1036.81037775 0.654871562941
11 2 1070.10613194 1.76794239221
12 0 1075.68829998 0.409531342057
12 1 1110.64845076 0.47067814037
12 2 1143.04953561 1.44991575869
13 0 1149.8936239 0.367895142246
13 1 1183.64929159 0.455298332868
13 2 1217.79422041 1.57937916316
14 0 1222.48850984 0.507029452584
14 1 1259.03065235 0.315405897869
14 2 1294.86175529 1.41192638358
15 0 1299.14265454 0.322323247978
15 1 1334.32498764 0.36301243961
15 2 1369.3788554 1.36739050195
16 0 1375.70889603 0.397079905071
16 1 1412.74387499 0.323648308581
16 2 1449.91065698 1.94154108173
17 0 1452.89555212 0.449785033097
17 1 1490.80750054 0.275548373268
17 2 1523.46446158 1.23007261484
18 0 1532.28058579 0.289178131422
18 1 1569.37883697 0.268197614381
18 2 1603.87944319 1.19920364076
19 0 1609.72673839 0.287290185252
19 1 1646.09189262 0.311903136973
19 2 1677.26341853 1.36189636024
20 0 1686.48900466 0.332011409695
20 1 1722.47335485 0.289517267645
20 2 1753.82696941 0.941989982678
21 0 1762.41275997 0.385235828467
21 1 1799.44053496 0.346163040591
21 2 1832.78624763 1.78468835525
22 0 1838.64400967 0.420227355448
22 1 1876.40485249 0.336614376998
22 2 1908.58902466 1.27370702256
23 0 1915.80082521 0.458895971662
23 1 1954.73432044 0.423366351852
23 2 1985.55380193 1.29074631893
24 0 1992.92392739 0.537893714257
24 1 2032.59299234 0.52769874533
24 2 2064.37831388 1.9032146348
25 0 2072.44749747 0.455137725672
25 1 2111.5930077 0.566669169898
25 2 2145.74134492 1.67420150561
26 0 2150.10848345 0.680459126797
26 1 2190.5248467 1.29143920875
26 2 2222.44748784 2.11002426573
27 0 2228.49373467 0.722028435119
27 1 2268.99407337 0.832893936675
27 2 2303.77540289 1.81080639349
28 0 2308.14665088 1.12397212184
28 1 2349.72820212 0.964929486674
