M	radius	Teff	L	age	XMF	ZMF	alpha	X	Z	nu_ac	X_surf	Z_surf	mu	Gamma	Dnu0	nu_max_classic	nu_max	Fe/H
1	10.12729	4405.244	1.540369	12.5807	0	0.01649999	1.700982	0.6974627	0.0165	55.62412	0.697462754	0.0165	1.30895	1.62524	4.07530143447603	34.5015166191446	35.1656886085441	0.0135588691715575
1	10.44348	4392.887	1.562163	12.5836	0	0.01649999	1.700982	0.6974627	0.0165	52.36025	0.697462754	0.0165	1.30897	1.62464	3.88968973742882	32.4895853379771	33.1152796008156	0.0135588691715575
1	10.76959	4380.362	1.583922	12.5865	0	0.01649999	1.700982	0.6974627	0.0165	49.28729	0.697462754	0.0165	1.30898	1.62398	3.71281352045854	30.5954131338291	31.1847479740875	0.0135588691715575
1	11.10533	4367.772	1.60559	12.5892	0	0.01649999	1.700982	0.6974627	0.0165	46.39926	0.697462754	0.0165	1.30899	1.62326	3.54420699321715	28.8148754406885	29.3700254012044	0.0135588691715575
1	11.45145	4355.119	1.627218	12.5919	0	0.01649999	1.700982	0.6974627	0.0165	43.68092	0.697462754	0.0165	1.30901	1.62253	3.38327109746664	27.1386779719147	27.6617454813491	0.0135588691715575
1	11.80824	4342.402	1.648798	12.5944	0	0.01649999	1.700982	0.6974627	0.0165	41.12232	0.697462754	0.0165	1.30902	1.62181	3.22982790509893	25.560792051643	26.0535470994316	0.0135588691715575
1	12.1756	4329.722	1.670316	12.5968	0	0.01649999	1.700982	0.6974627	0.0165	38.71657	0.697462754	0.0165	1.30904	1.62108	3.08391193829139	24.0768081993509	24.5411428241218	0.0135588691715575
1	12.55431	4316.88	1.691773	12.599	0	0.01649999	1.700982	0.6974627	0.0165	36.45188	0.697462754	0.0165	1.30905	1.62032	2.94427125089305	22.6797873544136	23.1172679539625	0.0135588691715575
1	12.94455	4304.077	1.7132	12.6012	0	0.01649999	1.700982	0.6974627	0.0165	34.32036	0.697462754	0.0165	1.30907	1.61952	2.81128397880094	21.3646475315318	21.7769261634645	0.0135588691715575
1	1.081385	5822.507	0.08190416	6.927	0.1846929	0.0165	1.700982	0.71743	0.0165	4249.526	0.71743	0.0165	1.2833	1.63905	121.339517194916	2632.04900676705	2656.30218522838	0.00130035633826706
