model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0164	1.6000E+00	3.3513E+00	3.5914E+00	3.7465E+00	9.8974E-01	2.0348E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0165	1.6000E+00	3.3493E+00	3.5919E+00	3.7455E+00	9.8544E-01	2.0352E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0166	1.6000E+00	3.3473E+00	3.5924E+00	3.7446E+00	9.8113E-01	2.0356E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0167	1.6000E+00	3.3449E+00	3.5930E+00	3.7436E+00	9.7672E-01	2.0360E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0168	1.6000E+00	3.3425E+00	3.5937E+00	3.7427E+00	9.7228E-01	2.0364E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0169	1.6000E+00	3.3400E+00	3.5943E+00	3.7417E+00	9.6781E-01	2.0368E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0170	1.6000E+00	3.3375E+00	3.5950E+00	3.7407E+00	9.6330E-01	2.0372E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0171	1.6000E+00	3.3350E+00	3.5956E+00	3.7398E+00	9.5878E-01	2.0376E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0172	1.6000E+00	3.3324E+00	3.5963E+00	3.7388E+00	9.5426E-01	2.0380E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0173	1.6000E+00	3.3298E+00	3.5970E+00	3.7378E+00	9.4974E-01	2.0384E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0174	1.6000E+00	3.3273E+00	3.5976E+00	3.7369E+00	9.4523E-01	2.0388E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0175	1.6000E+00	3.3248E+00	3.5983E+00	3.7359E+00	9.4074E-01	2.0392E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0176	1.6000E+00	3.3224E+00	3.5989E+00	3.7350E+00	9.3629E-01	2.0396E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0177	1.6000E+00	3.3204E+00	3.5994E+00	3.7340E+00	9.3194E-01	2.0400E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0178	1.6000E+00	3.3184E+00	3.6000E+00	3.7331E+00	9.2762E-01	2.0404E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0179	1.6000E+00	3.3166E+00	3.6004E+00	3.7321E+00	9.2333E-01	2.0408E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0180	1.6000E+00	3.3150E+00	3.6009E+00	3.7312E+00	9.1916E-01	2.0412E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0181	1.6000E+00	3.3137E+00	3.6012E+00	3.7302E+00	9.1508E-01	2.0416E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0182	1.6000E+00	3.3127E+00	3.6015E+00	3.7293E+00	9.1111E-01	2.0420E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0183	1.6000E+00	3.3120E+00	3.6016E+00	3.7284E+00	9.0727E-01	2.0424E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0184	1.6000E+00	3.3117E+00	3.6017E+00	3.7275E+00	9.0354E-01	2.0428E+00	2.7028E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0185	1.6000E+00	3.3118E+00	3.6017E+00	3.7266E+00	8.9999E-01	2.0432E+00	2.7028E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0186	1.6000E+00	3.3122E+00	3.6016E+00	3.7257E+00	8.9654E-01	2.0436E+00	2.7028E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0187	1.6000E+00	3.3130E+00	3.6014E+00	3.7248E+00	8.9324E-01	2.0440E+00	2.7028E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0188	1.6000E+00	3.3144E+00	3.6010E+00	3.7240E+00	8.9015E-01	2.0444E+00	2.7029E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0189	1.6000E+00	3.3161E+00	3.6006E+00	3.7231E+00	8.8719E-01	2.0448E+00	2.7029E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0190	1.6000E+00	3.3183E+00	3.6000E+00	3.7223E+00	8.8441E-01	2.0452E+00	2.7029E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0191	1.6000E+00	3.3210E+00	3.5993E+00	3.7214E+00	8.8180E-01	2.0456E+00	2.7030E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0192	1.6000E+00	3.3242E+00	3.5984E+00	3.7206E+00	8.7941E-01	2.0460E+00	2.7030E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0193	1.6000E+00	3.3278E+00	3.5975E+00	3.7198E+00	8.7717E-01	2.0464E+00	2.7031E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0194	1.6000E+00	3.3320E+00	3.5964E+00	3.7191E+00	8.7514E-01	2.0468E+00	2.7032E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0195	1.6000E+00	3.3365E+00	3.5952E+00	3.7183E+00	8.7327E-01	2.0472E+00	2.7032E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0196	1.6000E+00	3.3416E+00	3.5939E+00	3.7176E+00	8.7159E-01	2.0476E+00	2.7033E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0197	1.6000E+00	3.3471E+00	3.5925E+00	3.7168E+00	8.7012E-01	2.0480E+00	2.7034E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0198	1.6000E+00	3.3532E+00	3.5909E+00	3.7161E+00	8.6885E-01	2.0484E+00	2.7035E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0199	1.6000E+00	3.3597E+00	3.5892E+00	3.7154E+00	8.6774E-01	2.0488E+00	2.7037E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0200	1.6000E+00	3.3667E+00	3.5874E+00	3.7147E+00	8.6680E-01	2.0492E+00	2.7038E-01	0.016	0.0001	1.6900	0.9836	0.0164	
0201	1.6000E+00	3.3741E+00	3.5855E+00	3.7141E+00	8.6606E-01	2.0496E+00	2.7040E-01	0.016	0.0001	1.6900	0.9836	0.0164	
0202	1.6000E+00	3.3819E+00	3.5835E+00	3.7134E+00	8.6549E-01	2.0500E+00	2.7041E-01	0.016	0.0001	1.6900	0.9836	0.0164	
