model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0038	1.6000E+00	2.9399E+00	3.7052E+00	3.8083E+00	1.1235E+00	1.9844E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0039	1.6000E+00	2.9432E+00	3.7042E+00	3.8081E+00	1.1236E+00	1.9848E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0040	1.6000E+00	2.9466E+00	3.7032E+00	3.8079E+00	1.1236E+00	1.9852E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0041	1.6000E+00	2.9499E+00	3.7022E+00	3.8076E+00	1.1237E+00	1.9856E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0042	1.6000E+00	2.9533E+00	3.7012E+00	3.8074E+00	1.1237E+00	1.9860E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0043	1.6000E+00	2.9566E+00	3.7002E+00	3.8072E+00	1.1238E+00	1.9864E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0044	1.6000E+00	2.9600E+00	3.6992E+00	3.8069E+00	1.1238E+00	1.9868E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0045	1.6000E+00	2.9634E+00	3.6982E+00	3.8067E+00	1.1238E+00	1.9872E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0046	1.6000E+00	2.9668E+00	3.6972E+00	3.8064E+00	1.1239E+00	1.9876E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0047	1.6000E+00	2.9702E+00	3.6962E+00	3.8062E+00	1.1239E+00	1.9880E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0048	1.6000E+00	2.9737E+00	3.6952E+00	3.8060E+00	1.1239E+00	1.9884E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0049	1.6000E+00	2.9772E+00	3.6942E+00	3.8057E+00	1.1239E+00	1.9888E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0050	1.6000E+00	2.9806E+00	3.6932E+00	3.8055E+00	1.1239E+00	1.9892E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0051	1.6000E+00	2.9841E+00	3.6922E+00	3.8052E+00	1.1239E+00	1.9896E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0052	1.6000E+00	2.9876E+00	3.6912E+00	3.8049E+00	1.1239E+00	1.9900E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0053	1.6000E+00	2.9912E+00	3.6901E+00	3.8047E+00	1.1239E+00	1.9904E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0054	1.6000E+00	2.9947E+00	3.6891E+00	3.8044E+00	1.1239E+00	1.9908E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0055	1.6000E+00	2.9982E+00	3.6881E+00	3.8042E+00	1.1239E+00	1.9912E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0056	1.6000E+00	3.0018E+00	3.6870E+00	3.8039E+00	1.1239E+00	1.9916E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0057	1.6000E+00	3.0054E+00	3.6860E+00	3.8036E+00	1.1239E+00	1.9920E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
