M Y Z alpha diffusion overshoot age log_g radius Y_surf X_c mass_cc
9.871100991211103626e-01 2.883927080078167449e-01 2.020951367187489092e-02 1.841640092285170560e+00 1.076857669921848393e+00 2.303863491210909886e-01 6.918895350730547733e+00 4.349762106533090922e+00 1.101894451519608964e+00 2.502999225629103375e-01 1.019437619210539769e-01 4.429036817068603658e-03
9.906713735351747596e-01 2.863135527343783071e-01 1.979198632812496916e-02 1.875546264160177001e+00 1.123732328124977142e+00 2.220584843749980053e-01 6.621807206239738619e+00 4.358586503449613403e+00 1.093004960264717607e+00 2.486703416499275454e-01 1.264234300559759216e-01 5.334065477489225056e-03
1.001025800781260244e+00 2.826017700195361249e-01 2.060205322265615951e-02 1.850340430664070945e+00 9.512092089843512399e-01 2.310734809570288983e-01 6.858083684315610995e+00 4.350713043343403363e+00 1.108544089258616472e+00 2.458357759042286150e-01 1.157484589187708357e-01 5.822642602636051573e-03
1.039949665039074489e+00 2.755834824218791335e-01 2.143409375000007722e-02 1.898069526367205828e+00 1.013679565429665752e+00 2.120017465820318303e-01 6.329553857677887585e+00 4.338864715952216677e+00 1.145851150449308964e+00 2.394382721050997975e-01 1.218561239936061108e-01 1.003956476744648565e-02
9.616876093750131860e-01 2.863956611328161705e-01 1.767949999999980301e-02 1.879070543457043163e+00 1.116779080566383975e+00 2.283024335937481331e-01 7.309650952236228072e+00 4.350755027828203225e+00 1.086550285378391711e+00 2.444899409306355020e-01 1.066705946428668506e-01 7.521742154546180205e-03
1.004764169433611132e+00 2.812000312500040344e-01 1.980247070312501217e-02 1.866548643554709619e+00 1.140648004882789390e+00 2.147448515624987564e-01 6.577165087629887275e+00 4.351276010450243703e+00 1.110144796917633014e+00 2.438848539141383054e-01 1.213833045599604504e-01 5.823638302423497608e-03
1.016168803710953306e+00 2.836525673828165783e-01 2.151502587890629162e-02 1.835048140625012758e+00 1.057570827148414550e+00 2.040387646484367878e-01 6.539064392050297769e+00 4.340113810116301707e+00 1.130878153890865656e+00 2.459170853930394696e-01 1.181145991529943262e-01 8.307815173611255224e-03
1.024179664550793456e+00 2.800042700195345402e-01 2.056701660156253636e-02 1.932316536621118130e+00 1.086186305175761202e+00 2.338976064453123782e-01 6.345726682748116687e+00 4.348376909245329713e+00 1.124415630713386349e+00 2.442757227384623753e-01 1.285159847436270208e-01 1.032853957660102504e-02
1.003183189453143775e+00 2.872438823242233208e-01 2.238171484375002518e-02 1.765792893554685383e+00 9.143238232421709855e-01 2.173835502929663266e-01 6.909817366391781235e+00 4.338484337213322384e+00 1.125377256682363658e+00 2.491309283471841718e-01 9.959648046553967737e-02 4.139819706747146361e-03
1.017597147949238723e+00 2.767959418945354910e-01 2.073367822265619748e-02 1.788228613281251045e+00 9.688042832031139584e-01 1.695243085937498950e-01 6.656314820501005869e+00 4.331217407283582510e+00 1.143383878449339308e+00 2.362134285546423629e-01 1.177783886349027531e-01 7.269919736170977163e-03
9.962410424804719611e-01 2.691779433593764481e-01 2.001551220703109979e-02 1.970891915527343441e+00 9.042209374999788940e-01 2.567477368164056140e-01 7.781517074938022027e+00 4.362370144903690239e+00 1.089778119840234094e+00 2.335411807410587015e-01 1.039760027563987194e-01 4.466880216381306432e-03
1.006205495117206583e+00 2.863135810546919013e-01 2.168815234375001330e-02 1.790997836914069774e+00 9.961428725585772526e-01 1.958165239257797785e-01 6.761119552498612961e+00 4.336104089267766248e+00 1.130519272641104189e+00 2.472911988857366128e-01 1.048356497195889608e-01 6.288358465873545439e-03
9.753947265625158014e-01 2.854388559570362749e-01 1.855363671874990864e-02 1.840038528320319111e+00 9.668977285156089563e-01 2.107014653320303244e-01 7.144248309715620415e+00 4.340418699775922207e+00 1.107651253004807712e+00 2.425630785202582684e-01 1.064500105882290465e-01 8.260738351868010532e-03
9.998411577148584861e-01 2.854278041992208137e-01 1.941040429687495780e-02 1.920948372070335530e+00 1.145650512695293388e+00 2.174845703125005969e-01 6.436732372347129250e+00 4.349513487206540852e+00 1.109514449123436997e+00 2.455634021866000272e-01 1.349069687079728630e-01 1.161910883318430232e-02
1.012530245117199357e+00 2.787567001953161205e-01 2.028267919921879908e-02 1.912807626953143547e+00 1.054130563476534999e+00 2.480468574218735733e-01 6.744463409339861215e+00 4.350962199536938968e+00 1.114290314851030805e+00 2.428861719715193768e-01 1.078546015220616383e-01 5.708203590087069720e-03
1.025244464355487661e+00 2.803572846679741049e-01 2.215032226562501858e-02 1.763642640625006086e+00 9.591880146484184078e-01 1.951346552734362638e-01 6.403659419287537347e+00 4.341150965579838150e+00 1.134045395826378977e+00 2.437425520474756080e-01 1.254874010704905840e-01 4.309548544346373383e-03
1.003128637695323455e+00 2.732091713867213500e-01 2.003141894531241390e-02 1.981432523925792388e+00 9.612552788085729771e-01 2.653684301757812669e-01 7.050345259605900416e+00 4.372122090557090779e+00 1.081444148806164129e+00 2.389121605622955835e-01 1.276094413747555778e-01 3.769745814252170157e-03
9.995720546875210832e-01 2.858876879882857880e-01 2.094990039062498074e-02 1.789160593261729160e+00 1.029070382812480755e+00 1.914804101562486705e-01 6.719825691127073952e+00 4.341323098437115391e+00 1.119904155482145836e+00 2.464706841619416500e-01 1.099619272686999244e-01 4.821521154640577740e-03
9.802328017578305630e-01 2.913585122070354028e-01 2.010630517578115145e-02 1.812476129882825138e+00 1.081398318359349187e+00 2.170252441406214927e-01 7.268992702059319910e+00 4.332479470559361445e+00 1.120101920651261684e+00 2.508064942445676904e-01 6.691734318220680933e-02 4.161290039523450265e-03
9.779456938476712713e-01 2.902425175781284117e-01 2.054113232421862084e-02 1.848654108886720104e+00 9.817042807616994660e-01 2.265538452148412596e-01 7.002948521314026564e+00 4.352461698062540130e+00 1.093652767911574397e+00 2.504876114601213288e-01 1.317608610657294288e-01 1.029098902521623747e-02
9.986828774414232557e-01 2.830721601562548040e-01 2.139859667968745452e-02 1.829092852539067282e+00 9.543061547851343640e-01 2.433764638671850611e-01 6.545906371917793898e+00 4.370427618867812392e+00 1.081895696075487079e+00 2.483339090957951967e-01 1.568616552156651966e-01 3.220972024190830226e-03
9.701335410156364247e-01 2.862717333984400314e-01 1.954130517578108947e-02 1.924786049804694255e+00 1.002511409667944609e+00 2.590204350585906257e-01 7.460233413728258434e+00 4.362899469027425425e+00 1.074503278589371114e+00 2.486463951606059375e-01 9.569772803750674350e-02 2.486840745497187130e-03
9.943280654296979826e-01 2.765912211914083874e-01 1.973860498046867834e-02 1.951335093261729492e+00 1.021240287597632301e+00 2.607702939453114266e-01 7.109736300282985866e+00 4.368132524794957838e+00 1.081872414802572235e+00 2.413025299230860399e-01 1.243562830506787786e-01 4.591446490947566350e-03
1.021095494140640048e+00 2.820812890625046809e-01 2.175725878906253213e-02 1.841491163574230594e+00 9.577059033202927063e-01 2.222234169921867564e-01 6.460466539893531035e+00 4.346050277814929252e+00 1.125666067028387562e+00 2.459722179614439175e-01 1.296015121421569549e-01 8.366921312345804856e-03
9.933682294922029365e-01 2.884734960937524462e-01 2.017454248046872053e-02 1.907492455566429657e+00 1.236406982910134067e+00 2.441980292968727040e-01 6.783858657004116388e+00 4.349784333662824132e+00 1.105195688525862252e+00 2.510537610409628861e-01 1.091392748641740462e-01 8.197519501948202086e-03
9.942790502929836904e-01 2.819838095703157688e-01 1.928856640624993651e-02 1.899200437500022209e+00 1.161295268554660698e+00 2.431047885742165515e-01 6.750186458724715344e+00 4.359224261197880423e+00 1.093898083918547259e+00 2.455114818789936315e-01 1.171672890990440030e-01 4.283464370252993911e-03
9.890476337890808933e-01 2.909934609375043890e-01 2.214879785156244688e-02 1.792368839843750061e+00 8.751605034179475995e-01 2.477781152343712934e-01 7.039757909427579285e+00 4.350020286707564132e+00 1.101928690793487542e+00 2.536249824498869598e-01 1.031585746002766507e-01 3.206193375572613784e-03
9.859847543945471360e-01 2.884690385742231800e-01 2.021084472656239223e-02 1.814957115722668934e+00 1.062379219238254402e+00 2.279622021484342398e-01 7.003065464385094252e+00 4.346333389925646884e+00 1.105510736050719700e+00 2.501684480520829368e-01 9.365589364950695217e-02 3.336011799424492153e-03
9.766857041015779561e-01 2.902207714843789699e-01 1.961140527343735104e-02 1.840511636718759281e+00 1.053397759277321821e+00 2.118255957031220660e-01 7.296181404140188675e+00 4.335949413976739386e+00 1.113989187835267014e+00 2.495001855677961566e-01 8.434449007806478493e-02 7.186244992640778220e-03
9.910518735351737662e-01 2.856661479492206834e-01 1.950906005859379816e-02 1.935564073242217242e+00 1.264667792968730664e+00 2.630203491210918454e-01 6.483677184308172414e+00 4.371811921916554766e+00 1.075711534693861493e+00 2.506338397569508047e-01 1.352364704814857377e-01 3.394483014398077571e-03
9.929074975586091867e-01 2.835086010742214890e-01 1.935634277343745505e-02 1.932256708984398941e+00 1.186662994140600835e+00 2.523248911132793815e-01 6.794468892404436744e+00 4.358185042964791478e+00 1.094130809441314245e+00 2.468222004785200485e-01 1.105744525931491862e-01 5.192905993889222922e-03
1.024647806640637038e+00 2.811581269531286953e-01 2.059272119140627758e-02 1.914497566406265561e+00 9.837913105468562014e-01 2.079235585937515285e-01 6.151267364804517968e+00 4.344845940898223624e+00 1.129525001608206125e+00 2.430547873638175538e-01 1.447752066105271185e-01 1.286550583511205000e-02
1.028403836914073555e+00 2.771909208984412176e-01 2.113636669921883232e-02 1.904499279785176080e+00 1.045173544433569024e+00 2.364737343749997167e-01 6.617642660508242791e+00 4.341592998469843145e+00 1.135419271501196370e+00 2.413753072808269007e-01 9.437727626574309026e-02 5.081844758803360715e-03
1.017769801757827608e+00 2.793204252929731846e-01 2.080922216796876612e-02 1.822186209472675733e+00 1.120228639160129713e+00 2.215810087890612845e-01 6.702581166248913647e+00 4.338602860747502454e+00 1.133180567573792930e+00 2.422781536678930425e-01 9.203119708654625142e-02 3.333233226779423915e-03
1.014188816406266902e+00 2.810299443359417504e-01 2.116345263671875337e-02 1.815971924316420072e+00 1.042740954589817637e+00 2.173129125976547005e-01 6.348479037332968034e+00 4.356480002940679164e+00 1.108290491417442736e+00 2.457076006044249528e-01 1.410463375204886183e-01 3.618201691978870614e-03
9.875267612304874376e-01 2.875315205078173841e-01 2.022479687499981194e-02 1.753550631347675859e+00 1.164495537109348167e+00 2.018995043945278622e-01 7.183353001389052750e+00 4.332740385672019912e+00 1.123643694223905198e+00 2.478861052857218306e-01 7.112901220657734391e-02 1.551868237023619349e-03
9.815007348632998063e-01 2.940543125000049662e-01 2.104095263671865862e-02 1.786810115722664349e+00 9.798773369140386658e-01 2.294405556640587429e-01 7.102885096071194226e+00 4.340624409809372253e+00 1.109832762566512310e+00 2.549160044951275239e-01 7.962392918590117941e-02 3.120654499217314238e-03
1.033168748535176373e+00 2.777203085937557936e-01 2.294088720703131926e-02 1.731199026367189031e+00 8.825709140624825588e-01 2.080427177734367472e-01 6.303911805122617729e+00 4.345212506460060631e+00 1.132600237565486889e+00 2.426833196382222058e-01 1.340770118927573640e-01 1.511145593672665261e-03
1.006805079589858876e+00 2.859005913085987394e-01 2.144481591796875558e-02 1.819394949707038966e+00 9.458851914062268440e-01 2.264158422851543506e-01 6.705949692000182871e+00 4.343685941155968067e+00 1.120776042178130094e+00 2.487109443069045467e-01 1.047263386358543713e-01 4.927547302004659131e-03
9.903476220703303357e-01 2.846633867187533529e-01 1.982795458984370346e-02 1.860610558105492363e+00 1.141301380371067209e+00 2.354181572265595379e-01 6.687340569395599843e+00 4.364271930173700298e+00 1.084970930326650596e+00 2.486297789891811216e-01 1.236766600066317168e-01 1.826978129355243466e-03
9.977521118164243141e-01 2.850534042968786985e-01 2.016628124999996635e-02 1.824264949218775467e+00 1.209557967285129765e+00 2.296208789062475220e-01 6.827516417146697769e+00 4.345041483768960155e+00 1.113572141264980386e+00 2.475337677973255268e-01 9.281607687619904123e-02 2.548711734525721875e-03
1.010888205078134483e+00 2.836037451171914414e-01 2.113022216796868469e-02 1.906334979003911689e+00 1.002700854980448808e+00 2.324299838867179835e-01 6.670877076110946824e+00 4.347071814677124557e+00 1.119092066991897561e+00 2.468097313537168380e-01 1.387385964595104770e-01 1.392619622915670236e-02
9.799358017578267965e-01 2.832005166015642006e-01 1.899882617187492392e-02 1.983775007324237505e+00 1.180784803222635126e+00 2.691162910156237875e-01 7.019225876217560334e+00 4.371720902147512078e+00 1.069435312903406654e+00 2.471821916935198760e-01 1.154207001684000727e-01 3.469281790438797589e-03
9.644431030273606931e-01 2.957456420898476601e-01 1.983305419921860963e-02 1.820120458984391343e+00 1.078293877441378834e+00 2.382060375976511324e-01 7.350215172193625968e+00 4.345796391539257897e+00 1.093133865858458398e+00 2.561416121371283272e-01 7.311854949488212629e-02 2.258706325984876327e-03
9.739624702148554913e-01 2.862644238281281672e-01 1.928562011718739158e-02 1.896379001464850944e+00 1.032952563476539964e+00 2.433193559570291653e-01 7.378347358138981349e+00 4.349702490131193144e+00 1.094236049646720943e+00 2.467191781937518591e-01 1.007820540562769790e-01 7.633931658327304179e-03
9.884328520507974503e-01 2.839183911132848182e-01 2.013469824218740850e-02 1.868481385253922156e+00 1.018830215332006128e+00 2.415862006835910181e-01 6.745094995385955805e+00 4.370597674871445903e+00 1.075794155226389437e+00 2.484238190654072531e-01 1.367088004149427383e-01 2.198990191282746646e-03
