name value uncertainty
Teff 5825 50
nu_max 2197 22
Fe/H 0.093 0.007 # Fe/H 0.10 0.03
C/Fe −0.049 0.012 
O/Fe −0.062 0.016 
Na/Fe 0.001 0.006 
Mg/Fe 0.033 0.012 
Al/Fe 0.035 0.008 
Si/Fe 0.014 0.006
S/Fe −0.024 0.014 
Ca/Fe 0.006 0.007 
Ti/Fe 0.031 0.007 
Cr/Fe 0.001 0.005 
Ni/Fe 0.012 0.006 
Zn/Fe 0.019 0.009 
Y/Fe −0.057 0.007
