n l nu dnu
12 1 1438.30507923 1.41627698547
13 0 1497.39800462 0.272112545303
13 1 1545.43913989 0.363464408413
13 2 1592.91943437 0.777451448759
14 0 1601.53918177 0.188740092434
14 1 1649.08395863 0.205700173488
14 2 1697.71251285 0.333380209431
15 0 1705.15387141 0.11573059961
15 1 1752.08626243 0.139934284177
15 2 1800.36665454 0.219187021516
16 0 1807.18609693 0.117450012714
16 1 1854.58068125 0.0945390877312
16 2 1902.77579136 0.229545152114
17 0 1909.95708767 0.101224578468
17 1 1957.35628539 0.101055868275
17 2 2005.59722955 0.13757789309
18 0 2012.97928218 0.09744546659
18 1 2061.545216 0.0747476106569
18 2 2110.25141303 0.1126968715
19 0 2117.29065441 0.0788166666532
19 1 2165.91419814 0.0725821469994
19 2 2214.31821246 0.0990776182553
20 0 2221.50538811 0.0645429202839
19 3 2259.52884124 0.808552389532
20 1 2270.37264822 0.0700327831769
20 2 2318.59542904 0.126579441111
21 0 2325.54349729 0.0933244714515
20 3 2364.23670491 0.666590338004
21 1 2374.51250305 0.0850556909447
21 2 2423.14946684 0.196219384306
22 0 2429.94823571 0.108567233048
21 3 2467.45328823 0.67124524823
22 1 2478.98968593 0.1020416423
22 2 2528.45942023 0.249764683549
23 0 2533.84654779 0.16430198624
22 3 2570.73683051 0.788418223165
23 1 2583.87502903 0.144778342617
23 2 2632.27593813 0.80079969139
24 0 2639.19901057 0.2233234056
24 1 2689.24119775 0.196028140372
24 2 2739.38347133 0.648700417269
25 0 2743.84299372 0.466766461651
25 1 2794.38864693 0.421143235565
25 2 2843.61729126 0.844065546114
26 0 2850.07250634 0.700955335307
26 1 2901.87850104 0.479235262048
26 2 2949.29429789 1.18088322539
27 0 2955.03366267 0.683298357146
27 1 3005.90236816 0.745554705429
