name value uncertainty
Teff 6235 77
nu_max 1109 12
Fe/H −0.126 0.012 # Fe/H -0.20 0.10
C/Fe −0.027 0.015 
O/Fe 0.002 0.019 
Na/Fe −0.047 0.009 
Mg/Fe −0.036 0.010 
Al/Fe −0.033 0.011 
Si/Fe 0.027 0.008 
S/Fe −0.037 0.017 
Ca/Fe 0.037 0.010 
Ti/Fe 0.020 0.009 
Cr/Fe −0.024 0.009 
Ni/Fe −0.062 0.008 
Zn/Fe −0.048 0.015 
Y/Fe 0.020 0.010
