name value uncertainty
Teff 5750 50
nu_max 2558 26
Fe/H 0.062 0.007 # Fe/H 0.05 0.02
C/Fe −0.026 0.012 
O/Fe −0.041 0.016 
Na/Fe 0.007 0.006 
Mg/Fe 0.033 0.012 
Al/Fe 0.043 0.008 
Si/Fe 0.011 0.006 
S/Fe −0.013 0.014 
Ca/Fe 0.010 0.007 
Ti/Fe 0.035 0.007 
Cr/Fe 0.004 0.005 
Ni/Fe 0.013 0.006 
Zn/Fe 0.020 0.009 
Y/Fe −0.052 0.007 
