name value uncertainty
Teff 6302 77
nu_max 2686 29
Fe/H 0.096 0.019 # Fe/H 0.10 0.10
C/Fe −0.071 0.025 
O/Fe −0.061 0.032 
Na/Fe −0.055 0.014 
Mg/Fe −0.065 0.016 
Al/Fe −0.064 0.017 
Si/Fe −0.001 0.013 
S/Fe −0.002 0.030 
Ca/Fe −0.008 0.017 
Ti/Fe −0.005 0.014 
Cr/Fe −0.014 0.014 
Ni/Fe −0.019 0.013 
Zn/Fe −0.050 0.025 
Y/Fe 0.036 0.017
