name value uncertainty
Teff 6045 77
Fe/H -0.06 0.10
nu_max 2729 30
Fe/H −0.024 0.017 
C/Fe −0.003 0.023 
O/Fe 0.044 0.029 
Na/Fe −0.021 0.013 
Mg/Fe −0.011 0.014 
Al/Fe −0.027 0.016 
Si/Fe 0.012 0.012 
S/Fe −0.011 0.027 
Ca/Fe 0.008 0.015 
Ti/Fe 0.003 0.013 
Cr/Fe 0.005 0.013 
Ni/Fe −0.012 0.011 
Zn/Fe −0.049 0.023 
Y/Fe −0.006 0.015
