l	n	nu	dnu
0	14	1053.0217510016	0.41
0	15	1123.3091284037	0.26
0	16	1194.8721179064	0.19
0	17	1265.4496632627	0.15
0	18	1335.0211129815	0.12
0	19	1405.0008676556	0.14
0	20	1475.8621816025	0.19
0	21	1546.9242770083	0.28
0	22	1618.6870671309	0.47
0	23	1689.4164624342	0.98
1	13	1016.0725040695	0.72
1	14	1085.9448528247	0.36
1	15	1156.6857048692	0.22
1	16	1227.8850851894	0.16
1	17	1297.6016597062	0.11
1	18	1367.3104743073	0.1
1	19	1437.4611563657	0.13
1	20	1508.5690652222	0.18
1	21	1580.9395774725	0.25
1	22	1652.02559132	0.41
1	23	1726.1409653462	0.86
1	24	1797.8327893036	2.34
2	14	1118.5735911985	0.68
2	15	1190.2355579555	0.41
2	16	1261.1846167568	0.28
2	17	1331.0062215079	0.2
2	18	1401.0473190321	0.21
2	19	1471.7444811153	0.28
2	20	1542.4931263366	0.36
2	21	1615.6437231604	0.49
2	22	1686.7845877781	0.8
