l	n	nu	dnu
0	13	975.9094903813	0.46
0	14	1046.0744836712	0.24
0	15	1115.9774628449	0.16
0	16	1185.3935119425	0.12
0	17	1254.0380295897	0.1
0	18	1322.9293828891	0.08
0	19	1392.9318578366	0.1
0	20	1463.5721531933	0.14
0	21	1534.6284842414	0.21
0	22	1605.403699403	0.38
0	23	1676.1412912861	0.83
1	13	1007.7881843577	0.4
1	14	1076.9664616529	0.21
1	15	1146.7032564429	0.14
1	16	1215.4976565488	0.1
1	17	1284.1849108516	0.08
1	18	1353.4922096703	0.07
1	19	1423.7318232384	0.09
1	20	1494.533097335	0.13
1	21	1565.7292746966	0.2
1	22	1636.558653181	0.34
1	23	1707.0416868501	0.75
1	24	1778.6564954899	2.16
2	14	1111.1970778133	0.4
2	15	1180.1544765428	0.25
2	16	1248.9121241271	0.17
2	17	1317.7040903223	0.14
2	18	1387.5908659674	0.15
2	19	1458.4833581158	0.2
2	20	1529.4819584544	0.27
2	21	1600.1721275297	0.4
2	22	1670.8602160783	0.69
