l	n	nu	dnu
0	15	1516.5633644908	0.19
0	16	1610.2075633258	0.12
0	17	1703.4279167719	0.09
0	18	1796.0814679015	0.07
0	19	1889.4077360279	0.06
0	20	1983.693853301	0.06
0	21	2078.7967724004	0.06
0	22	2174.0664706227	0.09
0	23	2269.3519649525	0.13
0	24	2364.4420939879	0.22
0	25	2459.134478106	0.47
0	26	2555.5058109195	1.25
1	14	1465.7056797997	0.32
1	15	1560.1578126958	0.16
1	16	1653.5235757513	0.1
1	17	1746.6909079442	0.07
1	18	1839.4611817111	0.06
1	19	1933.2578726046	0.05
1	20	2027.9366831609	0.05
1	21	2123.4106437893	0.06
1	22	2218.6823867669	0.08
1	23	2314.0276844718	0.13
1	24	2408.9580587538	0.21
1	25	2505.0125065134	0.45
1	26	2600.6352010296	1.18
2	15	1602.2363230593	0.31
2	16	1695.2026966925	0.19
2	17	1788.1365236755	0.13
2	18	1881.3440593724	0.1
2	19	1975.7416387857	0.09
2	20	2070.721653394	0.1
2	21	2166.4364932575	0.13
2	22	2261.9950112513	0.18
2	23	2357.4145691532	0.27
2	24	2452.2485571063	0.45
2	25	2546.3361151817	0.93
