l	n	nu	dnu
0	15	1872.0803185671	0.65
0	16	1987.1331156631	0.36
0	17	2102.2981031525	0.24
0	18	2216.4546649075	0.19
0	19	2330.7299585855	0.16
0	20	2446.4943524518	0.12
0	21	2563.2157368965	0.15
0	22	2680.2361085101	0.21
0	23	2798.6068606087	0.3
0	24	2914.8671920812	0.47
0	25	3031.9525157708	0.93
1	15	1925.862768897	0.57
1	16	2040.7125502586	0.31
1	17	2155.5747326532	0.21
1	18	2269.9159952908	0.16
1	19	2384.6531610551	0.13
1	20	2501.0507240136	0.1
1	21	2618.496537055	0.14
1	22	2735.9381679473	0.19
1	23	2853.1040725859	0.26
1	24	2969.9855333755	0.42
1	25	3088.5879007256	0.82
1	26	3208.2517596752	2.09
2	16	2091.3277253498	0.6
2	17	2205.3518019674	0.4
2	18	2320.1231068374	0.3
2	19	2436.1307225967	0.2
2	20	2552.9896808071	0.22
2	21	2670.8691218585	0.3
2	22	2788.1621313967	0.38
2	23	2905.5419794517	0.51
2	24	3021.9880193555	0.81
