l n nu dnu
0 12 1407.5756537994 1.0650877375
0 13 1511.0362284231 0.5893689624
0 14 1615.4865802002 0.2665656934
0 15 1722.4967722262 0.175525789
0 16 1828.0638989471 0.1275789481
0 17 1933.3098757587 0.1303383819
0 18 2038.2543246231 0.1093147444
0 19 2144.1098920895 0.0919107873
0 20 2251.1348147237 0.0829763745
0 21 2358.4523068886 0.0879253199
0 22 2465.829422074 0.1050250227
0 23 2573.3579062515 0.1443214759
0 24 2680.5344415451 0.2306601281
0 25 2788.682110997 0.3049191582
0 26 2896.1065406641 0.5310592411
0 27 3004.5561961726 0.4871384099
0 28 3113.4871635052 0.90133727
0 29 3221.232455942 0.9043762408
0 30 3332.1884441415 2.0461591378
1 11 1351.1625860053 0.6419229198
1 12 1454.2426350877 0.6176206403
1 13 1558.2614945888 0.4841235748
1 14 1665.0380027873 0.2152511831
1 15 1771.6899949087 0.1450385578
1 16 1877.0937262028 0.1376463385
1 17 1982.2794961454 0.1163527416
1 18 2087.4199353567 0.0908421751
1 19 2194.218045331 0.085186745
1 20 2301.439329006 0.0891439455
1 21 2409.2762396201 0.0895651609
1 22 2516.5953926613 0.107586918
1 23 2623.993499648 0.1351688207
1 24 2731.4940082276 0.1766120312
1 25 2839.8762810658 0.2642463024
1 26 2948.404682067 0.3457019556
1 27 3056.5048293853 0.5186094639
1 28 3165.4056042154 0.6169662212
1 29 3273.5563074199 1.5900404497
2 13 1608.4632884826 0.775904185
2 14 1712.7643214207 0.5496675954
2 15 1819.2068354012 0.350092744
2 16 1923.9941920484 0.2616165129
2 17 2028.9395122783 0.2135556861
2 18 2134.6673044899 0.155902367
2 19 2241.9590524242 0.1615188164
2 20 2349.567009439 0.161898996
2 21 2456.6897012771 0.1546637001
2 22 2564.3100900841 0.2292590587
2 23 2672.2172494288 0.3233264637
2 24 2780.091686993 0.3961110669
2 25 2889.0434525577 0.5470427021
2 26 2996.02938663 0.8219373422
2 27 3103.8266225052 1.4787555941
2 28 3213.2847475167 1.4748318903
2 29 3319.5866077142 2.3641779175
3 19 2282.9680152408 2.6655694429
3 20 2393.4992558934 1.0417940298
3 21 2500.2537664779 1.4406435095
3 22 2605.9664224741 1.6034837473
