l	n	nu	dnu
0	14	1844.0466757877	0.29
0	15	1963.6254710796	0.16
0	16	2082.1085122606	0.11
0	17	2200.0990775957	0.08
0	18	2319.1962821268	0.06
0	19	2439.4115773377	0.05
0	20	2560.1138194613	0.05
0	21	2681.0642919101	0.07
0	22	2801.8423564473	0.1
0	23	2922.6685617259	0.18
0	24	3044.4114921279	0.36
0	25	3166.6657596227	0.95
1	14	1899.18178427	0.26
1	15	2018.4163851682	0.14
1	16	2137.0597204407	0.09
1	17	2255.8897597922	0.07
1	18	2375.5878712898	0.05
1	19	2496.4660522746	0.05
1	20	2617.5281591425	0.05
1	21	2738.5440068753	0.07
1	22	2859.7296230328	0.1
1	23	2980.9559667502	0.18
1	24	3102.9302144368	0.35
1	25	3225.571393544	0.92
2	15	2074.3383030927	0.27
2	16	2192.1623608355	0.17
2	17	2311.7784108054	0.12
2	18	2432.4708507644	0.09
2	19	2553.3707300415	0.09
2	20	2674.6394263006	0.11
2	21	2796.0246256109	0.15
2	22	2916.9847976292	0.23
2	23	3038.9287999102	0.38
2	24	3161.3906552545	0.76
