l	n	nu	dnu
0	16	2513.8103994266	0.21
0	17	2656.8138898511	0.13
0	18	2799.6357280207	0.1
0	19	2942.9127354892	0.08
0	20	3087.4006914479	0.06
0	21	3232.3891382825	0.05
0	22	3377.2113128465	0.06
0	23	3522.4349038542	0.09
0	24	3667.6048587716	0.14
0	25	3813.6944596423	0.27
0	26	3958.745941941	0.61
0	27	4108.4731155277	1.74
1	15	2437.0641371962	0.37
1	16	2580.8194394468	0.19
1	17	2723.7842885154	0.12
1	18	2866.9118360764	0.08
1	19	3011.0952335218	0.06
1	20	3155.8101904858	0.05
1	21	3301.0144465942	0.05
1	22	3445.9780585416	0.06
1	23	3591.3588721984	0.09
1	24	3736.883246026	0.14
1	25	3883.281988573	0.27
1	26	4029.05144451	0.6
1	27	4177.6701673869	1.69
2	17	2787.2153190458	0.22
2	18	2930.7025190717	0.15
2	19	3075.4403777303	0.11
2	20	3220.557741668	0.09
2	21	3365.8053337002	0.09
2	22	3511.4078682057	0.13
2	23	3656.9798629656	0.19
2	24	3803.6709071901	0.31
2	25	3948.6704144997	0.57
2	26	4097.1989271077	1.28
