l	n	nu	dnu
0	14	1459.2210504417	0.3
0	15	1554.8809868389	0.17
0	16	1648.8163602045	0.11
0	17	1743.2349977629	0.08
0	18	1838.0907939715	0.07
0	19	1934.1754465525	0.06
0	20	2030.5592019076	0.06
0	21	2126.9780617488	0.07
0	22	2223.3331837461	0.1
0	23	2320.1135152658	0.16
0	24	2417.2662714268	0.3
0	25	2513.2138430383	0.69
1	14	1502.1409011152	0.27
1	15	1597.8328427958	0.14
1	16	1691.7207080299	0.09
1	17	1786.3967951987	0.07
1	18	1881.9059386593	0.06
1	19	1978.5152885999	0.05
1	20	2075.2463360251	0.05
1	21	2171.9351605713	0.07
1	22	2268.3338965577	0.1
1	23	2365.2464515565	0.15
1	24	2462.817878805	0.29
1	25	2560.0358331282	0.66
1	26	2660.0113978938	1.99
2	15	1641.8798300128	0.28
2	16	1736.7193309574	0.17
2	17	1831.580018847	0.13
2	18	1927.7924770096	0.1
2	19	2024.5718095273	0.09
2	20	2121.2554448629	0.11
2	21	2217.6094539916	0.15
2	22	2314.6515342273	0.21
2	23	2412.053632869	0.33
2	24	2508.8381248191	0.6
2	25	2608.0615680523	1.38
