l	n	nu	dnu
0	15	2659.0880191521	0.42
0	16	2819.2466699449	0.23
0	17	2979.140732369	0.15
0	18	3139.8750741242	0.12
0	19	3301.665225291	0.09
0	20	3464.1067212818	0.07
0	21	3626.5664098986	0.07
0	22	3789.271156326	0.1
0	23	3952.4301695826	0.17
0	24	4116.0856575239	0.32
0	25	4280.217361125	0.7
0	26	4443.2294021943	1.94
1	15	2735.3095357191	0.38
1	16	2895.4607411745	0.21
1	17	3056.2957103125	0.13
1	18	3217.7634362744	0.1
1	19	3380.094357616	0.07
1	20	3542.9384965097	0.05
1	21	3705.699155583	0.06
1	22	3868.8518364019	0.1
1	23	4032.3771657269	0.17
1	24	4196.8061862742	0.31
1	25	4362.2971575475	0.67
1	26	4526.5012331099	1.83
2	16	2970.0015561083	0.41
2	17	3130.6925959654	0.25
2	18	3293.7577836118	0.17
2	19	3456.1563171294	0.12
2	20	3619.0833819285	0.1
2	21	3782.6079527085	0.15
2	22	3945.8785450085	0.23
2	23	4109.5033669226	0.37
2	24	4272.9981333875	0.65
2	25	4439.4865035118	1.39
