l	n	nu	dnu
0	15	1378.2936255306	0.9
0	16	1464.6631487729	0.5
0	17	1551.9719420697	0.34
0	18	1638.4395070089	0.27
0	19	1726.4256787278	0.24
0	20	1812.1735953246	0.22
0	21	1898.1166952515	0.28
0	22	1984.5564962702	0.35
0	23	2070.729482859	0.51
0	24	2158.0817468817	0.89
0	25	2249.3819578021	2
1	15	1417.5953016088	0.78
1	16	1504.2340468746	0.43
1	17	1591.4441255472	0.29
1	18	1679.8498081909	0.23
1	19	1765.7213571992	0.19
1	20	1851.9521957785	0.21
1	21	1937.728565374	0.24
1	22	2024.7054205239	0.3
1	23	2111.8676838356	0.44
1	24	2200.956785917	0.77
1	25	2288.1508250948	1.72
2	16	1542.7365779157	0.82
2	17	1630.3345401552	0.56
2	18	1717.5663689722	0.43
2	19	1803.2912965673	0.35
2	20	1889.62622043	0.41
2	21	1976.5664141224	0.47
2	22	2064.3321976618	0.58
2	23	2150.8700034607	0.84
2	24	2237.9177846725	1.47
