l n nu dnu n_g
0 3 148.125 0.115 0 
0 4 176.834 0.109 0 
0 5 205.942 0.104 0 
0 6 234.825 0.099 0 
0 7 262.512 0.047 0 
0 8 289.248 0.027 0 
0 9 316.560 0.029 0 
0 10 344.981 0.019 0 
0 11 373.172 0.019 0 
0 12 400.911 0.014 0 
0 13 429.034 0.014 0 
0 14 457.778 0.017 0 
0 15 486.904 0.027 0 
0 16 516.032 0.049 0 
0 17 544.908 0.136 0 
0 18 573.927 0.170 0 
0 19 602.986 0.179 0 
0 20 632.501 0.188 0 
0 21 661.514 0.197 0 
0 22 691.520 0.207 0 
0 23 720.319 0.218 0 
1 -11 131.031 0.389 14 
1 -30 133.789 0.371 33 
1 -29 138.492 0.353 32 
1 -28 142.991 0.336 31 
1 -27 147.960 0.320 30 
1 -26 153.091 0.305 29 
1 -11 153.950 0.291 14 
1 -24 158.367 0.277 28 
1 -23 164.810 0.264 27 
1 -22 170.733 0.251 26 
1 -3 176.542 0.239 7 
1 -4 180.160 0.228 8 
1 -19 185.848 0.217 23 
1 -6 191.522 0.207 11 
1 -3 197.103 0.197 8 
1 -12 205.176 0.187 17 
1 -15 213.433 0.178 20 
1 -14 217.583 0.170 20 
1 -13 226.234 0.162 19 
1 -12 237.520 0.154 18 
1 -11 243.453 0.147 17 
1 -10 252.098 0.140 17 
1 -3 266.065 0.133 10 
1 -8 270.441 0.127 15 
1 -7 284.815 0.121 15 
1 4 294.386 0.115 4 
1 -5 305.422 0.110 14 
1 6 318.631 0.104 3 
1 -3 329.172 0.098 13 
1 6 343.634 0.048 4 
1 -1 356.307 0.035 11 
1 8 369.595 0.026 3 
1 1 386.236 0.021 11 
1 8 397.199 0.015 4 
1 9 417.007 0.015 4 
1 4 430.176 0.013 9 
1 11 446.904 0.016 3 
1 6 469.651 0.022 8 
1 11 480.372 0.045 4 
1 12 502.769 0.091 4 
1 9 526.098 0.195 7 
1 12 537.613 0.205 5 
1 15 560.608 0.215 3 
1 12 586.747 0.226 7 
1 13 602.429 0.238 6 
1 16 620.256 0.249 4 
1 15 647.658 0.262 6 
1 16 673.331 0.275 5 
1 17 689.192 0.289 5 
1 20 708.749 0.303 3 
2 -57 130.077 0.693 59 
2 -56 132.322 0.660 58 
2 -55 133.485 0.628 57 
2 -54 136.329 0.598 57 
2 -53 138.896 0.570 56 
2 -52 141.417 0.543 55 
2 -51 143.719 0.517 54 
2 -50 143.384 0.492 53 
2 -49 146.497 0.469 52 
2 -48 148.744 0.446 51 
2 -47 152.024 0.425 50 
2 -46 155.703 0.405 49 
2 -45 158.816 0.386 48 
2 -44 162.411 0.367 47 
2 -43 164.501 0.350 46 
2 -42 167.291 0.333 46 
2 -41 170.170 0.317 45 
2 -40 172.816 0.302 44 
2 -39 174.727 0.288 43 
2 -38 178.737 0.274 42 
2 -37 183.295 0.261 41 
2 -36 187.443 0.249 40 
2 -35 192.451 0.237 39 
2 -34 197.223 0.226 39 
2 -33 200.969 0.215 38 
2 -32 202.953 0.205 37 
2 -31 207.877 0.195 36 
2 -30 213.505 0.186 35 
2 -29 217.607 0.177 34 
2 -28 222.386 0.168 33 
2 -27 228.358 0.160 33 
2 -26 231.482 0.153 32 
2 -25 235.752 0.145 31 
2 -24 243.135 0.138 30 
2 -23 251.483 0.132 29 
2 -22 258.860 0.126 29 
2 -21 260.250 0.120 28 
2 -20 269.510 0.114 27 
2 -19 279.318 0.108 26 
2 -18 285.589 0.103 26 
2 -17 290.009 0.098 25 
2 -16 301.148 0.094 24 
2 -15 311.521 0.089 24 
2 -14 314.190 0.085 23 
2 -13 323.651 0.081 22 
2 -12 334.318 0.077 21 
2 -11 342.260 0.073 21 
2 -10 348.267 0.070 20 
2 -9 363.769 0.067 19 
2 -8 370.405 0.063 19 
2 -7 381.697 0.060 18 
2 -6 398.107 0.039 18 
2 -5 401.793 0.031 17 
2 -4 423.949 0.025 17 
2 -3 426.384 0.023 16 
2 -2 449.337 0.036 15 
2 -1 455.144 0.060 15 
2 0 478.084 0.161 14 
2 1 483.897 0.263 14 
2 2 510.361 0.276 14 
2 3 513.115 0.290 13 
2 4 542.192 0.304 13 
2 5 547.580 0.320 12 
2 6 571.754 0.336 12 
2 7 589.782 0.352 11 
2 8 600.283 0.370 11 
2 9 630.687 0.389 11 
2 10 637.475 0.408 10 
2 11 659.037 0.428 10 
2 12 688.684 0.450 10 
2 13 695.545 0.472 9 
2 14 718.777 0.496 9 
