l n nu dnu n_g
0 3 167.799 0.150 0 
0 4 198.676 0.143 0 
0 5 229.722 0.136 0 
0 6 261.146 0.130 0 
0 7 292.567 0.123 0 
0 8 324.543 0.059 0 
0 9 356.144 0.033 0 
0 10 386.618 0.036 0 
0 11 417.471 0.023 0 
0 12 449.122 0.022 0 
0 13 481.884 0.017 0 
0 14 515.028 0.016 0 
0 15 547.910 0.020 0 
0 16 580.460 0.032 0 
0 17 612.981 0.058 0 
0 18 645.378 0.161 0 
0 19 678.337 0.201 0 
0 20 711.503 0.212 0 
0 21 744.793 0.222 0 
0 22 777.548 0.233 0 
0 23 811.260 0.245 0 
0 24 844.709 0.257 0 
1 -14 159.139 0.252 17 
1 -5 166.847 0.240 8 
1 -12 171.656 0.228 15 
1 -9 178.729 0.217 13 
1 -10 185.767 0.207 14 
1 -9 198.167 0.197 13 
1 -8 206.104 0.188 12 
1 -7 214.400 0.179 12 
1 -6 232.444 0.170 11 
1 -5 237.421 0.162 10 
1 -4 255.119 0.154 10 
1 3 268.110 0.147 3 
1 -2 282.624 0.140 9 
1 3 299.272 0.133 4 
1 0 315.996 0.127 8 
1 5 330.991 0.121 3 
1 6 352.293 0.115 3 
1 3 365.184 0.108 6 
1 8 386.144 0.054 2 
1 5 404.119 0.040 6 
1 6 425.231 0.030 5 
1 9 443.870 0.024 3 
1 8 466.706 0.018 5 
1 9 492.570 0.018 4 
1 12 511.850 0.015 2 
1 13 535.158 0.019 2 
1 12 564.244 0.027 4 
1 13 592.572 0.055 3 
1 14 610.897 0.111 3 
1 15 632.405 0.235 3 
1 16 663.117 0.247 3 
1 17 694.964 0.259 3 
1 18 726.271 0.272 3 
1 19 757.744 0.286 2 
1 20 778.094 0.300 2 
1 21 797.973 0.315 2 
1 22 828.864 0.331 2 
2 -28 153.416 0.288 31 
2 -27 156.140 0.274 30 
2 -26 161.359 0.261 29 
2 -25 166.363 0.248 28 
2 -24 168.618 0.237 27 
2 -23 173.839 0.225 26 
2 -22 180.601 0.215 25 
2 -21 187.821 0.204 25 
2 -20 190.578 0.195 24 
2 -19 196.762 0.185 23 
2 -18 204.854 0.177 22 
2 -17 209.679 0.168 21 
2 -16 216.897 0.160 21 
2 -15 225.283 0.152 20 
2 -14 228.582 0.145 19 
2 -13 239.728 0.138 18 
2 -12 252.500 0.132 18 
2 -11 255.914 0.125 17 
2 -10 267.524 0.119 16 
2 -9 281.309 0.114 16 
2 -8 287.259 0.108 15 
2 -7 295.987 0.103 14 
2 -6 309.272 0.098 13 
2 -5 320.845 0.094 13 
2 -4 330.507 0.089 12 
2 -3 352.045 0.085 12 
2 -2 355.650 0.081 11 
2 -1 382.721 0.077 11 
2 0 385.193 0.073 10 
2 1 413.755 0.070 10 
2 2 420.492 0.067 9 
2 3 445.572 0.043 9 
2 4 463.198 0.035 8 
2 5 478.401 0.028 8 
2 6 511.509 0.028 8 
2 7 515.772 0.042 7 
2 8 544.728 0.072 7 
2 9 577.320 0.194 7 
2 10 579.908 0.315 6 
2 11 610.335 0.331 6 
2 12 643.139 0.348 6 
2 13 659.067 0.365 5 
2 14 676.227 0.383 5 
2 15 708.738 0.403 5 
2 16 741.964 0.423 5 
2 17 756.861 0.444 4 
2 18 775.443 0.466 4 
2 19 809.534 0.489 4 
2 20 841.697 0.514 4 
