l n nu dnu n_g
0 3 161.526 0.123 0 
0 4 191.271 0.117 0 
0 5 221.744 0.112 0 
0 6 251.972 0.106 0 
0 7 282.854 0.051 0 
0 8 313.243 0.029 0 
0 9 342.752 0.032 0 
0 10 371.925 0.021 0 
0 11 402.030 0.020 0 
0 12 433.386 0.015 0 
0 13 464.971 0.015 0 
0 14 496.333 0.018 0 
0 15 527.313 0.029 0 
0 16 558.249 0.053 0 
0 17 589.713 0.147 0 
0 18 621.455 0.185 0 
0 19 653.709 0.194 0 
0 20 685.223 0.203 0 
0 21 717.600 0.214 0 
0 22 749.239 0.224 0 
0 23 781.250 0.236 0 
0 24 812.291 0.247 0 
1 -19 139.387 0.267 22 
1 -18 145.681 0.255 21 
1 -17 153.091 0.242 20 
1 -16 161.367 0.231 19 
1 -5 164.776 0.220 8 
1 -14 170.517 0.209 18 
1 -3 177.506 0.200 7 
1 -10 185.113 0.190 14 
1 -11 194.818 0.181 15 
1 -10 199.961 0.172 14 
1 -9 209.725 0.164 14 
1 -8 224.830 0.156 13 
1 -7 229.339 0.149 12 
1 -6 243.273 0.142 12 
1 1 258.777 0.135 5 
1 -4 264.758 0.129 11 
1 1 287.351 0.122 6 
1 -2 292.319 0.117 9 
1 3 316.199 0.111 5 
1 0 323.261 0.106 8 
1 7 345.150 0.102 2 
1 2 358.415 0.050 8 
1 7 374.909 0.037 3 
1 8 393.558 0.028 3 
1 5 412.421 0.023 6 
1 8 429.964 0.016 4 
1 9 451.228 0.017 4 
1 8 474.841 0.014 5 
1 11 492.060 0.017 3 
1 12 514.587 0.024 3 
1 11 541.184 0.050 5 
1 12 562.795 0.102 4 
1 15 580.413 0.215 2 
1 16 607.210 0.226 2 
1 15 636.961 0.238 4 
1 16 666.481 0.249 3 
1 17 685.563 0.262 3 
1 18 705.210 0.275 3 
1 19 734.618 0.289 3 
1 20 765.271 0.303 3 
1 21 796.116 0.318 3 
2 -34 145.723 0.336 37 
2 -33 150.022 0.320 36 
2 -32 152.469 0.304 35 
2 -31 155.111 0.290 34 
2 -30 160.024 0.276 33 
2 -29 163.851 0.263 32 
2 -28 166.493 0.250 31 
2 -27 171.457 0.239 30 
2 -26 177.042 0.227 30 
2 -25 183.174 0.216 29 
2 -24 185.212 0.206 28 
2 -23 190.651 0.196 27 
2 -22 197.623 0.187 26 
2 -21 204.411 0.178 25 
2 -20 208.548 0.170 25 
2 -19 214.711 0.161 24 
2 -18 220.413 0.154 23 
2 -17 225.073 0.146 22 
2 -16 234.850 0.139 21 
2 -15 245.529 0.133 21 
2 -14 247.258 0.126 20 
2 -13 258.409 0.120 19 
2 -12 271.505 0.115 18 
2 -11 277.216 0.109 18 
2 -10 286.231 0.104 17 
2 -9 297.611 0.099 16 
2 -8 307.918 0.094 16 
2 -7 312.209 0.090 15 
2 -6 327.908 0.086 14 
2 -5 339.393 0.082 14 
2 -4 349.699 0.078 13 
2 -3 368.461 0.074 13 
2 -2 374.820 0.070 12 
2 -1 398.510 0.067 12 
2 0 403.790 0.064 11 
2 1 430.017 0.042 11 
2 2 437.481 0.033 10 
2 3 461.694 0.027 10 
2 4 477.500 0.026 9 
2 5 493.199 0.040 9 
2 6 524.033 0.069 9 
2 7 526.322 0.177 8 
2 8 555.530 0.302 8 
2 9 584.432 0.317 8 
2 10 586.797 0.333 7 
2 11 619.073 0.349 7 
2 12 650.200 0.367 7 
2 13 657.661 0.385 6 
2 14 682.057 0.404 6 
2 15 714.306 0.424 6 
2 16 742.421 0.446 5 
2 17 747.145 0.468 5 
2 18 777.525 0.491 5 
2 19 809.718 0.516 5 
