l n nu dnu n_g
0 3 180.085 0.160 0 
0 4 214.125 0.153 0 
0 5 246.658 0.145 0 
0 6 279.048 0.139 0 
0 7 312.688 0.132 0 
0 8 346.724 0.063 0 
0 9 381.254 0.035 0 
0 10 415.635 0.038 0 
0 11 449.573 0.025 0 
0 12 483.041 0.024 0 
0 13 516.796 0.018 0 
0 14 551.532 0.018 0 
0 15 587.138 0.021 0 
0 16 622.951 0.034 0 
0 17 658.733 0.062 0 
0 18 694.373 0.174 0 
0 19 729.902 0.217 0 
0 20 765.449 0.228 0 
0 21 800.364 0.239 0 
0 22 836.035 0.251 0 
0 23 871.826 0.264 0 
0 24 907.308 0.277 0 
0 25 943.131 0.291 0 
1 -7 172.025 0.231 10 
1 -8 183.858 0.220 11 
1 -7 188.173 0.209 11 
1 -6 202.547 0.199 10 
1 -5 220.324 0.190 9 
1 -4 224.989 0.181 9 
1 -3 249.973 0.172 8 
1 -2 254.363 0.164 7 
1 -1 282.815 0.156 7 
1 0 288.126 0.149 6 
1 5 318.194 0.142 2 
1 2 329.653 0.135 6 
1 5 352.495 0.128 3 
1 6 373.715 0.122 3 
1 5 393.430 0.117 4 
1 8 417.843 0.059 2 
1 9 437.884 0.043 2 
1 8 464.036 0.033 4 
1 9 490.052 0.027 3 
1 10 510.015 0.019 3 
1 11 536.621 0.020 3 
1 12 568.842 0.017 3 
1 13 601.218 0.021 2 
1 14 624.465 0.030 2 
1 15 645.435 0.060 2 
1 16 677.769 0.123 2 
1 17 711.994 0.264 2 
1 18 746.873 0.278 2 
1 19 781.619 0.292 2 
1 20 815.599 0.306 2 
1 21 848.586 0.321 1 
1 22 869.125 0.338 1 
1 23 891.478 0.354 1 
1 24 924.608 0.372 1 
2 -18 173.830 0.224 21 
2 -17 179.223 0.213 20 
2 -16 188.116 0.203 19 
2 -15 196.741 0.193 18 
2 -14 200.730 0.184 18 
2 -13 210.743 0.175 17 
2 -12 214.966 0.167 16 
2 -11 225.747 0.159 15 
2 -10 239.041 0.151 15 
2 -9 242.656 0.144 14 
2 -8 257.708 0.137 13 
2 -7 269.369 0.131 13 
2 -6 277.001 0.124 12 
2 -5 288.311 0.119 11 
2 -4 304.590 0.113 11 
2 -3 309.719 0.108 10 
2 -2 332.780 0.102 9 
2 -1 342.259 0.098 9 
2 0 367.174 0.093 8 
2 1 377.003 0.088 8 
2 2 408.321 0.084 8 
2 3 411.651 0.080 7 
2 4 445.629 0.076 7 
2 5 459.906 0.073 6 
2 6 479.504 0.047 6 
2 7 513.186 0.039 6 
2 8 526.927 0.031 5 
2 9 548.047 0.030 5 
2 10 583.617 0.047 5 
2 11 612.195 0.080 4 
2 12 619.644 0.209 4 
2 13 655.856 0.356 4 
2 14 691.433 0.374 4 
2 15 717.179 0.393 3 
2 16 727.676 0.412 3 
2 17 762.132 0.433 3 
2 18 797.928 0.454 3 
2 19 832.891 0.477 3 
2 20 867.872 0.501 3 
2 21 877.149 0.526 2 
2 22 905.199 0.552 2 
2 23 939.818 0.580 2 
