l n nu dnu n_g
0 3 179.741 0.160 0 
0 4 213.230 0.153 0 
0 5 246.120 0.145 0 
0 6 278.737 0.138 0 
0 7 312.115 0.132 0 
0 8 346.317 0.063 0 
0 9 380.774 0.035 0 
0 10 415.062 0.038 0 
0 11 448.981 0.025 0 
0 12 482.356 0.024 0 
0 13 516.077 0.018 0 
0 14 550.817 0.018 0 
0 15 586.331 0.021 0 
0 16 622.094 0.034 0 
0 17 657.934 0.062 0 
0 18 693.595 0.173 0 
0 19 728.994 0.217 0 
0 20 764.389 0.227 0 
0 21 799.711 0.239 0 
0 22 834.518 0.251 0 
0 23 870.221 0.263 0 
0 24 906.061 0.276 0 
0 25 941.343 0.290 0 
1 -9 172.688 0.231 12 
1 -8 184.455 0.220 11 
1 -7 188.469 0.209 11 
1 -6 203.397 0.199 10 
1 -3 220.066 0.190 8 
1 -4 225.910 0.181 9 
1 -3 250.863 0.172 8 
1 -2 254.305 0.164 7 
1 -1 283.311 0.156 7 
1 0 288.286 0.149 6 
1 5 317.748 0.142 2 
1 2 330.624 0.135 6 
1 5 352.522 0.129 3 
1 6 374.233 0.122 3 
1 5 393.586 0.117 4 
1 8 417.944 0.059 2 
1 9 438.086 0.043 2 
1 8 463.840 0.033 4 
1 9 490.209 0.027 3 
1 10 510.262 0.019 3 
1 11 536.213 0.020 3 
1 12 568.301 0.017 3 
1 13 600.903 0.021 2 
1 14 625.575 0.030 2 
1 15 645.164 0.060 2 
1 16 677.036 0.123 2 
1 17 710.924 0.264 2 
1 18 745.533 0.277 2 
1 19 780.790 0.291 2 
1 20 815.246 0.306 2 
1 21 847.686 0.321 1 
1 22 871.402 0.337 1 
1 23 890.970 0.354 1 
1 24 923.640 0.372 1 
2 -18 173.945 0.225 21 
2 -17 179.964 0.214 20 
2 -16 189.131 0.204 19 
2 -15 196.628 0.194 19 
2 -14 201.498 0.185 18 
2 -13 211.248 0.176 17 
2 -12 215.556 0.168 16 
2 -11 227.112 0.160 15 
2 -10 239.096 0.152 15 
2 -9 243.444 0.145 14 
2 -8 258.912 0.138 13 
2 -7 269.350 0.131 13 
2 -6 277.988 0.125 12 
2 -5 288.871 0.119 11 
2 -4 305.250 0.113 11 
2 -3 309.946 0.108 10 
2 -2 334.255 0.103 9 
2 -1 342.014 0.098 9 
2 0 368.809 0.093 8 
2 1 376.452 0.089 8 
2 2 410.014 0.085 8 
2 3 411.388 0.081 7 
2 4 444.931 0.077 7 
2 5 462.025 0.073 6 
2 6 478.762 0.047 6 
2 7 512.496 0.039 6 
2 8 529.285 0.031 5 
2 9 547.342 0.030 5 
2 10 582.766 0.047 5 
2 11 614.377 0.081 4 
2 12 619.227 0.209 4 
2 13 654.999 0.356 4 
2 14 690.558 0.373 4 
2 15 720.016 0.392 3 
2 16 725.951 0.412 3 
2 17 761.380 0.432 3 
2 18 796.385 0.454 3 
2 19 832.371 0.476 3 
2 20 866.446 0.500 3 
2 21 880.563 0.525 2 
2 22 903.182 0.552 2 
2 23 938.442 0.579 2 
