l n nu dnu n_g
0 3 174.236 0.155 0 
0 4 206.649 0.148 0 
0 5 238.160 0.141 0 
0 6 270.290 0.134 0 
0 7 302.733 0.128 0 
0 8 335.932 0.061 0 
0 9 369.175 0.034 0 
0 10 402.025 0.037 0 
0 11 433.906 0.024 0 
0 12 466.186 0.023 0 
0 13 499.561 0.018 0 
0 14 533.629 0.017 0 
0 15 568.202 0.021 0 
0 16 602.740 0.033 0 
0 17 636.981 0.060 0 
0 18 670.923 0.168 0 
0 19 704.941 0.209 0 
0 20 738.495 0.220 0 
0 21 773.017 0.231 0 
0 22 807.699 0.242 0 
0 23 842.088 0.254 0 
0 24 876.714 0.267 0 
1 -5 167.860 0.233 8 
1 -10 176.008 0.222 13 
1 -9 182.484 0.212 13 
1 -8 190.497 0.202 12 
1 -7 205.626 0.192 11 
1 -6 213.557 0.183 10 
1 -5 226.234 0.174 10 
1 0 244.685 0.166 5 
1 -3 250.715 0.158 9 
1 2 276.141 0.151 4 
1 -1 281.404 0.143 8 
1 4 308.467 0.137 3 
1 1 318.757 0.130 7 
1 6 341.328 0.124 2 
1 5 360.235 0.118 4 
1 4 377.824 0.112 5 
1 7 399.661 0.056 3 
1 6 419.141 0.042 5 
1 7 443.151 0.031 4 
1 10 463.434 0.025 2 
1 11 485.992 0.019 2 
1 10 514.639 0.019 4 
1 11 540.207 0.016 3 
1 12 559.247 0.020 3 
1 13 587.655 0.028 3 
1 14 619.907 0.058 3 
1 15 652.306 0.118 3 
1 16 681.445 0.253 2 
1 17 698.307 0.266 2 
1 18 724.113 0.279 2 
1 19 756.532 0.293 2 
1 20 789.987 0.308 2 
1 21 824.043 0.323 2 
1 22 857.086 0.339 2 
1 23 891.203 0.356 2 
2 -22 165.653 0.257 25 
2 -21 169.688 0.244 24 
2 -20 173.865 0.233 23 
2 -19 181.754 0.222 22 
2 -18 189.852 0.211 21 
2 -17 194.806 0.201 21 
2 -16 200.519 0.192 20 
2 -15 208.799 0.182 19 
2 -14 213.424 0.174 18 
2 -13 223.483 0.165 17 
2 -12 232.731 0.158 17 
2 -11 237.504 0.150 16 
2 -10 252.227 0.143 15 
2 -9 262.687 0.136 15 
2 -8 269.471 0.130 14 
2 -7 282.735 0.123 13 
2 -6 293.953 0.118 13 
2 -5 300.749 0.112 12 
2 -4 315.353 0.107 11 
2 -3 331.575 0.102 11 
2 -2 340.818 0.097 10 
2 -1 364.838 0.092 10 
2 0 372.105 0.088 9 
2 1 398.010 0.084 9 
2 2 410.135 0.080 8 
2 3 430.266 0.076 8 
2 4 456.194 0.072 7 
2 5 462.705 0.045 7 
2 6 495.970 0.038 7 
2 7 514.065 0.031 6 
2 8 530.254 0.029 6 
2 9 564.697 0.046 6 
2 10 587.171 0.077 5 
2 11 599.656 0.202 5 
2 12 633.610 0.344 5 
2 13 667.352 0.361 5 
2 14 677.704 0.380 4 
2 15 703.127 0.398 4 
2 16 736.035 0.418 4 
2 17 770.415 0.439 4 
2 18 794.884 0.461 3 
2 19 805.175 0.484 3 
2 20 838.975 0.509 3 
2 21 874.662 0.534 3 
