l n nu dnu n_g
0 3 171.771 0.153 0 
0 4 203.825 0.146 0 
0 5 235.025 0.139 0 
0 6 266.958 0.133 0 
0 7 298.973 0.126 0 
0 8 331.651 0.060 0 
0 9 364.317 0.034 0 
0 10 396.204 0.037 0 
0 11 427.581 0.024 0 
0 12 459.690 0.023 0 
0 13 492.762 0.017 0 
0 14 526.538 0.017 0 
0 15 560.639 0.020 0 
0 16 594.395 0.033 0 
0 17 627.918 0.059 0 
0 18 661.201 0.165 0 
0 19 694.588 0.206 0 
0 20 728.753 0.217 0 
0 21 762.666 0.228 0 
0 22 796.523 0.239 0 
0 23 830.698 0.251 0 
0 24 865.170 0.263 0 
1 -8 165.931 0.220 11 
1 -9 172.086 0.210 12 
1 -10 179.689 0.200 13 
1 -9 185.452 0.190 13 
1 -8 198.817 0.181 12 
1 -7 210.109 0.173 11 
1 -6 216.469 0.165 11 
1 -5 236.144 0.157 10 
1 -4 242.202 0.149 9 
1 -3 262.012 0.142 9 
1 2 273.977 0.135 4 
1 -1 292.896 0.129 8 
1 4 306.021 0.123 3 
1 3 329.276 0.117 5 
1 2 340.307 0.111 6 
1 7 364.352 0.108 2 
1 4 380.666 0.054 6 
1 7 401.430 0.040 3 
1 8 420.543 0.030 3 
1 7 442.699 0.024 5 
1 8 466.777 0.018 4 
1 11 486.083 0.018 2 
1 10 511.586 0.015 4 
1 11 541.141 0.019 4 
1 12 564.992 0.027 3 
1 13 584.099 0.054 3 
1 14 612.788 0.111 3 
1 15 644.661 0.239 3 
1 16 676.319 0.251 3 
1 17 706.550 0.264 2 
1 18 725.809 0.277 2 
1 19 747.753 0.291 2 
1 20 779.839 0.306 2 
1 21 813.480 0.321 2 
1 22 846.801 0.337 2 
2 -24 160.913 0.254 27 
2 -23 166.198 0.241 26 
2 -22 169.863 0.230 25 
2 -21 174.176 0.219 24 
2 -20 181.444 0.209 23 
2 -19 189.765 0.199 23 
2 -18 193.721 0.189 22 
2 -17 199.636 0.180 21 
2 -16 207.630 0.172 20 
2 -15 212.225 0.163 19 
2 -14 221.693 0.156 19 
2 -13 230.294 0.148 18 
2 -12 234.734 0.141 17 
2 -11 248.199 0.134 16 
2 -10 259.433 0.128 16 
2 -9 264.516 0.122 15 
2 -8 279.251 0.116 14 
2 -7 288.724 0.111 14 
2 -6 296.792 0.105 13 
2 -5 307.745 0.100 12 
2 -4 326.918 0.096 12 
2 -3 330.148 0.091 11 
2 -2 356.326 0.087 11 
2 -1 360.441 0.083 10 
2 0 389.317 0.079 10 
2 1 392.583 0.075 9 
2 2 423.838 0.071 9 
2 3 429.011 0.068 8 
2 4 456.138 0.044 8 
2 5 477.502 0.036 7 
2 6 489.321 0.029 7 
2 7 523.077 0.029 7 
2 8 537.941 0.043 6 
2 9 557.271 0.073 6 
2 10 591.006 0.199 6 
2 11 613.204 0.333 5 
2 12 624.805 0.350 5 
2 13 658.094 0.367 5 
2 14 691.344 0.386 5 
2 15 705.494 0.405 4 
2 16 725.738 0.425 4 
2 17 760.249 0.446 4 
2 18 793.468 0.469 4 
2 19 826.114 0.492 4 
2 20 830.830 0.517 3 
2 21 862.136 0.543 3 
