l n nu dnu n_g
0 3 147.844 0.115 0 
0 4 176.675 0.109 0 
0 5 205.601 0.104 0 
0 6 234.669 0.099 0 
0 7 262.178 0.047 0 
0 8 288.924 0.027 0 
0 9 316.340 0.029 0 
0 10 344.658 0.019 0 
0 11 372.786 0.019 0 
0 12 400.334 0.014 0 
0 13 428.493 0.014 0 
0 14 457.302 0.017 0 
0 15 486.350 0.027 0 
0 16 515.377 0.048 0 
0 17 544.170 0.136 0 
0 18 573.182 0.170 0 
0 19 602.643 0.179 0 
0 20 632.057 0.188 0 
0 21 661.134 0.197 0 
0 22 689.957 0.207 0 
0 23 719.374 0.217 0 
1 -10 129.983 0.411 13 
1 -21 133.465 0.391 24 
1 -30 136.854 0.373 33 
1 -29 141.188 0.355 32 
1 -28 145.788 0.338 31 
1 -27 150.916 0.322 30 
1 -6 154.182 0.307 9 
1 -25 157.025 0.292 29 
1 -24 162.358 0.278 28 
1 -23 168.285 0.265 27 
1 -8 174.054 0.252 12 
1 -3 178.438 0.240 7 
1 -20 183.123 0.229 24 
1 -19 189.340 0.218 24 
1 -2 194.692 0.208 7 
1 -7 201.365 0.198 12 
1 -16 209.148 0.188 21 
1 -15 215.862 0.179 20 
1 -14 221.092 0.171 20 
1 -13 231.429 0.163 19 
1 -4 241.938 0.155 10 
1 -11 245.605 0.148 18 
1 -10 257.963 0.140 17 
1 3 268.289 0.134 4 
1 -8 274.677 0.127 16 
1 3 290.064 0.121 5 
1 -2 295.971 0.116 10 
1 1 311.206 0.110 8 
1 4 320.375 0.105 5 
1 1 334.935 0.099 10 
1 6 345.582 0.049 4 
1 3 361.460 0.036 8 
1 8 372.134 0.026 3 
1 7 389.881 0.021 5 
1 4 401.739 0.015 8 
1 9 418.474 0.016 4 
1 4 437.023 0.013 9 
1 11 448.417 0.016 3 
1 8 472.335 0.022 7 
1 7 487.265 0.045 8 
1 12 503.715 0.091 4 
1 9 528.723 0.196 8 
1 10 544.930 0.206 7 
1 15 561.254 0.217 3 
1 12 587.635 0.227 7 
1 13 609.533 0.239 6 
1 16 623.202 0.251 4 
1 17 647.434 0.263 4 
1 16 674.922 0.276 6 
1 17 697.335 0.290 5 
1 18 711.435 0.305 5 
2 -59 128.953 0.745 61 
2 -58 131.976 0.709 60 
2 -56 134.128 0.675 58 
2 -55 136.544 0.643 58 
2 -54 137.950 0.613 57 
2 -53 143.254 0.584 56 
2 -52 143.507 0.556 55 
2 -51 145.045 0.529 54 
2 -50 147.743 0.504 53 
2 -49 150.852 0.480 52 
2 -48 153.089 0.457 51 
2 -47 156.033 0.435 50 
2 -46 159.152 0.415 49 
2 -45 161.330 0.395 48 
2 -44 165.203 0.376 47 
2 -43 167.325 0.358 47 
2 -42 170.447 0.341 46 
2 -41 173.174 0.325 45 
2 -40 174.872 0.309 44 
2 -39 178.838 0.295 43 
2 -38 183.031 0.281 42 
2 -37 187.194 0.267 41 
2 -36 192.214 0.255 40 
2 -35 197.254 0.242 40 
2 -34 200.339 0.231 39 
2 -33 201.940 0.220 38 
2 -32 207.733 0.209 37 
2 -31 212.741 0.199 36 
2 -30 217.635 0.190 35 
2 -29 221.674 0.181 34 
2 -28 227.177 0.172 34 
2 -27 231.283 0.164 33 
2 -26 234.342 0.156 32 
2 -25 241.293 0.149 31 
2 -24 248.923 0.142 30 
2 -23 257.367 0.135 30 
2 -22 258.816 0.129 29 
2 -21 266.537 0.122 28 
2 -20 275.995 0.117 27 
2 -19 284.982 0.111 27 
2 -18 286.409 0.106 26 
2 -17 296.574 0.101 25 
2 -16 307.742 0.096 24 
2 -15 312.624 0.091 24 
2 -14 319.606 0.087 23 
2 -13 329.843 0.083 22 
2 -12 340.408 0.079 22 
2 -11 343.109 0.075 21 
2 -10 356.271 0.072 20 
2 -9 369.855 0.068 20 
2 -8 372.866 0.065 19 
2 -7 390.871 0.062 18 
2 -6 397.765 0.039 18 
2 -5 411.366 0.031 17 
2 -4 425.802 0.025 17 
2 -3 434.327 0.024 16 
2 -2 454.506 0.037 16 
2 -1 460.205 0.060 15 
2 0 483.869 0.163 15 
2 1 489.637 0.266 14 
2 2 513.251 0.279 14 
2 3 523.019 0.293 13 
2 4 541.224 0.308 13 
2 5 560.629 0.323 12 
2 6 570.104 0.339 12 
2 7 599.971 0.356 12 
2 8 603.580 0.374 11 
2 9 628.932 0.393 11 
2 10 653.025 0.412 10 
2 11 658.331 0.433 10 
2 12 687.659 0.455 10 
2 13 712.346 0.477 9 
2 14 717.681 0.501 9 
