l n nu dnu n_g
0 2 124.961 0.125 0 
0 3 154.498 0.119 0 
0 4 184.606 0.113 0 
0 5 213.750 0.108 0 
0 6 243.701 0.103 0 
0 7 273.180 0.049 0 
0 8 301.846 0.028 0 
0 9 329.510 0.030 0 
0 10 358.209 0.020 0 
0 11 387.975 0.019 0 
0 12 418.162 0.015 0 
0 13 447.866 0.014 0 
0 14 477.307 0.017 0 
0 15 506.943 0.028 0 
0 16 537.363 0.051 0 
0 17 568.132 0.142 0 
0 18 598.642 0.178 0 
0 19 629.392 0.187 0 
0 20 660.126 0.196 0 
0 21 690.411 0.206 0 
0 22 720.963 0.216 0 
0 23 751.797 0.227 0 
1 -23 135.164 0.315 26 
1 -22 139.950 0.300 25 
1 -21 145.329 0.286 24 
1 -20 152.403 0.272 23 
1 -9 159.126 0.259 12 
1 -18 160.742 0.247 21 
1 -17 167.430 0.235 21 
1 -12 175.283 0.224 16 
1 -3 181.149 0.213 7 
1 -14 187.617 0.203 18 
1 -13 194.000 0.193 18 
1 -12 199.787 0.184 17 
1 -11 210.987 0.175 16 
1 -10 221.147 0.167 15 
1 -9 225.626 0.159 15 
1 -8 240.646 0.152 14 
1 1 250.947 0.144 5 
1 -6 258.893 0.137 13 
1 -1 277.484 0.131 8 
1 -4 281.896 0.125 11 
1 -1 302.016 0.119 9 
1 -2 308.889 0.113 10 
1 5 328.974 0.108 4 
1 0 337.363 0.100 9 
1 7 357.137 0.050 3 
1 2 370.515 0.037 9 
1 9 386.687 0.027 2 
1 8 405.873 0.022 4 
1 5 422.610 0.016 7 
1 10 439.108 0.016 3 
1 7 461.900 0.014 7 
1 8 479.982 0.017 6 
1 13 496.809 0.024 3 
1 10 522.082 0.049 6 
1 11 544.717 0.099 5 
1 14 560.476 0.208 3 
1 15 585.475 0.218 3 
1 14 613.279 0.229 5 
1 15 637.536 0.241 4 
1 16 652.560 0.253 4 
1 19 677.118 0.266 2 
1 20 706.168 0.279 3 
1 19 735.462 0.293 4 
1 20 763.772 0.307 3 
2 -44 132.852 0.429 46 
2 -43 134.065 0.408 45 
2 -42 136.991 0.389 44 
2 -40 142.675 0.370 43 
2 -39 146.887 0.353 42 
2 -38 148.085 0.336 41 
2 -37 150.729 0.320 40 
2 -36 155.430 0.305 39 
2 -35 158.489 0.290 38 
2 -34 162.794 0.276 37 
2 -33 165.320 0.263 36 
2 -32 168.693 0.251 35 
2 -31 173.507 0.239 35 
2 -30 178.538 0.227 34 
2 -29 180.412 0.216 33 
2 -28 184.419 0.206 32 
2 -27 190.726 0.196 31 
2 -26 196.870 0.187 30 
2 -25 202.841 0.178 30 
2 -24 205.621 0.170 29 
2 -23 210.916 0.162 28 
2 -22 216.050 0.154 27 
2 -21 220.760 0.146 26 
2 -20 228.685 0.140 25 
2 -19 237.393 0.133 25 
2 -18 239.945 0.127 24 
2 -17 247.796 0.121 23 
2 -16 258.029 0.115 22 
2 -15 268.063 0.109 22 
2 -14 270.216 0.104 21 
2 -13 282.362 0.099 20 
2 -12 294.370 0.094 20 
2 -11 298.131 0.090 19 
2 -10 307.689 0.086 18 
2 -9 318.423 0.082 17 
2 -8 326.529 0.078 17 
2 -7 335.018 0.074 16 
2 -6 353.537 0.070 16 
2 -5 355.445 0.067 15 
2 -4 376.466 0.064 14 
2 -3 384.712 0.061 14 
2 -2 402.026 0.039 13 
2 -1 414.968 0.032 13 
2 0 431.066 0.026 12 
2 1 444.866 0.024 12 
2 2 464.562 0.037 11 
2 3 474.431 0.062 11 
2 4 502.922 0.169 11 
2 5 504.706 0.274 10 
2 6 534.792 0.288 10 
2 7 549.145 0.302 9 
2 8 565.247 0.317 9 
2 9 595.955 0.333 9 
2 10 604.099 0.350 8 
2 11 626.930 0.367 8 
2 12 657.468 0.386 8 
2 13 670.607 0.405 7 
2 14 688.324 0.425 7 
2 15 718.940 0.446 7 
2 16 747.339 0.469 7 
2 17 751.865 0.492 6 
