l n nu dnu n_g
0 3 147.911 0.136 0 
0 4 178.073 0.130 0 
0 5 208.098 0.123 0 
0 6 237.276 0.118 0 
0 7 265.294 0.112 0 
0 8 292.675 0.053 0 
0 9 320.726 0.030 0 
0 10 349.196 0.032 0 
0 11 377.107 0.021 0 
0 12 405.063 0.020 0 
0 13 433.719 0.015 0 
0 14 462.763 0.015 0 
0 15 491.674 0.018 0 
0 16 520.666 0.028 0 
0 17 549.889 0.052 0 
0 18 578.975 0.145 0 
0 19 608.260 0.181 0 
0 20 638.012 0.190 0 
0 21 667.383 0.199 0 
0 22 696.747 0.209 0 
0 23 726.601 0.220 0 
1 -34 144.981 0.460 37 
1 -33 149.299 0.438 36 
1 -20 153.389 0.418 23 
1 -9 156.121 0.398 12 
1 -30 158.601 0.379 34 
1 -29 163.777 0.361 33 
1 -28 167.767 0.344 32 
1 -11 173.294 0.327 15 
1 -2 178.250 0.312 6 
1 -3 181.111 0.297 7 
1 -24 186.586 0.283 28 
1 -17 192.457 0.269 22 
1 -2 196.754 0.256 7 
1 -5 202.669 0.244 10 
1 -16 209.224 0.233 21 
1 -19 216.836 0.221 24 
1 -8 221.318 0.211 14 
1 -11 228.153 0.201 17 
1 -12 237.904 0.191 18 
1 -7 245.797 0.182 13 
1 -14 250.645 0.174 21 
1 -7 260.992 0.165 14 
1 2 270.492 0.157 5 
1 -11 276.681 0.150 19 
1 0 288.722 0.143 8 
1 3 296.960 0.136 5 
1 -8 307.438 0.129 17 
1 5 318.355 0.123 4 
1 -6 328.580 0.117 15 
1 5 341.841 0.112 5 
1 2 351.517 0.104 8 
1 7 366.863 0.052 4 
1 4 376.573 0.037 8 
1 9 393.639 0.028 4 
1 0 404.473 0.022 12 
1 9 421.769 0.016 4 
1 2 436.205 0.016 11 
1 11 450.914 0.014 3 
1 4 472.198 0.017 10 
1 11 481.335 0.023 4 
1 10 506.394 0.047 6 
1 7 520.542 0.094 9 
1 14 537.114 0.199 3 
1 9 563.170 0.209 9 
1 10 577.237 0.220 8 
1 15 595.185 0.231 4 
1 12 622.429 0.242 8 
1 13 642.142 0.254 7 
1 14 656.124 0.267 7 
1 15 682.426 0.281 7 
1 16 708.806 0.295 6 
1 17 726.539 0.309 6 
1 20 743.691 0.325 5 
2 -63 141.061 0.887 66 
2 -62 143.520 0.845 65 
2 -61 145.442 0.805 64 
2 -61 146.035 0.766 64 
2 -60 147.336 0.730 63 
2 -59 148.745 0.695 62 
2 -58 151.504 0.662 61 
2 -57 153.086 0.630 60 
2 -56 156.738 0.600 59 
2 -55 160.149 0.572 58 
2 -54 163.199 0.545 57 
2 -53 164.890 0.519 56 
2 -52 167.317 0.494 55 
2 -51 168.880 0.470 55 
2 -50 171.831 0.448 54 
2 -49 174.301 0.427 53 
2 -48 175.452 0.406 52 
2 -47 179.962 0.387 51 
2 -46 182.487 0.369 50 
2 -45 186.939 0.351 49 
2 -44 190.369 0.334 48 
2 -43 194.471 0.318 47 
2 -42 198.228 0.303 46 
2 -41 202.565 0.289 46 
2 -40 203.330 0.275 45 
2 -39 207.622 0.262 44 
2 -38 211.793 0.249 43 
2 -37 217.090 0.238 42 
2 -36 221.702 0.226 41 
2 -35 225.627 0.215 40 
2 -34 229.725 0.205 40 
2 -33 234.172 0.195 39 
2 -32 236.237 0.186 38 
2 -31 241.177 0.177 37 
2 -30 248.171 0.169 36 
2 -29 254.658 0.161 35 
2 -28 262.267 0.153 35 
2 -27 262.349 0.146 34 
2 -26 270.207 0.139 33 
2 -25 278.307 0.132 32 
2 -24 286.846 0.126 32 
2 -23 289.759 0.120 31 
2 -22 295.938 0.114 30 
2 -21 305.804 0.109 29 
2 -20 315.859 0.104 29 
2 -19 317.755 0.099 28 
2 -18 327.075 0.094 27 
2 -17 337.984 0.090 26 
2 -16 345.564 0.085 26 
2 -15 349.392 0.081 25 
2 -14 359.582 0.077 24 
2 -13 372.124 0.074 24 
2 -12 374.949 0.070 23 
2 -11 387.589 0.067 22 
2 -10 402.281 0.064 22 
2 -9 404.354 0.039 21 
2 -8 422.427 0.032 20 
2 -7 431.104 0.026 20 
2 -6 442.697 0.024 19 
2 -5 460.097 0.037 19 
2 -4 464.994 0.061 18 
2 -3 489.000 0.165 18 
2 -2 490.105 0.266 17 
2 -1 516.591 0.279 17 
2 0 518.016 0.293 16 
2 1 546.704 0.308 16 
2 2 547.300 0.323 15 
2 3 576.510 0.340 15 
2 4 581.932 0.357 14 
2 5 606.460 0.374 14 
2 6 620.442 0.393 13 
2 7 635.574 0.413 13 
2 8 664.226 0.433 13 
2 9 665.244 0.455 12 
2 10 694.542 0.478 12 
2 11 716.110 0.502 11 
2 12 723.476 0.527 11 
