l n nu dnu n_g
0 3 169.745 0.152 0 
0 4 200.881 0.144 0 
0 5 231.880 0.137 0 
0 6 263.432 0.131 0 
0 7 295.509 0.125 0 
0 8 327.688 0.059 0 
0 9 359.765 0.033 0 
0 10 390.894 0.036 0 
0 11 421.880 0.024 0 
0 12 453.815 0.023 0 
0 13 486.617 0.017 0 
0 14 520.126 0.017 0 
0 15 553.582 0.020 0 
0 16 586.683 0.032 0 
0 17 619.551 0.058 0 
0 18 652.558 0.163 0 
0 19 685.780 0.204 0 
0 20 718.832 0.214 0 
0 21 752.159 0.224 0 
0 22 786.458 0.236 0 
0 23 820.190 0.247 0 
0 24 853.906 0.260 0 
1 -13 163.352 0.235 16 
1 -4 169.419 0.224 7 
1 -11 176.343 0.214 14 
1 -8 181.843 0.203 12 
1 -9 191.986 0.194 13 
1 -8 205.923 0.184 12 
1 -7 208.861 0.176 11 
1 -6 225.021 0.167 11 
1 1 239.038 0.159 4 
1 -4 247.304 0.152 10 
1 1 269.750 0.145 5 
1 -2 274.289 0.138 9 
1 3 300.615 0.131 4 
1 0 307.482 0.125 8 
1 5 332.063 0.119 3 
1 2 345.919 0.113 7 
1 5 364.742 0.108 4 
1 6 384.445 0.054 4 
1 5 402.709 0.040 5 
1 8 423.118 0.030 3 
1 9 442.588 0.024 3 
1 8 467.438 0.018 5 
1 9 489.966 0.018 4 
1 12 509.938 0.015 2 
1 11 537.879 0.019 4 
1 12 567.212 0.027 3 
1 13 588.849 0.055 3 
1 14 608.246 0.110 3 
1 15 637.725 0.237 3 
1 16 668.601 0.249 3 
1 17 700.639 0.261 3 
1 18 731.842 0.274 2 
1 19 752.790 0.288 2 
1 20 772.393 0.302 2 
1 21 803.810 0.317 2 
1 22 836.848 0.333 2 
2 -26 156.188 0.278 29 
2 -25 161.359 0.264 28 
2 -24 167.002 0.252 27 
2 -23 169.172 0.240 26 
2 -22 174.315 0.228 25 
2 -20 188.944 0.217 24 
2 -19 191.973 0.207 23 
2 -18 198.829 0.197 22 
2 -17 206.445 0.188 21 
2 -16 211.122 0.179 20 
2 -15 219.868 0.170 20 
2 -14 227.492 0.162 19 
2 -13 231.876 0.155 18 
2 -12 244.294 0.147 17 
2 -11 256.646 0.140 17 
2 -10 259.650 0.133 16 
2 -9 274.465 0.127 15 
2 -8 285.034 0.121 15 
2 -7 292.549 0.115 14 
2 -6 301.234 0.110 13 
2 -5 319.247 0.105 13 
2 -4 324.064 0.100 12 
2 -3 343.617 0.095 11 
2 -2 355.653 0.090 11 
2 -1 371.803 0.086 10 
2 0 387.075 0.082 10 
2 1 406.128 0.078 9 
2 2 418.262 0.074 9 
2 3 447.433 0.071 9 
2 4 450.400 0.044 8 
2 5 483.122 0.037 8 
2 6 498.246 0.030 7 
2 7 516.774 0.028 7 
2 8 550.252 0.044 7 
2 9 561.182 0.074 6 
2 10 583.947 0.197 6 
2 11 615.811 0.335 6 
2 12 638.853 0.352 5 
2 13 649.854 0.369 5 
2 14 682.214 0.388 5 
2 15 715.637 0.407 5 
2 16 733.120 0.427 4 
2 17 750.046 0.449 4 
2 18 783.027 0.471 4 
2 19 816.559 0.495 4 
2 20 850.068 0.519 4 
