l n nu dnu n_g
0 3 173.507 0.155 0 
0 4 205.852 0.147 0 
0 5 237.275 0.140 0 
0 6 269.229 0.134 0 
0 7 301.847 0.127 0 
0 8 334.748 0.060 0 
0 9 367.756 0.034 0 
0 10 400.318 0.037 0 
0 11 432.028 0.024 0 
0 12 464.253 0.023 0 
0 13 497.524 0.018 0 
0 14 531.524 0.017 0 
0 15 565.928 0.020 0 
0 16 600.291 0.033 0 
0 17 634.286 0.060 0 
0 18 667.997 0.167 0 
0 19 701.829 0.208 0 
0 20 735.924 0.219 0 
0 21 770.119 0.230 0 
0 22 804.251 0.241 0 
0 23 838.839 0.253 0 
0 24 873.190 0.266 0 
1 -12 162.063 0.246 15 
1 -5 169.538 0.235 8 
1 -10 177.825 0.223 13 
1 -9 182.887 0.213 13 
1 -8 192.593 0.203 12 
1 -7 208.592 0.193 11 
1 -6 213.024 0.184 10 
1 -5 229.112 0.175 10 
1 0 243.984 0.167 5 
1 -3 254.125 0.159 9 
1 2 276.101 0.151 4 
1 -1 284.377 0.144 8 
1 4 307.989 0.137 3 
1 1 322.019 0.131 7 
1 6 340.865 0.124 2 
1 5 362.416 0.119 4 
1 4 378.528 0.112 5 
1 7 400.327 0.056 3 
1 8 419.421 0.042 3 
1 7 443.101 0.031 4 
1 10 464.553 0.026 2 
1 11 485.600 0.019 2 
1 10 513.792 0.019 4 
1 11 541.333 0.016 3 
1 12 560.183 0.020 3 
1 13 586.159 0.028 3 
1 14 617.814 0.058 3 
1 15 650.028 0.118 3 
1 16 680.565 0.253 2 
1 17 701.644 0.266 2 
1 18 722.436 0.279 2 
1 19 753.764 0.293 2 
1 20 786.493 0.307 2 
1 21 820.854 0.323 2 
1 22 854.417 0.339 2 
1 23 888.278 0.356 2 
2 -22 167.995 0.259 25 
2 -21 171.174 0.247 24 
2 -20 176.107 0.235 23 
2 -19 184.072 0.224 22 
2 -18 192.283 0.213 22 
2 -17 195.337 0.203 21 
2 -16 203.016 0.193 20 
2 -15 209.822 0.184 19 
2 -14 215.249 0.175 18 
2 -13 226.387 0.167 18 
2 -12 232.452 0.159 17 
2 -11 240.397 0.151 16 
2 -10 255.453 0.144 15 
2 -9 262.432 0.137 15 
2 -8 272.471 0.131 14 
2 -7 284.689 0.125 13 
2 -6 295.484 0.119 13 
2 -5 301.314 0.113 12 
2 -4 319.340 0.108 11 
2 -3 330.332 0.102 11 
2 -2 345.396 0.098 10 
2 -1 363.551 0.093 10 
2 0 377.142 0.089 9 
2 1 396.360 0.084 9 
2 2 415.484 0.080 8 
2 3 428.328 0.076 8 
2 4 460.533 0.073 8 
2 5 462.714 0.045 7 
2 6 493.979 0.038 7 
2 7 521.022 0.031 6 
2 8 528.164 0.029 6 
2 9 562.644 0.045 6 
2 10 594.377 0.078 6 
2 11 597.518 0.201 5 
2 12 631.594 0.343 5 
2 13 664.929 0.360 5 
2 14 685.871 0.378 4 
2 15 700.029 0.397 4 
2 16 733.048 0.417 4 
2 17 766.169 0.437 4 
2 18 799.996 0.459 4 
2 19 805.495 0.482 3 
2 20 835.571 0.506 3 
2 21 869.615 0.532 3 
