l n nu dnu n_g
0 3 147.349 0.115 0 
0 4 177.059 0.110 0 
0 5 206.492 0.104 0 
0 6 235.928 0.099 0 
0 7 263.408 0.048 0 
0 8 290.286 0.027 0 
0 9 318.261 0.029 0 
0 10 346.535 0.019 0 
0 11 374.239 0.019 0 
0 12 401.998 0.014 0 
0 13 430.490 0.014 0 
0 14 459.355 0.017 0 
0 15 488.323 0.027 0 
0 16 517.156 0.049 0 
0 17 546.061 0.136 0 
0 18 574.948 0.171 0 
0 19 604.673 0.179 0 
0 20 633.868 0.188 0 
0 21 662.881 0.198 0 
0 22 692.033 0.208 0 
0 23 721.254 0.218 0 
1 -34 138.075 0.443 37 
1 -33 140.740 0.422 36 
1 -32 145.591 0.402 35 
1 -31 149.701 0.383 34 
1 -14 153.098 0.365 17 
1 -21 155.812 0.347 24 
1 -28 159.151 0.331 32 
1 -27 163.687 0.315 31 
1 -26 169.476 0.300 30 
1 -7 174.070 0.286 11 
1 -2 179.073 0.272 6 
1 -19 183.192 0.259 23 
1 -22 188.752 0.247 27 
1 -1 194.278 0.235 6 
1 -2 199.087 0.224 7 
1 -9 205.986 0.213 14 
1 -18 214.412 0.203 23 
1 -11 218.592 0.193 17 
1 -12 225.005 0.184 18 
1 -15 234.846 0.175 21 
1 -6 243.517 0.167 12 
1 -13 248.233 0.159 20 
1 -10 259.226 0.152 17 
1 1 269.141 0.144 6 
1 -10 274.913 0.137 18 
1 -1 288.038 0.131 9 
1 2 295.772 0.125 6 
1 -7 306.988 0.119 16 
1 6 318.471 0.113 3 
1 -5 329.052 0.108 14 
1 6 341.913 0.101 4 
1 -3 353.555 0.050 13 
1 8 366.767 0.036 3 
1 -1 380.435 0.027 12 
1 8 393.168 0.022 4 
1 1 410.348 0.016 11 
1 10 421.141 0.016 3 
1 3 443.354 0.013 11 
1 10 452.121 0.016 4 
1 11 474.999 0.023 4 
1 6 491.263 0.046 9 
1 13 505.122 0.091 3 
1 8 530.950 0.197 9 
1 9 545.064 0.207 8 
1 14 562.358 0.217 4 
1 11 588.848 0.228 8 
1 12 607.883 0.240 7 
1 17 622.362 0.252 3 
1 14 647.998 0.264 7 
1 15 673.610 0.277 6 
1 16 688.780 0.291 6 
1 19 709.075 0.306 4 
1 18 735.720 0.321 6 
2 -60 139.318 0.722 63 
2 -59 142.885 0.688 62 
2 -58 144.537 0.655 61 
2 -57 145.245 0.624 60 
2 -56 147.993 0.594 59 
2 -55 150.405 0.566 58 
2 -54 153.544 0.539 57 
2 -53 156.547 0.513 56 
2 -51 162.008 0.489 54 
2 -50 163.901 0.466 53 
2 -49 166.575 0.444 53 
2 -48 169.211 0.422 52 
2 -47 172.566 0.402 51 
2 -46 173.891 0.383 50 
2 -45 176.453 0.365 49 
2 -44 179.649 0.348 48 
2 -43 183.653 0.331 47 
2 -42 186.450 0.315 46 
2 -41 191.647 0.300 45 
2 -40 195.967 0.286 44 
2 -39 199.900 0.272 44 
2 -38 202.163 0.259 43 
2 -37 204.954 0.247 42 
2 -36 210.088 0.235 41 
2 -35 215.206 0.224 40 
2 -34 220.184 0.213 39 
2 -33 223.539 0.203 38 
2 -32 227.723 0.194 38 
2 -31 232.420 0.184 37 
2 -30 234.454 0.176 36 
2 -29 240.757 0.167 35 
2 -28 247.516 0.159 34 
2 -27 254.841 0.152 33 
2 -26 260.030 0.144 33 
2 -25 262.488 0.138 32 
2 -24 270.491 0.131 31 
2 -23 279.362 0.125 30 
2 -22 286.925 0.119 30 
2 -21 288.818 0.113 29 
2 -20 298.494 0.108 28 
2 -19 309.201 0.103 27 
2 -18 315.010 0.098 27 
2 -17 320.078 0.093 26 
2 -16 331.251 0.089 25 
2 -15 340.863 0.084 25 
2 -14 344.258 0.080 24 
2 -13 353.170 0.077 23 
2 -12 365.976 0.073 22 
2 -11 371.750 0.069 22 
2 -10 381.416 0.066 21 
2 -9 398.178 0.063 21 
2 -8 399.797 0.039 20 
2 -7 417.556 0.032 19 
2 -6 427.837 0.025 19 
2 -5 438.568 0.024 18 
2 -4 456.706 0.037 18 
2 -3 461.606 0.061 17 
2 -2 485.517 0.164 17 
2 -1 487.512 0.265 16 
2 0 514.217 0.278 16 
2 1 516.741 0.292 15 
2 2 543.009 0.307 15 
2 3 548.295 0.322 14 
2 4 572.726 0.338 14 
2 5 585.817 0.355 13 
2 6 601.982 0.373 13 
2 7 628.199 0.391 13 
2 8 631.578 0.411 12 
2 9 660.717 0.431 12 
2 10 676.839 0.453 11 
2 11 690.253 0.476 11 
2 12 717.281 0.499 11 
