l n nu dnu n_g
0 3 170.484 0.152 0 
0 4 201.594 0.145 0 
0 5 232.944 0.138 0 
0 6 264.680 0.131 0 
0 7 296.492 0.125 0 
0 8 328.932 0.059 0 
0 9 361.335 0.033 0 
0 10 392.688 0.036 0 
0 11 423.785 0.024 0 
0 12 455.763 0.023 0 
0 13 488.628 0.017 0 
0 14 522.260 0.017 0 
0 15 555.940 0.020 0 
0 16 589.282 0.032 0 
0 17 622.434 0.059 0 
0 18 655.524 0.164 0 
0 19 688.797 0.205 0 
0 20 722.251 0.215 0 
0 21 755.944 0.225 0 
0 22 789.349 0.237 0 
0 23 823.138 0.249 0 
0 24 857.226 0.261 0 
1 -13 161.132 0.234 16 
1 -4 168.416 0.222 7 
1 -11 175.186 0.212 14 
1 -8 180.793 0.202 12 
1 -9 189.895 0.192 13 
1 -8 203.802 0.183 12 
1 -7 209.098 0.174 11 
1 -6 221.696 0.166 11 
1 -1 239.551 0.158 6 
1 -4 243.957 0.151 10 
1 -3 268.322 0.143 9 
1 -2 272.858 0.137 8 
1 -1 299.267 0.130 8 
1 0 305.654 0.124 7 
1 5 332.257 0.118 3 
1 2 343.169 0.112 7 
1 7 364.938 0.108 2 
1 6 383.355 0.054 4 
1 5 402.155 0.040 5 
1 8 422.182 0.030 3 
1 9 442.486 0.024 3 
1 8 467.538 0.018 4 
1 11 488.458 0.018 2 
1 12 510.144 0.015 2 
1 11 539.150 0.019 4 
1 12 567.537 0.027 3 
1 13 586.306 0.055 3 
1 14 609.219 0.110 3 
1 15 639.973 0.238 3 
1 16 671.427 0.250 3 
1 17 703.568 0.262 3 
1 18 731.983 0.275 2 
1 19 748.647 0.289 2 
1 20 773.734 0.303 2 
1 21 807.034 0.318 2 
1 22 839.528 0.334 2 
2 -25 159.505 0.274 28 
2 -24 164.630 0.261 27 
2 -23 168.588 0.248 26 
2 -22 172.906 0.236 25 
2 -21 179.418 0.225 24 
2 -20 186.847 0.214 24 
2 -19 192.221 0.204 23 
2 -18 196.319 0.194 22 
2 -17 204.279 0.185 21 
2 -16 210.222 0.176 20 
2 -15 217.013 0.168 19 
2 -14 227.304 0.160 19 
2 -13 229.973 0.152 18 
2 -12 240.726 0.145 17 
2 -11 255.070 0.138 17 
2 -10 258.831 0.132 16 
2 -9 270.694 0.125 15 
2 -8 283.655 0.119 14 
2 -7 291.623 0.114 14 
2 -6 298.960 0.108 13 
2 -5 315.102 0.103 12 
2 -4 325.160 0.098 12 
2 -3 338.769 0.094 11 
2 -2 357.407 0.089 11 
2 -1 366.769 0.085 10 
2 0 388.898 0.081 10 
2 1 400.425 0.077 9 
2 2 420.163 0.073 9 
2 3 441.308 0.070 8 
2 4 452.348 0.044 8 
2 5 485.073 0.037 8 
2 6 491.193 0.029 7 
2 7 518.852 0.028 7 
2 8 551.927 0.045 7 
2 9 553.983 0.073 6 
2 10 585.796 0.197 6 
2 11 619.735 0.336 6 
2 12 629.857 0.353 5 
2 13 652.378 0.371 5 
2 14 685.985 0.389 5 
2 15 718.563 0.409 5 
2 16 724.967 0.429 4 
2 17 752.980 0.451 4 
2 18 787.161 0.473 4 
2 19 820.886 0.497 4 
2 20 852.115 0.522 4 
2 21 855.579 0.548 3 
