l n nu dnu n_g
0 3 170.950 0.153 0 
0 4 202.273 0.145 0 
0 5 233.747 0.138 0 
0 6 265.303 0.132 0 
0 7 297.356 0.126 0 
0 8 329.928 0.060 0 
0 9 362.268 0.033 0 
0 10 393.920 0.036 0 
0 11 425.043 0.024 0 
0 12 457.094 0.023 0 
0 13 490.037 0.017 0 
0 14 523.676 0.017 0 
0 15 557.555 0.020 0 
0 16 590.988 0.032 0 
0 17 624.280 0.059 0 
0 18 657.325 0.164 0 
0 19 690.409 0.205 0 
0 20 724.533 0.215 0 
0 21 757.594 0.226 0 
0 22 791.599 0.237 0 
0 23 825.968 0.249 0 
0 24 859.861 0.262 0 
1 -13 159.949 0.233 16 
1 -4 167.541 0.221 7 
1 -11 173.980 0.211 14 
1 -10 180.014 0.201 14 
1 -9 188.034 0.191 13 
1 -8 202.110 0.182 12 
1 -7 209.604 0.174 11 
1 -6 220.164 0.165 11 
1 -5 239.181 0.157 10 
1 -4 242.361 0.150 9 
1 -3 266.239 0.143 9 
1 0 272.992 0.136 6 
1 -1 297.305 0.129 8 
1 0 305.445 0.123 7 
1 5 331.890 0.117 3 
1 2 341.740 0.112 6 
1 7 364.835 0.108 2 
1 6 382.297 0.054 4 
1 5 401.925 0.040 5 
1 8 421.562 0.030 3 
1 7 442.475 0.024 5 
1 8 467.408 0.018 4 
1 11 487.488 0.018 2 
1 12 510.512 0.015 2 
1 11 539.865 0.019 4 
1 12 567.180 0.027 3 
1 13 585.063 0.055 3 
1 14 610.573 0.111 3 
1 15 641.204 0.238 3 
1 16 672.915 0.250 3 
1 17 705.328 0.263 3 
1 18 730.858 0.276 2 
1 19 746.701 0.290 2 
1 20 776.614 0.304 2 
1 21 808.287 0.319 2 
1 22 842.151 0.335 2 
2 -25 158.102 0.271 28 
2 -24 163.611 0.258 27 
2 -23 168.460 0.246 26 
2 -22 170.898 0.234 25 
2 -21 177.414 0.223 24 
2 -20 185.209 0.212 23 
2 -19 191.984 0.202 23 
2 -18 194.860 0.193 22 
2 -17 202.611 0.184 21 
2 -16 209.291 0.175 20 
2 -15 215.075 0.166 19 
2 -14 225.564 0.159 19 
2 -13 229.696 0.151 18 
2 -12 238.609 0.144 17 
2 -11 252.797 0.137 17 
2 -10 258.919 0.130 16 
2 -9 268.716 0.124 15 
2 -8 282.230 0.118 14 
2 -7 290.941 0.113 14 
2 -6 297.704 0.107 13 
2 -5 312.514 0.102 12 
2 -4 325.801 0.097 12 
2 -3 335.763 0.093 11 
2 -2 358.027 0.088 11 
2 -1 363.459 0.084 10 
2 0 390.073 0.080 10 
2 1 396.727 0.076 9 
2 2 421.382 0.073 9 
2 3 437.133 0.069 8 
2 4 453.437 0.044 8 
2 5 485.702 0.037 8 
2 6 487.345 0.029 7 
2 7 520.257 0.028 7 
2 8 547.907 0.044 6 
2 9 554.284 0.073 6 
2 10 587.657 0.198 6 
2 11 620.491 0.337 6 
2 12 625.093 0.354 5 
2 13 654.465 0.372 5 
2 14 687.730 0.390 5 
2 15 717.312 0.410 4 
2 16 721.365 0.430 4 
2 17 754.952 0.452 4 
2 18 789.054 0.474 4 
2 19 822.862 0.498 4 
2 20 844.007 0.523 3 
2 21 856.567 0.549 3 
