l n nu dnu n_g
0 3 170.790 0.152 0 
0 4 202.045 0.145 0 
0 5 233.302 0.138 0 
0 6 264.930 0.132 0 
0 7 297.053 0.125 0 
0 8 329.463 0.060 0 
0 9 361.858 0.033 0 
0 10 393.283 0.036 0 
0 11 424.408 0.024 0 
0 12 456.411 0.023 0 
0 13 489.335 0.017 0 
0 14 522.970 0.017 0 
0 15 556.757 0.020 0 
0 16 590.150 0.032 0 
0 17 623.225 0.059 0 
0 18 656.509 0.164 0 
0 19 689.301 0.205 0 
0 20 723.438 0.215 0 
0 21 756.602 0.226 0 
0 22 790.651 0.237 0 
0 23 824.752 0.249 0 
0 24 858.666 0.261 0 
1 -13 160.467 0.233 16 
1 -4 168.293 0.222 7 
1 -11 174.809 0.211 14 
1 -10 180.400 0.201 14 
1 -9 188.825 0.192 13 
1 -8 202.870 0.183 12 
1 -7 209.285 0.174 11 
1 -6 221.055 0.166 11 
1 -5 239.749 0.158 10 
1 -4 242.625 0.150 10 
1 -3 267.247 0.143 9 
1 -2 272.544 0.136 8 
1 -1 298.759 0.130 8 
1 0 305.408 0.124 7 
1 5 331.929 0.118 3 
1 2 342.312 0.112 7 
1 7 364.870 0.108 2 
1 6 382.858 0.054 4 
1 5 402.066 0.040 5 
1 8 421.893 0.030 3 
1 7 442.464 0.024 5 
1 8 467.478 0.018 4 
1 11 487.974 0.018 2 
1 12 510.272 0.015 2 
1 11 539.551 0.019 4 
1 12 567.480 0.027 3 
1 13 585.609 0.055 3 
1 14 610.028 0.110 3 
1 15 640.751 0.238 3 
1 16 672.419 0.250 3 
1 17 704.408 0.262 3 
1 18 731.148 0.275 2 
1 19 747.489 0.289 2 
1 20 775.091 0.304 2 
1 21 807.806 0.319 2 
1 22 840.907 0.335 2 
2 -25 158.625 0.272 28 
2 -24 164.487 0.259 27 
2 -23 168.539 0.247 26 
2 -22 171.709 0.235 25 
2 -21 178.060 0.224 24 
2 -20 185.867 0.213 23 
2 -19 191.576 0.203 23 
2 -18 195.516 0.194 22 
2 -17 203.660 0.184 21 
2 -16 209.791 0.176 20 
2 -15 215.650 0.167 19 
2 -14 226.506 0.159 19 
2 -13 229.828 0.152 18 
2 -12 239.930 0.144 17 
2 -11 253.932 0.138 17 
2 -10 258.827 0.131 16 
2 -9 269.956 0.125 15 
2 -8 282.910 0.119 14 
2 -7 291.306 0.113 14 
2 -6 298.028 0.108 13 
2 -5 313.900 0.103 12 
2 -4 325.497 0.098 12 
2 -3 337.271 0.093 11 
2 -2 357.674 0.089 11 
2 -1 364.996 0.084 10 
2 0 389.436 0.080 10 
2 1 398.570 0.077 9 
2 2 420.746 0.073 9 
2 3 439.292 0.069 8 
2 4 452.912 0.044 8 
2 5 485.661 0.037 8 
2 6 489.001 0.029 7 
2 7 519.576 0.028 7 
2 8 550.381 0.044 7 
2 9 553.791 0.073 6 
2 10 587.090 0.198 6 
2 11 619.788 0.337 6 
2 12 627.150 0.354 5 
2 13 654.016 0.371 5 
2 14 686.885 0.390 5 
2 15 719.142 0.409 5 
2 16 722.045 0.430 4 
2 17 753.503 0.451 4 
2 18 788.371 0.474 4 
2 19 821.878 0.498 4 
2 20 847.990 0.522 3 
2 21 855.046 0.548 3 
